run_name,metric,direction,n_treatments,mean_score,median_score
baseline_gpt_5_mini,joint_pattern_distribution,human_to_model,10,1.0411727090901288,1.3914796380838004
baseline_gpt_5_mini,joint_pattern_distribution,model_to_human,10,0.679606651973515,0.8916476334593721
baseline_gpt_5_mini,mean_send_field_kl,human_to_model,10,1.4960778124130887,1.4736884103804058
baseline_gpt_5_mini,mean_send_field_kl,model_to_human,10,1.525758999460596,1.5583710625700486
baseline_gpt_5_mini,return_pct,human_to_model,10,0.15207144058164102,0.15364246455765726
baseline_gpt_5_mini,return_pct,model_to_human,10,0.14451535972831486,0.14140362280207408
baseline_gpt_5_mini,send_if_act,human_to_model,5,1.7745751116856183,1.7629209549776494
baseline_gpt_5_mini,send_if_act,model_to_human,5,1.9044750008591813,1.9300924856095634
baseline_gpt_5_mini,send_if_act_after_check,human_to_model,4,1.4457177666486307,1.4593866700102214
baseline_gpt_5_mini,send_if_act_after_check,model_to_human,4,1.400807198595838,1.3691804749988132
baseline_gpt_5_mini,send_if_act_fast,human_to_model,1,1.5436559121887012,1.5436559121887012
baseline_gpt_5_mini,send_if_act_fast,model_to_human,1,1.4689394100524278,1.4689394100524278
baseline_gpt_5_mini,send_if_act_slow,human_to_model,1,1.6388652162568949,1.6388652162568949
baseline_gpt_5_mini,send_if_act_slow,model_to_human,1,2.04374486270699,2.04374486270699
baseline_gpt_5_mini,send_if_act_without_check,human_to_model,4,1.3200237383976006,1.3175358878103238
baseline_gpt_5_mini,send_if_act_without_check,model_to_human,4,1.3398714587286014,1.2935364585099935
baseline_gpt_5_mini,send_if_no_act,human_to_model,5,1.6462808226227374,1.6022905353130004
baseline_gpt_5_mini,send_if_no_act,model_to_human,5,1.6882152936752246,1.625811222782341
baseline_gpt_5_mini,send_if_no_act_after_check,human_to_model,4,1.0065291112641137,1.0853795695888424
baseline_gpt_5_mini,send_if_no_act_after_check,model_to_human,4,0.9199001907898989,1.0225606406512493
baseline_gpt_5_mini,send_if_no_act_fast,human_to_model,1,1.3357386373240412,1.3357386373240412
baseline_gpt_5_mini,send_if_no_act_fast,model_to_human,1,1.6314682333507184,1.6314682333507184
baseline_gpt_5_mini,send_if_no_act_slow,human_to_model,1,0.9090205907602338,0.9090205907602338
baseline_gpt_5_mini,send_if_no_act_slow,model_to_human,1,1.0218172651917148,1.0218172651917148
baseline_gpt_5_mini,send_if_no_act_without_check,human_to_model,4,1.2795475829171843,1.374906182424027
baseline_gpt_5_mini,send_if_no_act_without_check,model_to_human,4,1.0737929673301434,1.1602923597303698
twin_sampled_seed_0_gpt_5_mini,joint_pattern_distribution,human_to_model,10,0.1350603999294548,0.13062654376339664
twin_sampled_seed_0_gpt_5_mini,joint_pattern_distribution,model_to_human,10,0.11305098988734667,0.10563450371292436
twin_sampled_seed_0_gpt_5_mini,mean_send_field_kl,human_to_model,10,0.8401361971870015,0.8196153980595159
twin_sampled_seed_0_gpt_5_mini,mean_send_field_kl,model_to_human,10,0.68468503598842,0.6778723584293942
twin_sampled_seed_0_gpt_5_mini,return_pct,human_to_model,10,0.12970045847433698,0.13430229679209107
twin_sampled_seed_0_gpt_5_mini,return_pct,model_to_human,10,0.15197172023565864,0.15686070905168054
twin_sampled_seed_0_gpt_5_mini,send_if_act,human_to_model,5,0.8423908066932377,0.8889594941124832
twin_sampled_seed_0_gpt_5_mini,send_if_act,model_to_human,5,0.717258056891963,0.6624653332798769
twin_sampled_seed_0_gpt_5_mini,send_if_act_after_check,human_to_model,4,1.0300494592852905,1.0567218213041492
twin_sampled_seed_0_gpt_5_mini,send_if_act_after_check,model_to_human,4,0.9073905688820217,0.9579931101193424
twin_sampled_seed_0_gpt_5_mini,send_if_act_fast,human_to_model,1,1.057548169781969,1.057548169781969
twin_sampled_seed_0_gpt_5_mini,send_if_act_fast,model_to_human,1,0.8136358736290445,0.8136358736290445
twin_sampled_seed_0_gpt_5_mini,send_if_act_slow,human_to_model,1,0.7624485254136424,0.7624485254136424
twin_sampled_seed_0_gpt_5_mini,send_if_act_slow,model_to_human,1,0.6544602583568186,0.6544602583568186
twin_sampled_seed_0_gpt_5_mini,send_if_act_without_check,human_to_model,4,1.1152177830709926,1.220778911924664
twin_sampled_seed_0_gpt_5_mini,send_if_act_without_check,model_to_human,4,0.7870189186109539,0.8509614494048006
twin_sampled_seed_0_gpt_5_mini,send_if_no_act,human_to_model,5,0.7659404141787169,0.6902581020102587
twin_sampled_seed_0_gpt_5_mini,send_if_no_act,model_to_human,5,0.6198819672542781,0.5554100378813619
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_after_check,human_to_model,4,0.7190490114185213,0.6578367371618409
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_after_check,model_to_human,4,0.628703183407159,0.6380183521387677
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_fast,human_to_model,1,0.6086261107629837,0.6086261107629837
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_fast,model_to_human,1,0.5468235441894383,0.5468235441894383
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_slow,human_to_model,1,0.4325025583743284,0.4325025583743284
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_slow,model_to_human,1,0.336880079929372,0.336880079929372
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_without_check,human_to_model,4,0.8009363248320938,0.8277020456168832
twin_sampled_seed_0_gpt_5_mini,send_if_no_act_without_check,model_to_human,4,0.5929376895922945,0.5903203823557734
