metric,direction,n_treatments,baseline_gpt_5_mini,twin_sampled_seed_0_gpt_5_mini,delta_twin_minus_baseline
joint_pattern_distribution,human_to_model,10,1.0411727090901288,0.1350603999294548,-0.906112309160674
joint_pattern_distribution,model_to_human,10,0.679606651973515,0.11305098988734667,-0.5665556620861684
mean_send_field_kl,human_to_model,10,1.4960778124130887,0.8401361971870015,-0.6559416152260872
mean_send_field_kl,model_to_human,10,1.525758999460596,0.68468503598842,-0.841073963472176
return_pct,human_to_model,10,0.15207144058164102,0.12970045847433698,-0.022370982107304038
return_pct,model_to_human,10,0.14451535972831486,0.15197172023565864,0.007456360507343773
send_if_act,human_to_model,5,1.7745751116856183,0.8423908066932377,-0.9321843049923806
send_if_act,model_to_human,5,1.9044750008591813,0.717258056891963,-1.1872169439672184
send_if_act_after_check,human_to_model,4,1.4457177666486307,1.0300494592852905,-0.41566830736334026
send_if_act_after_check,model_to_human,4,1.400807198595838,0.9073905688820217,-0.49341662971381617
send_if_act_fast,human_to_model,1,1.5436559121887012,1.057548169781969,-0.48610774240673216
send_if_act_fast,model_to_human,1,1.4689394100524278,0.8136358736290445,-0.6553035364233832
send_if_act_slow,human_to_model,1,1.6388652162568949,0.7624485254136424,-0.8764166908432525
send_if_act_slow,model_to_human,1,2.04374486270699,0.6544602583568186,-1.3892846043501714
send_if_act_without_check,human_to_model,4,1.3200237383976006,1.1152177830709926,-0.20480595532660795
send_if_act_without_check,model_to_human,4,1.3398714587286014,0.7870189186109539,-0.5528525401176475
send_if_no_act,human_to_model,5,1.6462808226227374,0.7659404141787169,-0.8803404084440205
send_if_no_act,model_to_human,5,1.6882152936752246,0.6198819672542781,-1.0683333264209465
send_if_no_act_after_check,human_to_model,4,1.0065291112641137,0.7190490114185213,-0.2874800998455924
send_if_no_act_after_check,model_to_human,4,0.9199001907898989,0.628703183407159,-0.2911970073827399
send_if_no_act_fast,human_to_model,1,1.3357386373240412,0.6086261107629837,-0.7271125265610575
send_if_no_act_fast,model_to_human,1,1.6314682333507184,0.5468235441894383,-1.08464468916128
send_if_no_act_slow,human_to_model,1,0.9090205907602338,0.4325025583743284,-0.4765180323859054
send_if_no_act_slow,model_to_human,1,1.0218172651917148,0.336880079929372,-0.6849371852623427
send_if_no_act_without_check,human_to_model,4,1.2795475829171843,0.8009363248320938,-0.47861125808509053
send_if_no_act_without_check,model_to_human,4,1.0737929673301434,0.5929376895922945,-0.48085527773784886
