metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr,run_name
delegation_distribution_distance,distribution,mean_delegation_wd,mean_wasserstein_1d,4,0.3399999999999999,0.3528571428571428,0.0178809365290653,baseline_gpt_5_mini
delegation_distribution_distance,distribution,C_delegated,wasserstein_1d,4,0.12,0.12,0.0416333199893226,baseline_gpt_5_mini
delegation_distribution_distance,distribution,PD_delegated,wasserstein_1d,4,0.525,0.52,0.0492442890089805,baseline_gpt_5_mini
delegation_distribution_distance,distribution,SH_delegated,wasserstein_1d,4,0.3349999999999999,0.32,0.0543905629069357,baseline_gpt_5_mini
delegation_distribution_distance,distribution,TGReceiver_delegated,wasserstein_1d,4,0.195,0.1999999999999999,0.0877021474461524,baseline_gpt_5_mini
delegation_distribution_distance,distribution,TGSender_delegated,wasserstein_1d,4,0.445,0.4499999999999999,0.0349999999999999,baseline_gpt_5_mini
delegation_distribution_distance,distribution,UGProposer_delegated,wasserstein_1d,4,0.415,0.4199999999999999,0.0330403793359983,baseline_gpt_5_mini
delegation_distribution_distance,distribution,UGResponder_delegated,wasserstein_1d,4,0.345,0.3499999999999999,0.055,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,mean_role_state_tv,total_variation,6,0.4395918367346939,0.44,0.0161465436426484,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,C_decision_state,total_variation,6,0.2836989795918367,0.3,0.0239019140999182,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,PD_decision_state,total_variation,6,0.3654336734693877,0.3487755102040816,0.0340969805099698,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,SH_decision_state,total_variation,6,0.2602295918367347,0.22,0.039315113458548,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,TGReceiver_decision_state,total_variation,6,0.4516581632653061,0.43,0.0415801317495492,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,TGSender_decision_state,total_variation,6,0.3194132653061224,0.3,0.0444359651985157,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,UGProposer_decision_state,total_variation,6,0.5583418367346938,0.54,0.0584270123270996,baseline_gpt_5_mini
scenario_state_distribution_distance,distribution,UGResponder_decision_state,total_variation,6,0.8383673469387756,0.8500000000000001,0.0222992533192886,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.1463910549888976,1.096666666666667,0.0712362018365109,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,UGProposer_decision_direct,wasserstein_1d,6,0.8491273176467815,0.7581172253847777,0.1151382416656849,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,UGResponder_decision_direct,wasserstein_1d,6,1.6864086970485594,1.667838246409675,0.0734160064408321,baseline_gpt_5_mini
scenario_direct_value_distance,distribution,TGReceiver_decision_direct,wasserstein_1d,6,0.9036371502713516,0.8569387755102041,0.0474947159782499,baseline_gpt_5_mini
delegation_distribution_distance,distribution,mean_delegation_wd,mean_wasserstein_1d,4,0.2942857142857143,0.2928571428571429,0.0088063057185271,demographic_only_row_resampled_seed_0_gpt_5_mini
delegation_distribution_distance,distribution,C_delegated,wasserstein_1d,4,0.11,0.1199999999999999,0.0369684550213647,demographic_only_row_resampled_seed_0_gpt_5_mini
delegation_distribution_distance,distribution,PD_delegated,wasserstein_1d,4,0.385,0.38,0.0403112887414927,demographic_only_row_resampled_seed_0_gpt_5_mini
delegation_distribution_distance,distribution,SH_delegated,wasserstein_1d,4,0.19,0.19,0.0532290647422377,demographic_only_row_resampled_seed_0_gpt_5_mini
delegation_distribution_distance,distribution,TGReceiver_delegated,wasserstein_1d,4,0.11,0.11,0.058022983951764,demographic_only_row_resampled_seed_0_gpt_5_mini
delegation_distribution_distance,distribution,TGSender_delegated,wasserstein_1d,4,0.5,0.48,0.0559761854124888,demographic_only_row_resampled_seed_0_gpt_5_mini
delegation_distribution_distance,distribution,UGProposer_delegated,wasserstein_1d,4,0.37,0.36,0.0369684550213647,demographic_only_row_resampled_seed_0_gpt_5_mini
delegation_distribution_distance,distribution,UGResponder_delegated,wasserstein_1d,4,0.3949999999999999,0.41,0.035939764421413,demographic_only_row_resampled_seed_0_gpt_5_mini
