custom_id,record_id,unit_id,treatment_name,chip_family,chip_family_display,cohort_name,stage_name,stage_code,experiment_name,data_source,n_players,n_rounds,n_turns,initial_total_welfare,optimal_total_welfare,optimal_total_surplus,final_total_welfare,final_total_surplus,final_surplus_ratio,final_group_surplus_ratio_after_turn,mean_trade_ratio,mean_acceptance_rate,mean_proposer_net_surplus,mean_player_final_surplus
chip_bargain__chip2_cohort_01_m7xia7_game_1,chip2__cohort_01_m7xia7__game_1,chip2__cohort_01_m7xia7__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m7xia7,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),human_gold,3,3,9,23.0,27.0,4.0,22.6,-0.3999999999999986,-0.09999999999999964,-0.09999999999999964,1.0925925925925926,0.1111111111111111,0.25555555555555554,-0.13333333333333286
chip_bargain__chip2_cohort_01_m8aexq_game_1,chip2__cohort_01_m8aexq__game_1,chip2__cohort_01_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 01-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,29.0,37.333333333333336,8.333333333333336,32.5,3.5,0.4199999999999999,0.4199999999999999,0.8629629629629628,0.5555555555555556,0.2333333333333334,1.1666666666666667
chip_bargain__chip2_cohort_02_m7xiz2_game_1,chip2__cohort_02_m7xiz2__game_1,chip2__cohort_02_m7xiz2__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m7xiz2,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),human_gold,3,3,9,30.0,37.8,7.799999999999997,33.0,3.0,0.38461538461538475,0.38461538461538475,0.7148148148148148,0.4444444444444444,0.8444444444444443,1.0
chip_bargain__chip2_cohort_02_m8aexq_game_1,chip2__cohort_02_m8aexq__game_1,chip2__cohort_02_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 02-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,20.0,24.0,4.0,21.0,1.0,0.25,0.25,1.2703703703703704,0.3333333333333333,0.8888888888888888,0.3333333333333333
chip_bargain__chip2_cohort_03_m8aexq_game_1,chip2__cohort_03_m8aexq__game_1,chip2__cohort_03_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 03-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,37.0,41.0,4.0,39.7,2.700000000000003,0.6750000000000007,0.6750000000000007,0.8925925925925928,0.4444444444444444,1.0444444444444445,0.9000000000000009
chip_bargain__chip2_cohort_04_m7xjm0_game_1,chip2__cohort_04_m7xjm0__game_1,chip2__cohort_04_m7xjm0__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m7xjm0,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),human_gold,3,3,9,32.0,42.0,10.0,40.4,8.399999999999999,0.8399999999999999,0.8399999999999999,0.7703703703703703,0.4444444444444444,1.1222222222222222,2.7999999999999994
chip_bargain__chip2_cohort_04_m8aexq_game_1,chip2__cohort_04_m8aexq__game_1,chip2__cohort_04_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 04-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,29.0,38.0,9.0,34.8,5.799999999999997,0.6444444444444442,0.6444444444444442,0.6814814814814815,0.3333333333333333,1.0444444444444445,1.9333333333333325
chip_bargain__chip2_cohort_05_m7xjzy_game_1,chip2__cohort_05_m7xjzy__game_1,chip2__cohort_05_m7xjzy__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m7xjzy,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),human_gold,3,3,9,27.0,39.0,12.0,34.3,7.299999999999997,0.6083333333333331,0.6083333333333331,0.9814814814814815,0.4444444444444444,0.7666666666666667,2.4333333333333322
chip_bargain__chip2_cohort_05_m8aexq_game_1,chip2__cohort_05_m8aexq__game_1,chip2__cohort_05_m8aexq__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 05-m8aexq,First negotiation game-negotiation1,GAME_1,🟢 2p3,human_gold,3,3,9,25.0,33.0,8.0,33.0,8.0,1.0,1.0,1.1164021164021163,0.8888888888888888,0.36666666666666664,2.6666666666666665
chip_bargain__chip2_cohort_06_m7xk99_game_1,chip2__cohort_06_m7xk99__game_1,chip2__cohort_06_m7xk99__game_1,CHIP2__GAME_1,chip2,2-Chip Bargaining,Cohort 06-m7xk99,First negotiation game-negotiation1,GAME_1,🟢 2p2 (n=20),human_gold,3,3,9,39.0,39.0,0.0,39.0,0.0,,,0.7777777777777778,0.3333333333333333,1.088888888888889,0.0
