target,style_source,eval_granularity,group_col,model,k_clusters,baseline_r2,baseline_rmse,baseline_mae,augmented_r2,augmented_rmse,augmented_mae,delta_r2,delta_rmse,delta_mae,missing_style_games_learn,missing_style_games_val,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,16,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.06173818221135674,0.12336908289796604,0.0948491560874959,0.11151471046159922,-0.007125578184986894,-0.0030073119570515755,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,6,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.032376416120131424,0.12528455567980637,0.0970678693698724,0.0821529443703739,-0.005210105403146564,-0.0007885986746750812,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,8,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.005993606199541812,0.12698104699582527,0.10052569053324226,0.05577013444978429,-0.0035136140871276644,0.002669222488694778,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,4,-0.04977652825024248,0.13049466108295293,0.09785646804454748,-0.11450141842756789,0.13445737473127375,0.10239990402696379,-0.06472489017732541,0.00396271364832082,0.004543435982416313,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,10,-0.04977652825024248,0.13049466108295293,0.09785646804454748,-0.29833322096537174,0.14512338492439053,0.11501319882816867,-0.24855669271512926,0.014628723841437596,0.01715673078362119,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,12,-0.04977652825024248,0.13049466108295293,0.09785646804454748,-0.34439094183261787,0.14767504214978508,0.1170683166499186,-0.2946144135823754,0.017180381066832145,0.019211848605371118,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,16,-0.03178253386728924,0.12937143653801658,0.09681724720812238,0.08405720721350851,0.12189292242119766,0.09427289242556443,0.11583974108079775,-0.007478514116818921,-0.0025443547825579477,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,6,-0.03178253386728924,0.12937143653801658,0.09681724720812238,0.03924683973270782,0.12483898400102023,0.09665022866064388,0.07102937359999706,-0.004532452536996356,-0.00016701854747849798,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,8,-0.03178253386728924,0.12937143653801658,0.09681724720812238,0.016217051532298687,0.1263263534940646,0.10002674996282859,0.04799958539958793,-0.003045083043951985,0.003209502754706217,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,4,-0.03178253386728924,0.12937143653801658,0.09681724720812238,-0.09447378507546444,0.13324379590338833,0.10151297835901378,-0.0626912512081752,0.0038723593653717525,0.004695731150891405,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,10,-0.03178253386728924,0.12937143653801658,0.09681724720812238,-0.263982497854818,0.14319071077625933,0.11320979489801575,-0.23219996398752873,0.013819274238242751,0.016392547689893372,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,12,-0.03178253386728924,0.12937143653801658,0.09681724720812238,-0.27765009350721814,0.14396279845744175,0.11488704317798634,-0.2458675596399289,0.014591361919425172,0.018069795969863967,0,0,206,40,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,8,0.007042079425688352,0.2611501319609257,0.1937809238497464,0.10296214341990861,0.24821625173254025,0.17847022378289587,0.09592006399422026,-0.01293388022838543,-0.015310700066850536,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,6,0.007042079425688352,0.2611501319609257,0.1937809238497464,0.10113626764432515,0.24846873921097432,0.18274339373725232,0.0940941882186368,-0.012681392749951365,-0.011037530112494087,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,4,0.007042079425688352,0.2611501319609257,0.1937809238497464,0.04213982926032611,0.25649321718102713,0.18987565464461414,0.03509774983463776,-0.004656914779898547,-0.0039052692051322613,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,10,0.007042079425688352,0.2611501319609257,0.1937809238497464,0.03795214166184835,0.2570532895550222,0.19131526532810833,0.030910062236159996,-0.004096842405903467,-0.0024656585216380755,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,12,0.007042079425688352,0.2611501319609257,0.1937809238497464,0.015011483680617332,0.26010003523381253,0.19071015634321947,0.00796940425492898,-0.0010500967271131478,-0.0030707675065269335,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,16,0.007042079425688352,0.2611501319609257,0.1937809238497464,0.011511335802664724,0.2605617569902952,0.1886760259942184,0.004469256376976372,-0.0005883749706304675,-0.005104897855528007,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,8,0.013296171036856763,0.26032641290314845,0.19311909382664816,0.10581851440788248,0.24782074835576265,0.17814385409240677,0.09252234337102572,-0.012505664547385803,-0.014975239734241391,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,6,0.013296171036856763,0.26032641290314845,0.19311909382664816,0.10301217937883889,0.24820932899718318,0.1822952134967659,0.08971600834198212,-0.012117083905965276,-0.010823880329882268,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,4,0.013296171036856763,0.26032641290314845,0.19311909382664816,0.04890606947462439,0.2555856888734322,0.1891401739313232,0.03560989843776763,-0.004740724029716259,-0.0039789198953249505,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,10,0.013296171036856763,0.26032641290314845,0.19311909382664816,0.04592685134938934,0.25598567573815006,0.19048753420758743,0.03263068031253258,-0.004340737164998387,-0.002631559619060725,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,12,0.013296171036856763,0.26032641290314845,0.19311909382664816,0.02451456171550026,0.25884228368098916,0.19002958288589647,0.011218390678643497,-0.0014841292221592917,-0.0030895109407516885,0,0,214,249,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,16,0.013296171036856763,0.26032641290314845,0.19311909382664816,0.018542485569154055,0.2596334113773464,0.18820776126546487,0.0052463145322972915,-0.0006930015258020394,-0.004911332561183285,0,0,214,249,0.0,0.0
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,16,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.08407282271202454,0.12189188336784362,0.09302832391172558,0.13384935096226702,-0.008602777715109311,-0.004828144132821899,0,0,206,40,0.15267240102679955,0.08050900087831175
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,8,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.05507310065698312,0.12380649273214067,0.09875940409653321,0.1048496289072256,-0.0066881683508122625,0.0009029360519857282,0,0,206,40,0.2077066170078923,0.13073479804079777
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,10,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.04466033625623189,0.12448677590050676,0.1002443935701149,0.09443686450647437,-0.006007885182446174,0.002387925525567422,0,0,206,40,0.19539141875584007,0.11677629934407845
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,12,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.02262534271256922,0.12591424090137684,0.09995670149303693,0.0724018709628117,-0.004580420181576089,0.002100233448489447,0,0,206,40,0.1815840484054637,0.09988778739768574
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,4,-0.04977652825024248,0.13049466108295293,0.09785646804454748,0.017794611952821948,0.12622502656397508,0.097064308524987,0.06757114020306443,-0.004269634518977855,-0.0007921595195604786,0,0,206,40,0.24186111450263312,0.17718576555444973
itt_relative_efficiency,synthetic,config_treatment,CONFIG_treatmentName,linear,6,-0.04977652825024248,0.13049466108295293,0.09785646804454748,-0.07276234304344964,0.13191557497559497,0.1007255537030173,-0.02298581479320716,0.0014209138926420395,0.0028690856584698277,0,0,206,40,0.2284281823491774,0.15379354027561296
