target,model,k_clusters,baseline_r2,baseline_rmse,baseline_mae,augmented_r2,augmented_rmse,augmented_mae,delta_r2,delta_rmse,delta_mae,missing_style_games_learn,missing_style_games_val
itt_efficiency,linear,6,0.03122480685775675,0.13753568771285832,0.10894167336884249,0.19004702009004326,0.1257574731195,0.09410424059680744,0.1588222132322865,-0.011778214593358316,-0.014837432772035045,0,0
itt_efficiency,linear,8,0.03122480685775675,0.13753568771285832,0.10894167336884249,0.1689600459802174,0.12738399074870016,0.09538664109983543,0.13773523912246066,-0.010151696964158158,-0.013555032269007061,0,0
itt_efficiency,linear,12,0.03122480685775675,0.13753568771285832,0.10894167336884249,0.1319491870000754,0.13018965396602586,0.10091742889732841,0.10072438014231866,-0.007346033746832459,-0.008024244471514078,0,0
itt_efficiency,linear,4,0.03122480685775675,0.13753568771285832,0.10894167336884249,0.12811148730820276,0.13047712434407216,0.10150868579460195,0.09688668045044602,-0.007058563368786158,-0.007432987574240532,0,0
itt_efficiency,linear,10,0.03122480685775675,0.13753568771285832,0.10894167336884249,0.12727001815635663,0.13054007161075518,0.1001681006188345,0.09604521129859989,-0.0069956161021031416,-0.008773572750007994,0,0
itt_efficiency,linear,16,0.03122480685775675,0.13753568771285832,0.10894167336884249,0.11601014290292289,0.13137948029346888,0.10076520979847667,0.08478533604516614,-0.006156207419389437,-0.008176463570365819,0,0
itt_efficiency,ridge,6,0.03050802104260497,0.1375865588552255,0.10875844271367371,0.19195013945547013,0.1256096421706174,0.09388496545827427,0.16144211841286515,-0.011976916684608097,-0.014873477255399448,0,0
itt_efficiency,ridge,8,0.03050802104260497,0.1375865588552255,0.10875844271367371,0.17278922134807528,0.12709017887156943,0.09504475481018677,0.1422812003054703,-0.010496379983656073,-0.01371368790348694,0,0
itt_efficiency,ridge,12,0.03050802104260497,0.1375865588552255,0.10875844271367371,0.1382646448592345,0.12971519543929066,0.10017267868914925,0.10775662381662954,-0.007871363415934834,-0.008585764024524462,0,0
itt_efficiency,ridge,10,0.03050802104260497,0.1375865588552255,0.10875844271367371,0.1300340579830752,0.1303331896964785,0.09983980240904726,0.09952603694047024,-0.007253369158746997,-0.008918640304626455,0,0
itt_efficiency,ridge,16,0.03050802104260497,0.1375865588552255,0.10875844271367371,0.12815153811473712,0.13047412753083212,0.09994271862285263,0.09764351707213215,-0.007112431324393376,-0.008815724090821084,0,0
itt_efficiency,ridge,4,0.03050802104260497,0.1375865588552255,0.10875844271367371,0.1269702075918907,0.13056249202297865,0.10135736159147093,0.09646218654928573,-0.00702406683224685,-0.0074010811222027795,0,0
