baseline,metric,matched_value,baseline_value,difference
candidate_uniform,final_surplus,2.688930859375,2.43625,0.2526808593750003
unique_sampled_players,final_surplus,2.688930859375,2.43625,0.2526808593750003
candidate_uniform,final_welfare,18.666964908854165,18.24888888888889,0.41807601996527666
unique_sampled_players,final_welfare,18.666964908854165,18.24888888888889,0.41807601996527666
candidate_uniform,proposer_mean_net_surplus,1.2343969184027779,1.330787037037037,-0.09639011863425906
unique_sampled_players,proposer_mean_net_surplus,1.2343969184027779,1.330787037037037,-0.09639011863425906
candidate_uniform,proposer_acceptance_rate,0.5054839409722222,0.4583333333333333,0.04715060763888884
unique_sampled_players,proposer_acceptance_rate,0.5054839409722222,0.4583333333333333,0.04715060763888884
candidate_uniform,proposer_mean_trade_ratio,0.9396547950435434,0.9369775063504638,0.0026772886930795936
unique_sampled_players,proposer_mean_trade_ratio,0.9396547950435434,0.9369775063504638,0.0026772886930795936
candidate_uniform,response_acceptance_rate,0.2913639322916666,0.2916666666666667,-0.00030273437500005773
unique_sampled_players,response_acceptance_rate,0.2913639322916666,0.2916666666666667,-0.00030273437500005773
candidate_uniform,response_mean_net_surplus_if_accepted,0.8750210060684197,0.8346693121693121,0.040351693899107643
unique_sampled_players,response_mean_net_surplus_if_accepted,0.8750210060684197,0.8346693121693122,0.04035169389910753
candidate_uniform,received_trade_rate,0.23500108506944442,0.22916666666666666,0.0058344184027777635
unique_sampled_players,received_trade_rate,0.23500108506944442,0.22916666666666666,0.0058344184027777635
