SeekUnc,SeekMC,SeekInstr,Cl_Seek
0.590766085,-0.105207582,0.647352003,2
0.158054886,0.100243206,0.549677457,1
-0.142567812,0.132694036,0.571581227,1
0.830817845,-0.031686425,0.276690296,2
7.49459E-17,-6.30075E-18,1,1
0.593724452,0.182156845,0.108783356,2
-0.242135179,0.047121707,0.151886084,3
0.339388152,0.028436591,0.800451221,1
0.239009837,-0.050248104,0.829153676,1
0.02371943,0.048569098,0.096738096,3
0.506647592,-0.103742056,0.711875694,1
0.613138948,0.045454871,0.363639435,2
1.8466E-17,5.31581E-18,1,1
0.283344684,-0.527955915,0.515915548,1
0.149705525,0.234655079,0.797590358,1
0.854157299,-0.13010126,-0.15661671,2
0.705114109,-0.151538849,0.101954165,2
-0.487799677,0.14588593,-0.098106292,3
0.221283446,0.114494867,0.758941829,1
-0.004627668,-0.052178573,0.504057419,1
-0.106724298,0.343047995,0.701164359,1
0.57660936,-0.02620048,0.314053312,2
0.133063718,-0.017375378,0.654010629,1
-0.160758613,0.279266986,-0.096979353,3
-0.183736835,0.150867834,0.183061181,3
0.814845252,0.116531556,0.018533676,2
-0.035406295,0.316394322,-0.440739606,3
-0.160642657,0.331491409,-0.155003792,3
1.26841E-17,-3.74735E-17,1,1
0.648422688,-0.294982425,0.453408895,2
-0.243012049,0.259890086,-0.168058436,3
-0.085850096,0.879451413,-0.0822358,3
0.086023338,0.070258714,0.938464502,1
0.033222658,0.165701722,0.811070049,1
0.174399263,0.034991891,0.602877682,1
-0.169382826,0.006348484,-0.237276396,3
0.19535311,0.223280902,0.16937597,3
0.480490647,0.139413459,0.135688039,2
0.125218848,-0.131606475,-0.127964894,3
0.491851445,-0.299534481,0.319301913,2
0.09309345,-0.272901529,0.283742203,1
0.09386394,0.223788972,0.550788651,1
0.074077917,0.202121322,0.654752747,1
0.35840845,0.049111787,0.443592935,2
0.88416535,-0.00094192,0.083882517,2
0.685737148,-0.08995934,0.297605787,2
-0.234830629,0.258022075,0.075117469,3
0.766253315,0.025783471,0.390833216,2
0.458948119,-0.12827658,0.224626066,2
1.70389E-17,-1.01126E-17,1,1
-0.078512627,0.121113587,0.285645716,3
0.660362805,0.158908373,-0.194814555,2
0.150034306,-0.114560562,0.160297334,3
-0.064419404,0.02979482,0.167530324,3
0.783982143,0.073656791,0.336699542,2
0.286107367,0.07059107,0.82816309,1
-0.109154413,0.072964742,0.109126315,3
0.319013091,0.078464344,-0.213761574,2
-0.195607297,0.22426147,-0.33640877,3
-0.780114124,0.446672434,0.059736131,3
0.706594638,-0.04077854,0.487737722,2
0.848163643,0.033796929,-0.088253638,2
0.277869783,-0.094276526,-0.13995508,2
-9.09082E-17,-7.6591E-17,1,1
2.49921E-17,5.46481E-18,1,1
0.033631852,-0.020083047,0.659868597,1
-0.533528787,0.596467451,0.107475651,3
0.022872704,0.016151588,0.915862948,1
0.609346546,0.143336832,0.04616088,2
5.08995E-17,7.00842E-17,1,1
-0.03276387,0.018597706,0.988482887,1
-0.024683901,0.097986656,0.000667115,3
0.867992221,-0.131746525,0.120846056,2
0.68536302,0.003134151,0.277437615,2
-0.359879525,0.007843019,0.743845366,1
0.041723393,-0.005662375,0.321524106,3
-0.102912352,0.043705401,-0.414172469,3
-0.009487423,0.073028983,0.210084332,3
-0.085971836,-0.049120598,0.776996365,1
0.862593651,0.107057361,-0.096548846,2
-1.96895E-17,-2.0498E-17,1,1
-0.509626927,0.246284834,0.430082589,3
0.174315336,0.086034039,0.220589664,3
0.894308466,0.02306541,0.034248506,2
0.464509072,-0.108593645,-0.044907822,2
-0.990813105,0.036766885,-0.00331192,3
0.036747318,0.01917911,0.971674867,1
0.359744533,-0.127089365,0.093163966,2
0.714914645,0.006095004,-0.077946062,2
-0.948939678,0.075925339,0.077994847,3
0.446099826,0.051132395,0.323987059,2
-0.182164796,0.416530327,-0.119065996,3
-0.018113146,-0.018964002,0.924089183,1
0.456200438,0.032693708,0.385379531,2
-0.449771129,0.092137938,0.2886502,3
0.17801722,0.413707513,0.413499254,1
0.819982477,0.090258766,0.014705405,2
0.443048993,-0.164091278,0.6704913,1
0.013134939,-0.070817205,-0.27107787,3
0.906851872,-0.050205756,0.094928372,2
,,,
,,,
,,,
,,,
,,,
,,,
,,,
