n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID,ValInstr,UncIntr,ValUnc,3Qway
1,47,0,1,406,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,19082,0
2,33,3,0,-417,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-13761,0
3,91,4,0,-421,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-38311,0
4,36,1,0,-481,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-17316,0
5,91,0,1,421,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,38311,0
7,8,0,1,486,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,3888,0
8,44,3,1,400,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,17600,0
9,25,3,0,-496,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-12400,0
11,29,3,0,-463,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-13427,0
12,56,4,0,-458,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-25648,0
13,97,4,0,-443,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-42971,0
14,85,3,0,-468,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-39780,0
15,77,3,1,448,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,34496,0
17,14,3,0,-467,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-6538,0
18,87,5,1,457,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,39759,0
19,19,2,0,-418,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-7942,0
20,50,3,0,-468,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-23400,0
21,39,2,1,420,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,16380,0
22,65,3,0,-421,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-27365,0
24,95,4,1,426,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,40470,0
25,1,0,1,440,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,440,0
27,23,3,1,444,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,10212,0
28,93,4,1,435,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,40455,0
29,59,4,0,-427,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-25193,0
30,37,2,1,418,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,15466,0
32,70,4,0,-470,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-32900,0
33,3,0,0,-410,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-1230,0
34,69,4,1,458,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,31602,0
35,49,3,0,-435,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-21315,0
36,21,0,0,-426,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-8946,0
37,91,5,1,451,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,41041,0
38,83,4,0,-462,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-38346,0
40,12,2,0,-479,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-5748,0
41,8,2,0,-454,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-3632,0
42,30,2,0,-486,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-14580,0
43,71,5,1,425,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,30175,0
44,62,4,1,487,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,30194,0
46,79,4,0,-473,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,-37367,0
47,39,2,1,433,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,16887,0
48,74,4,1,500,0,1,4,54b9acd9fdf99b34ce2578f9,0,0,37000,0
1,73,6,0,-494,1,1,4,54b9acd9fdf99b34ce2578f9,-494,73,-36062,-36062
2,44,5,1,475,1,1,4,54b9acd9fdf99b34ce2578f9,475,44,20900,20900
3,14,3,1,413,1,1,4,54b9acd9fdf99b34ce2578f9,413,14,5782,5782
4,21,3,1,459,1,1,4,54b9acd9fdf99b34ce2578f9,459,21,9639,9639
5,84,6,0,-402,1,1,4,54b9acd9fdf99b34ce2578f9,-402,84,-33768,-33768
7,6,3,1,500,1,1,4,54b9acd9fdf99b34ce2578f9,500,6,3000,3000
8,86,6,1,500,1,1,4,54b9acd9fdf99b34ce2578f9,500,86,43000,43000
9,13,4,1,468,1,1,4,54b9acd9fdf99b34ce2578f9,468,13,6084,6084
11,30,4,1,485,1,1,4,54b9acd9fdf99b34ce2578f9,485,30,14550,14550
12,37,4,1,488,1,1,4,54b9acd9fdf99b34ce2578f9,488,37,18056,18056
13,99,6,1,482,1,1,4,54b9acd9fdf99b34ce2578f9,482,99,47718,47718
14,89,6,0,-417,1,1,4,54b9acd9fdf99b34ce2578f9,-417,89,-37113,-37113
15,38,5,0,-495,1,1,4,54b9acd9fdf99b34ce2578f9,-495,38,-18810,-18810
17,89,6,0,-403,1,1,4,54b9acd9fdf99b34ce2578f9,-403,89,-35867,-35867
18,2,3,0,-429,1,1,4,54b9acd9fdf99b34ce2578f9,-429,2,-858,-858
