n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,Task1Seek,check,ID,SeekFirst1,Predicted_MC,Old1,ValInstr,UncIntr,ValUnc,3w
2,69,6,0,-499,0,2,4,5c3a518e0b5bb30001033afd,1,-401,0,0,0,-34431,0
3,4,6,0,-451,0,2,4,5c3a518e0b5bb30001033afd,1,-451,0,0,0,-1804,0
4,57,6,1,425,0,2,4,5c3a518e0b5bb30001033afd,1,425,0,0,0,24225,0
5,85,6,1,-408,0,2,4,5c3a518e0b5bb30001033afd,1,479,0,0,0,-34680,0
7,87,6,0,435,0,2,4,5c3a518e0b5bb30001033afd,1,-488,0,0,0,37845,0
8,36,6,0,-488,0,2,4,5c3a518e0b5bb30001033afd,1,-488,0,0,0,-17568,0
9,33,6,1,-450,0,2,4,5c3a518e0b5bb30001033afd,1,452,0,0,0,-14850,0
11,93,6,0,-498,0,2,4,5c3a518e0b5bb30001033afd,1,-498,0,0,0,-46314,0
12,32,6,0,-410,0,2,4,5c3a518e0b5bb30001033afd,1,-410,0,0,0,-13120,0
13,48,6,0,429,0,2,4,5c3a518e0b5bb30001033afd,1,-480,0,0,0,20592,0
14,79,6,0,442,0,2,4,5c3a518e0b5bb30001033afd,1,-493,0,0,0,34918,0
15,21,6,0,-412,0,2,4,5c3a518e0b5bb30001033afd,1,-412,0,0,0,-8652,0
17,55,6,0,-464,0,2,4,5c3a518e0b5bb30001033afd,1,-464,0,0,0,-25520,0
18,97,6,0,-433,0,2,4,5c3a518e0b5bb30001033afd,1,-409,0,0,0,-42001,0
19,42,6,0,-482,0,2,4,5c3a518e0b5bb30001033afd,1,-482,0,0,0,-20244,0
20,99,6,1,-403,0,2,4,5c3a518e0b5bb30001033afd,1,492,0,0,0,-39897,0
21,12,6,1,461,0,2,4,5c3a518e0b5bb30001033afd,1,461,0,0,0,5532,0
22,64,6,1,430,0,2,4,5c3a518e0b5bb30001033afd,1,430,0,0,0,27520,0
24,65,6,1,-450,0,2,4,5c3a518e0b5bb30001033afd,1,423,0,0,0,-29250,0
25,56,6,1,-473,0,2,4,5c3a518e0b5bb30001033afd,1,418,0,0,0,-26488,0
27,80,6,0,-454,0,2,4,5c3a518e0b5bb30001033afd,1,-409,0,0,0,-36320,0
28,91,6,0,-464,0,2,4,5c3a518e0b5bb30001033afd,1,-433,0,0,0,-42224,0
29,15,6,0,-450,0,2,4,5c3a518e0b5bb30001033afd,1,-450,0,0,0,-6750,0
30,61,6,0,463,0,2,4,5c3a518e0b5bb30001033afd,1,-431,0,0,0,28243,0
32,60,6,1,412,0,2,4,5c3a518e0b5bb30001033afd,1,423,0,0,0,24720,0
33,63,6,0,-466,0,2,4,5c3a518e0b5bb30001033afd,1,-466,0,0,0,-29358,0
34,13,6,1,468,0,2,4,5c3a518e0b5bb30001033afd,1,468,0,0,0,6084,0
35,31,6,1,403,0,2,4,5c3a518e0b5bb30001033afd,1,484,0,0,0,12493,0
36,30,6,1,497,0,2,4,5c3a518e0b5bb30001033afd,1,497,0,0,0,14910,0
37,46,6,0,-440,0,2,4,5c3a518e0b5bb30001033afd,1,-440,0,0,0,-20240,0
38,80,6,1,422,0,2,4,5c3a518e0b5bb30001033afd,1,422,0,0,0,33760,0
40,46,6,0,464,0,2,4,5c3a518e0b5bb30001033afd,1,-467,0,0,0,21344,0
41,7,6,1,410,0,2,4,5c3a518e0b5bb30001033afd,1,410,0,0,0,2870,0
42,69,6,1,-411,0,2,4,5c3a518e0b5bb30001033afd,1,492,0,0,0,-28359,0
43,27,6,0,-400,0,2,4,5c3a518e0b5bb30001033afd,1,-400,0,0,0,-10800,0
44,30,6,1,438,0,2,4,5c3a518e0b5bb30001033afd,1,438,0,0,0,13140,0
46,56,6,0,-499,0,2,4,5c3a518e0b5bb30001033afd,1,-499,0,0,0,-27944,0
47,83,6,1,432,0,2,4,5c3a518e0b5bb30001033afd,1,419,0,0,0,35856,0
48,54,6,1,492,0,2,4,5c3a518e0b5bb30001033afd,1,482,0,0,0,26568,0
1,11,6,0,-440,1,2,4,5c3a518e0b5bb30001033afd,1,-440,0,-440,11,-4840,-4840
2,96,6,1,-466,1,2,4,5c3a518e0b5bb30001033afd,1,449,0,-466,96,-44736,-44736
3,69,6,0,-415,1,2,4,5c3a518e0b5bb30001033afd,1,-415,0,-415,69,-28635,-28635
4,68,6,0,-480,1,2,4,5c3a518e0b5bb30001033afd,1,-498,0,-480,68,-32640,-32640
5,64,6,0,-486,1,2,4,5c3a518e0b5bb30001033afd,1,-498,0,-486,64,-31104,-31104
7,28,6,1,424,1,2,4,5c3a518e0b5bb30001033afd,1,424,0,424,28,11872,11872
8,20,6,0,410,1,2,4,5c3a518e0b5bb30001033afd,1,-423,0,410,20,8200,8200
9,69,6,1,496,1,2,4,5c3a518e0b5bb30001033afd,1,496,0,496,69,34224,34224
11,64,6,0,-470,1,2,4,5c3a518e0b5bb30001033afd,1,-408,0,-470,64,-30080,-30080
12,40,6,1,430,1,2,4,5c3a518e0b5bb30001033afd,1,430,0,430,40,17200,17200
13,96,6,1,-480,1,2,4,5c3a518e0b5bb30001033afd,1,429,0,-480,96,-46080,-46080
14,93,6,1,-425,1,2,4,5c3a518e0b5bb30001033afd,1,410,0,-425,93,-39525,-39525
15,60,6,1,404,1,2,4,5c3a518e0b5bb30001033afd,1,404,0,404,60,24240,24240
17,3,6,0,-495,1,2,4,5c3a518e0b5bb30001033afd,1,-495,0,-495,3,-1485,-1485
18,5,6,0,-498,1,2,4,5c3a518e0b5bb30001033afd,1,-498,0,-498,5,-2490,-2490
19,46,6,1,404,1,2,4,5c3a518e0b5bb30001033afd,1,490,0,404,46,18584,18584
20,37,6,1,479,1,2,4,5c3a518e0b5bb30001033afd,1,479,0,479,37,17723,17723
21,72,6,1,464,1,2,4,5c3a518e0b5bb30001033afd,1,464,0,464,72,33408,33408
22,72,6,1,436,1,2,4,5c3a518e0b5bb30001033afd,1,436,0,436,72,31392,31392
24,1,6,1,450,1,2,4,5c3a518e0b5bb30001033afd,1,450,0,450,1,450,450
25,35,6,1,424,1,2,4,5c3a518e0b5bb30001033afd,1,424,0,424,35,14840,14840
27,61,6,1,432,1,2,4,5c3a518e0b5bb30001033afd,1,432,0,432,61,26352,26352
28,47,6,0,-444,1,2,4,5c3a518e0b5bb30001033afd,1,-495,0,-444,47,-20868,-20868
29,95,6,0,457,1,2,4,5c3a518e0b5bb30001033afd,1,-457,0,457,95,43415,43415
30,8,6,0,-483,1,2,4,5c3a518e0b5bb30001033afd,1,-483,0,-483,8,-3864,-3864
32,65,6,1,-427,1,2,4,5c3a518e0b5bb30001033afd,1,448,0,-427,65,-27755,-27755
33,91,6,0,432,1,2,4,5c3a518e0b5bb30001033afd,1,-431,0,432,91,39312,39312
34,47,6,0,454,1,2,4,5c3a518e0b5bb30001033afd,1,-450,0,454,47,21338,21338
35,6,6,0,-476,1,2,4,5c3a518e0b5bb30001033afd,1,-476,0,-476,6,-2856,-2856
36,81,6,1,417,1,2,4,5c3a518e0b5bb30001033afd,1,484,0,417,81,33777,33777
37,98,6,0,492,1,2,4,5c3a518e0b5bb30001033afd,1,-487,0,492,98,48216,48216
38,53,6,1,-431,1,2,4,5c3a518e0b5bb30001033afd,1,413,0,-431,53,-22843,-22843
40,87,6,1,-432,1,2,4,5c3a518e0b5bb30001033afd,1,489,0,-432,87,-37584,-37584
41,60,6,0,-429,1,2,4,5c3a518e0b5bb30001033afd,1,-429,0,-429,60,-25740,-25740
42,13,6,0,-401,1,2,4,5c3a518e0b5bb30001033afd,1,-401,0,-401,13,-5213,-5213
43,38,6,1,430,1,2,4,5c3a518e0b5bb30001033afd,1,430,0,430,38,16340,16340
44,30,6,0,-436,1,2,4,5c3a518e0b5bb30001033afd,1,-458,0,-436,30,-13080,-13080
46,14,6,1,464,1,2,4,5c3a518e0b5bb30001033afd,1,464,0,464,14,6496,6496
47,9,6,0,-452,1,2,4,5c3a518e0b5bb30001033afd,1,-452,0,-452,9,-4068,-4068
48,40,6,1,479,1,2,4,5c3a518e0b5bb30001033afd,1,460,0,479,40,19160,19160
1,71,0,1,-431,0,2,4,5c4f5967aac8be0001716a65,0,411,0,0,0,-30601,0
2,78,3,0,-414,0,2,4,5c4f5967aac8be0001716a65,0,-478,0,0,0,-32292,0
3,13,5,0,-424,0,2,4,5c4f5967aac8be0001716a65,0,-424,0,0,0,-5512,0
4,56,5,1,483,0,2,4,5c4f5967aac8be0001716a65,0,483,0,0,0,27048,0
5,39,6,0,452,0,2,4,5c4f5967aac8be0001716a65,0,-463,0,0,0,17628,0
7,50,3,1,-429,0,2,4,5c4f5967aac8be0001716a65,0,431,0,0,0,-21450,0
8,92,5,0,-490,0,2,4,5c4f5967aac8be0001716a65,0,-429,0,0,0,-45080,0
9,2,0,0,-474,0,2,4,5c4f5967aac8be0001716a65,0,-474,0,0,0,-948,0
11,41,2,0,-499,0,2,4,5c4f5967aac8be0001716a65,0,-499,0,0,0,-20459,0
12,60,3,1,402,0,2,4,5c4f5967aac8be0001716a65,0,434,0,0,0,24120,0
13,43,4,0,-418,0,2,4,5c4f5967aac8be0001716a65,0,-418,0,0,0,-17974,0
14,80,6,0,417,0,2,4,5c4f5967aac8be0001716a65,0,-419,0,0,0,33360,0
15,31,4,1,463,0,2,4,5c4f5967aac8be0001716a65,0,463,0,0,0,14353,0
17,41,6,1,497,0,2,4,5c4f5967aac8be0001716a65,0,497,0,0,0,20377,0
18,45,3,0,-421,0,2,4,5c4f5967aac8be0001716a65,0,-421,0,0,0,-18945,0
19,63,4,0,417,0,2,4,5c4f5967aac8be0001716a65,0,-460,0,0,0,26271,0
20,35,6,1,409,0,2,4,5c4f5967aac8be0001716a65,0,409,0,0,0,14315,0
21,90,6,0,434,0,2,4,5c4f5967aac8be0001716a65,0,-420,0,0,0,39060,0
22,61,6,1,-479,0,2,4,5c4f5967aac8be0001716a65,0,400,0,0,0,-29219,0
24,74,4,0,-413,0,2,4,5c4f5967aac8be0001716a65,0,-455,0,0,0,-30562,0
25,28,2,1,473,0,2,4,5c4f5967aac8be0001716a65,0,473,0,0,0,13244,0
27,89,6,1,-485,0,2,4,5c4f5967aac8be0001716a65,0,451,0,0,0,-43165,0
28,45,5,1,406,0,2,4,5c4f5967aac8be0001716a65,0,406,0,0,0,18270,0
29,59,5,1,419,0,2,4,5c4f5967aac8be0001716a65,0,455,0,0,0,24721,0
30,57,4,1,466,0,2,4,5c4f5967aac8be0001716a65,0,402,0,0,0,26562,0
32,44,5,0,-408,0,2,4,5c4f5967aac8be0001716a65,0,-408,0,0,0,-17952,0
33,76,5,0,-500,0,2,4,5c4f5967aac8be0001716a65,0,-478,0,0,0,-38000,0
34,35,0,1,499,0,2,4,5c4f5967aac8be0001716a65,0,499,0,0,0,17465,0
35,83,6,0,471,0,2,4,5c4f5967aac8be0001716a65,0,-416,0,0,0,39093,0
36,88,6,1,438,0,2,4,5c4f5967aac8be0001716a65,0,485,0,0,0,38544,0
37,86,0,0,-440,0,2,4,5c4f5967aac8be0001716a65,0,-442,0,0,0,-37840,0
38,36,0,1,458,0,2,4,5c4f5967aac8be0001716a65,0,458,0,0,0,16488,0
40,99,6,0,500,0,2,4,5c4f5967aac8be0001716a65,0,-480,0,0,0,49500,0
41,64,6,1,-425,0,2,4,5c4f5967aac8be0001716a65,0,420,0,0,0,-27200,0
42,39,0,1,487,0,2,4,5c4f5967aac8be0001716a65,0,487,0,0,0,18993,0
43,90,3,1,427,0,2,4,5c4f5967aac8be0001716a65,0,488,0,0,0,38430,0
44,38,0,0,-445,0,2,4,5c4f5967aac8be0001716a65,0,-445,0,0,0,-16910,0
46,98,6,0,437,0,2,4,5c4f5967aac8be0001716a65,0,-469,0,0,0,42826,0
47,84,5,0,-428,0,2,4,5c4f5967aac8be0001716a65,0,-447,0,0,0,-35952,0
48,33,0,1,451,0,2,4,5c4f5967aac8be0001716a65,0,451,0,0,0,14883,0
1,82,6,1,-446,1,2,4,5c4f5967aac8be0001716a65,0,463,0,-446,82,-36572,-36572
2,87,6,1,-404,1,2,4,5c4f5967aac8be0001716a65,0,446,0,-404,87,-35148,-35148
3,23,6,1,-483,1,2,4,5c4f5967aac8be0001716a65,0,450,0,-483,23,-11109,-11109
4,99,5,1,-433,1,2,4,5c4f5967aac8be0001716a65,0,473,0,-433,99,-42867,-42867
5,25,6,1,483,1,2,4,5c4f5967aac8be0001716a65,0,483,0,483,25,12075,12075
7,74,6,1,413,1,2,4,5c4f5967aac8be0001716a65,0,420,0,413,74,30562,30562
8,42,0,0,-421,1,2,4,5c4f5967aac8be0001716a65,0,-421,0,-421,42,-17682,-17682
9,46,6,1,-413,1,2,4,5c4f5967aac8be0001716a65,0,480,0,-413,46,-18998,-18998
11,6,6,0,-413,1,2,4,5c4f5967aac8be0001716a65,0,-413,0,-413,6,-2478,-2478
12,82,0,1,481,1,2,4,5c4f5967aac8be0001716a65,0,486,0,481,82,39442,39442
13,97,6,0,451,1,2,4,5c4f5967aac8be0001716a65,0,-437,0,451,97,43747,43747
14,33,2,0,-497,1,2,4,5c4f5967aac8be0001716a65,0,-428,0,-497,33,-16401,-16401
15,2,0,1,468,1,2,4,5c4f5967aac8be0001716a65,0,468,0,468,2,936,936
17,71,2,0,-499,1,2,4,5c4f5967aac8be0001716a65,0,-496,0,-499,71,-35429,-35429
18,76,4,1,460,1,2,4,5c4f5967aac8be0001716a65,0,500,0,460,76,34960,34960
19,44,4,0,-483,1,2,4,5c4f5967aac8be0001716a65,0,-495,0,-483,44,-21252,-21252
20,92,4,1,470,1,2,4,5c4f5967aac8be0001716a65,0,494,0,470,92,43240,43240
21,19,6,0,-424,1,2,4,5c4f5967aac8be0001716a65,0,-424,0,-424,19,-8056,-8056
22,58,0,1,460,1,2,4,5c4f5967aac8be0001716a65,0,460,0,460,58,26680,26680
24,53,6,0,437,1,2,4,5c4f5967aac8be0001716a65,0,-402,0,437,53,23161,23161
25,30,6,1,-443,1,2,4,5c4f5967aac8be0001716a65,0,400,0,-443,30,-13290,-13290
27,53,0,0,-465,1,2,4,5c4f5967aac8be0001716a65,0,-465,0,-465,53,-24645,-24645
28,45,0,1,490,1,2,4,5c4f5967aac8be0001716a65,0,475,0,490,45,22050,22050
29,15,6,1,-424,1,2,4,5c4f5967aac8be0001716a65,0,426,0,-424,15,-6360,-6360
30,86,2,0,-453,1,2,4,5c4f5967aac8be0001716a65,0,-412,0,-453,86,-38958,-38958
32,84,0,1,495,1,2,4,5c4f5967aac8be0001716a65,0,495,0,495,84,41580,41580
33,44,0,1,418,1,2,4,5c4f5967aac8be0001716a65,0,418,0,418,44,18392,18392
34,67,6,1,-484,1,2,4,5c4f5967aac8be0001716a65,0,405,0,-484,67,-32428,-32428
35,74,0,0,-467,1,2,4,5c4f5967aac8be0001716a65,0,-459,0,-467,74,-34558,-34558
36,48,1,0,-439,1,2,4,5c4f5967aac8be0001716a65,0,-460,0,-439,48,-21072,-21072
37,57,0,0,-434,1,2,4,5c4f5967aac8be0001716a65,0,-434,0,-434,57,-24738,-24738
38,50,3,0,-500,1,2,4,5c4f5967aac8be0001716a65,0,-404,0,-500,50,-25000,-25000
40,92,1,1,432,1,2,4,5c4f5967aac8be0001716a65,0,425,0,432,92,39744,39744
41,4,1,1,460,1,2,4,5c4f5967aac8be0001716a65,0,407,0,460,4,1840,1840
42,29,0,1,459,1,2,4,5c4f5967aac8be0001716a65,0,459,0,459,29,13311,13311
43,74,0,0,-404,1,2,4,5c4f5967aac8be0001716a65,0,-404,0,-404,74,-29896,-29896
44,91,2,1,418,1,2,4,5c4f5967aac8be0001716a65,0,477,0,418,91,38038,38038
46,82,2,1,445,1,2,4,5c4f5967aac8be0001716a65,0,445,0,445,82,36490,36490
47,72,2,0,416,1,2,4,5c4f5967aac8be0001716a65,0,-461,0,416,72,29952,29952
48,58,3,1,-487,1,2,4,5c4f5967aac8be0001716a65,0,453,0,-487,58,-28246,-28246
1,37,6,1,421,0,2,4,5c7d59f5d454af00160e34d2,0,421,0,0,0,15577,0
2,30,6,0,-500,0,2,4,5c7d59f5d454af00160e34d2,0,-500,0,0,0,-15000,0
3,8,6,1,407,0,2,4,5c7d59f5d454af00160e34d2,0,407,0,0,0,3256,0
4,26,6,0,-432,0,2,4,5c7d59f5d454af00160e34d2,0,-432,0,0,0,-11232,0
5,6,6,1,447,0,2,4,5c7d59f5d454af00160e34d2,0,447,0,0,0,2682,0
7,21,6,1,461,0,2,4,5c7d59f5d454af00160e34d2,0,461,0,0,0,9681,0
8,70,6,0,447,0,2,4,5c7d59f5d454af00160e34d2,0,-411,0,0,0,31290,0
9,1,6,1,488,0,2,4,5c7d59f5d454af00160e34d2,0,488,0,0,0,488,0
11,3,6,0,-454,0,2,4,5c7d59f5d454af00160e34d2,0,-454,0,0,0,-1362,0
12,25,6,1,496,0,2,4,5c7d59f5d454af00160e34d2,0,496,0,0,0,12400,0
13,1,6,1,492,0,2,4,5c7d59f5d454af00160e34d2,0,492,0,0,0,492,0
14,34,6,0,-491,0,2,4,5c7d59f5d454af00160e34d2,0,-491,0,0,0,-16694,0
15,49,6,1,419,0,2,4,5c7d59f5d454af00160e34d2,0,419,0,0,0,20531,0
17,64,6,0,-497,0,2,4,5c7d59f5d454af00160e34d2,0,-497,0,0,0,-31808,0
18,22,6,1,440,0,2,4,5c7d59f5d454af00160e34d2,0,440,0,0,0,9680,0
19,68,6,0,-411,0,2,4,5c7d59f5d454af00160e34d2,0,-496,0,0,0,-27948,0
20,26,6,1,412,0,2,4,5c7d59f5d454af00160e34d2,0,412,0,0,0,10712,0
21,48,6,1,498,0,2,4,5c7d59f5d454af00160e34d2,0,498,0,0,0,23904,0
22,98,6,0,-467,0,2,4,5c7d59f5d454af00160e34d2,0,-453,0,0,0,-45766,0
24,93,6,1,-465,0,2,4,5c7d59f5d454af00160e34d2,0,472,0,0,0,-43245,0
25,17,6,1,487,0,2,4,5c7d59f5d454af00160e34d2,0,487,0,0,0,8279,0
27,23,6,1,464,0,2,4,5c7d59f5d454af00160e34d2,0,464,0,0,0,10672,0
28,17,6,0,-405,0,2,4,5c7d59f5d454af00160e34d2,0,-405,0,0,0,-6885,0
29,27,6,0,-401,0,2,4,5c7d59f5d454af00160e34d2,0,-401,0,0,0,-10827,0
30,24,6,1,467,0,2,4,5c7d59f5d454af00160e34d2,0,467,0,0,0,11208,0
32,47,6,1,421,0,2,4,5c7d59f5d454af00160e34d2,0,421,0,0,0,19787,0
33,53,6,0,459,0,2,4,5c7d59f5d454af00160e34d2,0,-474,0,0,0,24327,0
34,10,6,1,446,0,2,4,5c7d59f5d454af00160e34d2,0,446,0,0,0,4460,0
35,35,6,1,479,0,2,4,5c7d59f5d454af00160e34d2,0,479,0,0,0,16765,0
36,27,6,1,448,0,2,4,5c7d59f5d454af00160e34d2,0,448,0,0,0,12096,0
37,80,6,0,-469,0,2,4,5c7d59f5d454af00160e34d2,0,-469,0,0,0,-37520,0
38,72,6,0,-446,0,2,4,5c7d59f5d454af00160e34d2,0,-446,0,0,0,-32112,0
40,28,6,0,-443,0,2,4,5c7d59f5d454af00160e34d2,0,-427,0,0,0,-12404,0
41,25,6,1,476,0,2,4,5c7d59f5d454af00160e34d2,0,476,0,0,0,11900,0
42,73,6,0,495,0,2,4,5c7d59f5d454af00160e34d2,0,-484,0,0,0,36135,0
43,51,6,1,-434,0,2,4,5c7d59f5d454af00160e34d2,0,400,0,0,0,-22134,0
44,96,6,1,-408,0,2,4,5c7d59f5d454af00160e34d2,0,411,0,0,0,-39168,0
46,63,6,1,465,0,2,4,5c7d59f5d454af00160e34d2,0,465,0,0,0,29295,0
47,86,6,0,492,0,2,4,5c7d59f5d454af00160e34d2,0,-463,0,0,0,42312,0
48,81,6,1,455,0,2,4,5c7d59f5d454af00160e34d2,0,448,0,0,0,36855,0
1,70,6,1,487,1,2,4,5c7d59f5d454af00160e34d2,0,475,0,487,70,34090,34090
2,60,6,0,-438,1,2,4,5c7d59f5d454af00160e34d2,0,-438,0,-438,60,-26280,-26280
3,92,6,1,450,1,2,4,5c7d59f5d454af00160e34d2,0,456,0,450,92,41400,41400
4,73,6,0,435,1,2,4,5c7d59f5d454af00160e34d2,0,-418,0,435,73,31755,31755
5,85,6,0,-473,1,2,4,5c7d59f5d454af00160e34d2,0,-472,0,-473,85,-40205,-40205
7,7,6,1,449,1,2,4,5c7d59f5d454af00160e34d2,0,449,0,449,7,3143,3143
8,63,6,1,409,1,2,4,5c7d59f5d454af00160e34d2,0,435,0,409,63,25767,25767
9,41,6,0,-486,1,2,4,5c7d59f5d454af00160e34d2,0,-486,0,-486,41,-19926,-19926
11,33,6,0,-484,1,2,4,5c7d59f5d454af00160e34d2,0,-412,0,-484,33,-15972,-15972
12,40,6,0,474,1,2,4,5c7d59f5d454af00160e34d2,0,-453,0,474,40,18960,18960
13,85,6,0,-475,1,2,4,5c7d59f5d454af00160e34d2,0,-433,0,-475,85,-40375,-40375
14,84,6,1,428,1,2,4,5c7d59f5d454af00160e34d2,0,428,0,428,84,35952,35952
15,76,6,1,485,1,2,4,5c7d59f5d454af00160e34d2,0,485,0,485,76,36860,36860
17,95,6,1,-408,1,2,4,5c7d59f5d454af00160e34d2,0,497,0,-408,95,-38760,-38760
18,2,6,0,-403,1,2,4,5c7d59f5d454af00160e34d2,0,-403,0,-403,2,-806,-806
19,52,6,0,-402,1,2,4,5c7d59f5d454af00160e34d2,0,-455,0,-402,52,-20904,-20904
20,72,6,0,-425,1,2,4,5c7d59f5d454af00160e34d2,0,-407,0,-425,72,-30600,-30600
21,69,6,0,-424,1,2,4,5c7d59f5d454af00160e34d2,0,-424,0,-424,69,-29256,-29256
22,45,6,1,-406,1,2,4,5c7d59f5d454af00160e34d2,0,400,0,-406,45,-18270,-18270
24,93,6,0,-403,1,2,4,5c7d59f5d454af00160e34d2,0,-403,0,-403,93,-37479,-37479
25,1,6,1,412,1,2,4,5c7d59f5d454af00160e34d2,0,412,0,412,1,412,412
27,69,6,0,-448,1,2,4,5c7d59f5d454af00160e34d2,0,-420,0,-448,69,-30912,-30912
28,81,6,1,472,1,2,4,5c7d59f5d454af00160e34d2,0,498,0,472,81,38232,38232
29,16,6,0,-458,1,2,4,5c7d59f5d454af00160e34d2,0,-458,0,-458,16,-7328,-7328
30,75,6,1,430,1,2,4,5c7d59f5d454af00160e34d2,0,475,0,430,75,32250,32250
32,88,6,1,-454,1,2,4,5c7d59f5d454af00160e34d2,0,452,0,-454,88,-39952,-39952
33,87,6,0,444,1,2,4,5c7d59f5d454af00160e34d2,0,-419,0,444,87,38628,38628
34,64,6,1,479,1,2,4,5c7d59f5d454af00160e34d2,0,479,0,479,64,30656,30656
35,18,6,1,437,1,2,4,5c7d59f5d454af00160e34d2,0,437,0,437,18,7866,7866
36,44,6,1,469,1,2,4,5c7d59f5d454af00160e34d2,0,469,0,469,44,20636,20636
37,3,6,1,412,1,2,4,5c7d59f5d454af00160e34d2,0,412,0,412,3,1236,1236
38,52,6,0,-458,1,2,4,5c7d59f5d454af00160e34d2,0,-459,0,-458,52,-23816,-23816
40,30,6,1,467,1,2,4,5c7d59f5d454af00160e34d2,0,467,0,467,30,14010,14010
41,96,6,0,414,1,2,4,5c7d59f5d454af00160e34d2,0,-403,0,414,96,39744,39744
42,95,6,0,450,1,2,4,5c7d59f5d454af00160e34d2,0,-421,0,450,95,42750,42750
43,96,6,0,-476,1,2,4,5c7d59f5d454af00160e34d2,0,-489,0,-476,96,-45696,-45696
44,19,6,1,414,1,2,4,5c7d59f5d454af00160e34d2,0,414,0,414,19,7866,7866
46,62,6,1,429,1,2,4,5c7d59f5d454af00160e34d2,0,429,0,429,62,26598,26598
47,38,6,0,-445,1,2,4,5c7d59f5d454af00160e34d2,0,-462,0,-445,38,-16910,-16910
48,65,6,1,479,1,2,4,5c7d59f5d454af00160e34d2,0,479,0,479,65,31135,31135
1,19,3,0,-452,0,2,4,5cb36757492ab200013588d3,1,-452,1,0,0,-8588,0
2,63,4,1,432,0,2,4,5cb36757492ab200013588d3,1,493,1,0,0,27216,0
3,23,3,1,408,0,2,4,5cb36757492ab200013588d3,1,408,1,0,0,9384,0
4,4,4,1,411,0,2,4,5cb36757492ab200013588d3,1,411,1,0,0,1644,0
5,57,4,0,-442,0,2,4,5cb36757492ab200013588d3,1,-442,1,0,0,-25194,0
7,16,4,1,401,0,2,4,5cb36757492ab200013588d3,1,401,1,0,0,6416,0
8,21,4,1,454,0,2,4,5cb36757492ab200013588d3,1,454,1,0,0,9534,0
9,74,0,0,454,0,2,4,5cb36757492ab200013588d3,1,-454,1,0,0,33596,0
11,22,0,1,-433,0,2,4,5cb36757492ab200013588d3,1,481,1,0,0,-9526,0
12,76,0,0,486,0,2,4,5cb36757492ab200013588d3,1,-486,1,0,0,36936,0
13,89,1,1,477,0,2,4,5cb36757492ab200013588d3,1,477,1,0,0,42453,0
14,41,3,0,-462,0,2,4,5cb36757492ab200013588d3,1,-462,1,0,0,-18942,0
15,75,1,1,-454,0,2,4,5cb36757492ab200013588d3,1,464,1,0,0,-34050,0
17,50,1,0,-450,0,2,4,5cb36757492ab200013588d3,1,-472,1,0,0,-22500,0
18,12,4,1,412,0,2,4,5cb36757492ab200013588d3,1,412,1,0,0,4944,0
19,96,0,0,486,0,2,4,5cb36757492ab200013588d3,1,-500,1,0,0,46656,0
20,27,4,0,-498,0,2,4,5cb36757492ab200013588d3,1,-407,1,0,0,-13446,0
21,88,0,0,484,0,2,4,5cb36757492ab200013588d3,1,-406,1,0,0,42592,0
22,87,3,0,-430,0,2,4,5cb36757492ab200013588d3,1,-499,1,0,0,-37410,0
24,91,1,1,-415,0,2,4,5cb36757492ab200013588d3,1,449,1,0,0,-37765,0
25,16,5,0,-413,0,2,4,5cb36757492ab200013588d3,1,-413,1,0,0,-6608,0
27,55,4,0,-436,0,2,4,5cb36757492ab200013588d3,1,-456,1,0,0,-23980,0
28,74,3,0,-420,0,2,4,5cb36757492ab200013588d3,1,-420,1,0,0,-31080,0
29,44,3,0,-407,0,2,4,5cb36757492ab200013588d3,1,-404,1,0,0,-17908,0
30,92,3,1,429,0,2,4,5cb36757492ab200013588d3,1,497,1,0,0,39468,0
32,17,3,0,-457,0,2,4,5cb36757492ab200013588d3,1,-457,1,0,0,-7769,0
33,4,4,0,-488,0,2,4,5cb36757492ab200013588d3,1,-488,1,0,0,-1952,0
34,90,3,1,497,0,2,4,5cb36757492ab200013588d3,1,473,1,0,0,44730,0
35,99,0,0,486,0,2,4,5cb36757492ab200013588d3,1,-486,1,0,0,48114,0
36,24,4,1,498,0,2,4,5cb36757492ab200013588d3,1,498,1,0,0,11952,0
37,70,4,0,-444,0,2,4,5cb36757492ab200013588d3,1,-444,1,0,0,-31080,0
38,68,0,1,-433,0,2,4,5cb36757492ab200013588d3,1,491,1,0,0,-29444,0
40,54,0,0,500,0,2,4,5cb36757492ab200013588d3,1,-490,1,0,0,27000,0
41,25,4,0,-427,0,2,4,5cb36757492ab200013588d3,1,-466,1,0,0,-10675,0
42,35,3,1,479,0,2,4,5cb36757492ab200013588d3,1,479,1,0,0,16765,0
43,54,2,1,474,0,2,4,5cb36757492ab200013588d3,1,474,1,0,0,25596,0
44,41,2,0,470,0,2,4,5cb36757492ab200013588d3,1,-481,1,0,0,19270,0
46,90,1,1,451,0,2,4,5cb36757492ab200013588d3,1,421,1,0,0,40590,0
47,97,2,0,-471,0,2,4,5cb36757492ab200013588d3,1,-447,1,0,0,-45687,0
48,84,0,1,-413,0,2,4,5cb36757492ab200013588d3,1,454,1,0,0,-34692,0
1,97,5,1,-435,1,2,4,5cb36757492ab200013588d3,1,467,1,-435,97,-42195,-42195
