n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,Task1Seek,check,ID,SeekFirst1,Predicted_MC,Old1,ValInstr,UncIntr,ValUnc,3w
35,88,6,0,-463,1,2,4,556e4e83fdf99b6d4a6a1382,1,-463,0,-463,88,-40744,-40744
36,75,6,1,405,1,2,4,556e4e83fdf99b6d4a6a1382,1,405,0,405,75,30375,30375
37,14,6,1,415,1,2,4,556e4e83fdf99b6d4a6a1382,1,415,0,415,14,5810,5810
38,74,6,1,495,1,2,4,556e4e83fdf99b6d4a6a1382,1,421,0,495,74,36630,36630
40,36,6,0,-438,1,2,4,556e4e83fdf99b6d4a6a1382,1,-438,0,-438,36,-15768,-15768
41,32,6,0,-437,1,2,4,556e4e83fdf99b6d4a6a1382,1,-437,0,-437,32,-13984,-13984
42,4,6,1,413,1,2,4,556e4e83fdf99b6d4a6a1382,1,413,0,413,4,1652,1652
43,21,6,0,-431,1,2,4,556e4e83fdf99b6d4a6a1382,1,-431,0,-431,21,-9051,-9051
44,88,6,0,448,1,2,4,556e4e83fdf99b6d4a6a1382,1,-479,0,448,88,39424,39424
46,30,6,1,-496,1,2,4,556e4e83fdf99b6d4a6a1382,1,459,0,-496,30,-14880,-14880
47,19,6,0,-452,1,2,4,556e4e83fdf99b6d4a6a1382,1,-452,0,-452,19,-8588,-8588
48,47,6,0,-420,1,2,4,556e4e83fdf99b6d4a6a1382,1,-451,0,-420,47,-19740,-19740
1,19,0,0,-407,0,2,4,55747e4afdf99b6752df4183,1,-407,0,0,0,-7733,0
2,18,0,1,433,0,2,4,55747e4afdf99b6752df4183,1,433,0,0,0,7794,0
3,70,0,0,492,0,2,4,55747e4afdf99b6752df4183,1,-459,0,0,0,34440,0
4,52,0,1,485,0,2,4,55747e4afdf99b6752df4183,1,485,0,0,0,25220,0
5,66,0,1,-476,0,2,4,55747e4afdf99b6752df4183,1,409,0,0,0,-31416,0
7,63,0,1,461,0,2,4,55747e4afdf99b6752df4183,1,410,0,0,0,29043,0
8,83,0,1,-486,0,2,4,55747e4afdf99b6752df4183,1,448,0,0,0,-40338,0
9,8,0,1,497,0,2,4,55747e4afdf99b6752df4183,1,497,0,0,0,3976,0
11,96,0,1,-452,0,2,4,55747e4afdf99b6752df4183,1,490,0,0,0,-43392,0
12,44,0,1,440,0,2,4,55747e4afdf99b6752df4183,1,431,0,0,0,19360,0
13,89,0,1,432,0,2,4,55747e4afdf99b6752df4183,1,478,0,0,0,38448,0
14,60,0,0,-411,0,2,4,55747e4afdf99b6752df4183,1,-411,0,0,0,-24660,0
15,70,0,0,-453,0,2,4,55747e4afdf99b6752df4183,1,-453,0,0,0,-31710,0
17,5,0,0,-473,0,2,4,55747e4afdf99b6752df4183,1,-473,0,0,0,-2365,0
18,35,0,1,424,0,2,4,55747e4afdf99b6752df4183,1,424,0,0,0,14840,0
19,30,0,0,-456,0,2,4,55747e4afdf99b6752df4183,1,-456,0,0,0,-13680,0
20,12,0,0,-451,0,2,4,55747e4afdf99b6752df4183,1,-451,0,0,0,-5412,0
21,16,0,1,438,0,2,4,55747e4afdf99b6752df4183,1,438,0,0,0,7008,0
22,84,0,0,479,0,2,4,55747e4afdf99b6752df4183,1,-492,0,0,0,40236,0
24,73,0,1,-406,0,2,4,55747e4afdf99b6752df4183,1,478,0,0,0,-29638,0
25,22,0,0,415,0,2,4,55747e4afdf99b6752df4183,1,-406,0,0,0,9130,0
27,43,0,0,-486,0,2,4,55747e4afdf99b6752df4183,1,-486,0,0,0,-20898,0
28,18,0,0,-410,0,2,4,55747e4afdf99b6752df4183,1,-410,0,0,0,-7380,0
29,40,0,0,-412,0,2,4,55747e4afdf99b6752df4183,1,-412,0,0,0,-16480,0
30,41,0,0,447,0,2,4,55747e4afdf99b6752df4183,1,-491,0,0,0,18327,0
32,9,0,1,404,0,2,4,55747e4afdf99b6752df4183,1,404,0,0,0,3636,0
33,24,0,1,-454,0,2,4,55747e4afdf99b6752df4183,1,481,0,0,0,-10896,0
34,93,0,1,468,0,2,4,55747e4afdf99b6752df4183,1,483,0,0,0,43524,0
35,33,0,0,450,0,2,4,55747e4afdf99b6752df4183,1,-453,0,0,0,14850,0
36,55,0,0,-460,0,2,4,55747e4afdf99b6752df4183,1,-460,0,0,0,-25300,0
37,55,0,0,-430,0,2,4,55747e4afdf99b6752df4183,1,-430,0,0,0,-23650,0
38,22,0,1,444,0,2,4,55747e4afdf99b6752df4183,1,444,0,0,0,9768,0
40,8,0,0,-471,0,2,4,55747e4afdf99b6752df4183,1,-471,0,0,0,-3768,0
41,69,0,0,-447,0,2,4,55747e4afdf99b6752df4183,1,-447,0,0,0,-30843,0
42,35,0,1,448,0,2,4,55747e4afdf99b6752df4183,1,448,0,0,0,15680,0
43,43,0,0,-417,0,2,4,55747e4afdf99b6752df4183,1,-417,0,0,0,-17931,0
44,36,0,0,-438,0,2,4,55747e4afdf99b6752df4183,1,-438,0,0,0,-15768,0
46,5,0,0,-480,0,2,4,55747e4afdf99b6752df4183,1,-480,0,0,0,-2400,0
47,49,0,0,-445,0,2,4,55747e4afdf99b6752df4183,1,-482,0,0,0,-21805,0
48,80,0,0,-416,0,2,4,55747e4afdf99b6752df4183,1,-498,0,0,0,-33280,0
1,66,6,1,408,1,2,4,55747e4afdf99b6752df4183,1,460,0,408,66,26928,26928
2,86,6,0,476,1,2,4,55747e4afdf99b6752df4183,1,-485,0,476,86,40936,40936
3,68,6,1,-448,1,2,4,55747e4afdf99b6752df4183,1,433,0,-448,68,-30464,-30464
4,47,6,0,425,1,2,4,55747e4afdf99b6752df4183,1,-409,0,425,47,19975,19975
5,2,6,1,450,1,2,4,55747e4afdf99b6752df4183,1,450,0,450,2,900,900
7,32,6,1,416,1,2,4,55747e4afdf99b6752df4183,1,416,0,416,32,13312,13312
8,91,6,0,-436,1,2,4,55747e4afdf99b6752df4183,1,-436,0,-436,91,-39676,-39676
9,33,6,0,402,1,2,4,55747e4afdf99b6752df4183,1,-491,0,402,33,13266,13266
11,3,6,0,-407,1,2,4,55747e4afdf99b6752df4183,1,-407,0,-407,3,-1221,-1221
12,93,6,1,403,1,2,4,55747e4afdf99b6752df4183,1,478,0,403,93,37479,37479
13,83,6,0,430,1,2,4,55747e4afdf99b6752df4183,1,-405,0,430,83,35690,35690
14,31,6,1,497,1,2,4,55747e4afdf99b6752df4183,1,497,0,497,31,15407,15407
15,56,6,0,-403,1,2,4,55747e4afdf99b6752df4183,1,-403,0,-403,56,-22568,-22568
17,8,6,0,-453,1,2,4,55747e4afdf99b6752df4183,1,-453,0,-453,8,-3624,-3624
18,59,6,0,-447,1,2,4,55747e4afdf99b6752df4183,1,-422,0,-447,59,-26373,-26373
19,84,6,1,455,1,2,4,55747e4afdf99b6752df4183,1,416,0,455,84,38220,38220
20,72,6,0,-409,1,2,4,55747e4afdf99b6752df4183,1,-459,0,-409,72,-29448,-29448
21,18,6,0,-412,1,2,4,55747e4afdf99b6752df4183,1,-482,0,-412,18,-7416,-7416
22,94,6,0,-473,1,2,4,55747e4afdf99b6752df4183,1,-483,0,-473,94,-44462,-44462
24,68,6,1,458,1,2,4,55747e4afdf99b6752df4183,1,458,0,458,68,31144,31144
25,6,6,1,419,1,2,4,55747e4afdf99b6752df4183,1,419,0,419,6,2514,2514
27,70,6,1,456,1,2,4,55747e4afdf99b6752df4183,1,446,0,456,70,31920,31920
28,23,6,1,408,1,2,4,55747e4afdf99b6752df4183,1,408,0,408,23,9384,9384
29,20,6,0,-479,1,2,4,55747e4afdf99b6752df4183,1,-479,0,-479,20,-9580,-9580
30,1,6,0,-460,1,2,4,55747e4afdf99b6752df4183,1,-460,0,-460,1,-460,-460
32,98,6,1,442,1,2,4,55747e4afdf99b6752df4183,1,440,0,442,98,43316,43316
33,83,6,1,464,1,2,4,55747e4afdf99b6752df4183,1,493,0,464,83,38512,38512
34,96,6,1,468,1,2,4,55747e4afdf99b6752df4183,1,445,0,468,96,44928,44928
35,27,6,1,447,1,2,4,55747e4afdf99b6752df4183,1,447,0,447,27,12069,12069
36,60,6,0,-422,1,2,4,55747e4afdf99b6752df4183,1,-422,0,-422,60,-25320,-25320
37,98,6,1,-424,1,2,4,55747e4afdf99b6752df4183,1,443,0,-424,98,-41552,-41552
38,76,6,0,497,1,2,4,55747e4afdf99b6752df4183,1,-419,0,497,76,37772,37772
40,2,6,0,-492,1,2,4,55747e4afdf99b6752df4183,1,-492,0,-492,2,-984,-984
41,86,6,0,-486,1,2,4,55747e4afdf99b6752df4183,1,-447,0,-486,86,-41796,-41796
42,92,6,0,478,1,2,4,55747e4afdf99b6752df4183,1,-496,0,478,92,43976,43976
43,15,6,0,450,1,2,4,55747e4afdf99b6752df4183,1,-421,0,450,15,6750,6750
44,92,6,0,-433,1,2,4,55747e4afdf99b6752df4183,1,-416,0,-433,92,-39836,-39836
46,96,6,0,-404,1,2,4,55747e4afdf99b6752df4183,1,-484,0,-404,96,-38784,-38784
47,89,6,0,-491,1,2,4,55747e4afdf99b6752df4183,1,-491,0,-491,89,-43699,-43699
48,52,6,0,-499,1,2,4,55747e4afdf99b6752df4183,1,-428,0,-499,52,-25948,-25948
1,33,5,1,403,0,2,4,5658000ca9872d0011e1ba26,0,403,0,0,0,13299,0
2,55,6,0,444,0,2,4,5658000ca9872d0011e1ba26,0,-444,0,0,0,24420,0
3,77,2,1,467,0,2,4,5658000ca9872d0011e1ba26,0,467,0,0,0,35959,0
4,26,6,1,464,0,2,4,5658000ca9872d0011e1ba26,0,464,0,0,0,12064,0
5,46,5,0,-410,0,2,4,5658000ca9872d0011e1ba26,0,-410,0,0,0,-18860,0
7,1,6,0,-434,0,2,4,5658000ca9872d0011e1ba26,0,-434,0,0,0,-434,0
8,26,5,0,-428,0,2,4,5658000ca9872d0011e1ba26,0,-428,0,0,0,-11128,0
9,20,5,1,-426,0,2,4,5658000ca9872d0011e1ba26,0,427,0,0,0,-8520,0
11,48,5,0,468,0,2,4,5658000ca9872d0011e1ba26,0,-403,0,0,0,22464,0
12,19,6,1,408,0,2,4,5658000ca9872d0011e1ba26,0,408,0,0,0,7752,0
13,54,3,1,410,0,2,4,5658000ca9872d0011e1ba26,0,410,0,0,0,22140,0
14,22,5,1,438,0,2,4,5658000ca9872d0011e1ba26,0,438,0,0,0,9636,0
