n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,Task1Seek,check,ID,mc_model,,ValInstr,UncIntr,ValUnc,3Qway
1,44,5,1,410,1,2,4,54b9acd9fdf99b34ce2578f9,410,0,410,44,18040,18040
2,73,6,0,-400,1,2,4,54b9acd9fdf99b34ce2578f9,-400,0,-400,73,-29200,-29200
3,65,5,1,412,1,2,4,54b9acd9fdf99b34ce2578f9,490,0,490,65,31850,31850
4,3,1,0,-453,1,2,4,54b9acd9fdf99b34ce2578f9,-453,0,-453,3,-1359,-1359
5,52,5,0,-452,1,2,4,54b9acd9fdf99b34ce2578f9,-452,0,-452,52,-23504,-23504
7,61,5,1,406,1,2,4,54b9acd9fdf99b34ce2578f9,422,0,422,61,25742,25742
8,45,4,1,414,1,2,4,54b9acd9fdf99b34ce2578f9,414,0,414,45,18630,18630
9,77,5,0,-491,1,2,4,54b9acd9fdf99b34ce2578f9,-475,0,-475,77,-36575,-36575
11,33,4,1,433,1,2,4,54b9acd9fdf99b34ce2578f9,-426,0,-426,33,-14058,-14058
12,61,4,1,497,1,2,4,54b9acd9fdf99b34ce2578f9,-417,0,-417,61,-25437,-25437
13,77,6,1,493,1,2,4,54b9acd9fdf99b34ce2578f9,-454,0,-454,77,-34958,-34958
14,14,1,1,425,1,2,4,54b9acd9fdf99b34ce2578f9,425,0,425,14,5950,5950
15,17,2,1,430,1,2,4,54b9acd9fdf99b34ce2578f9,430,0,430,17,7310,7310
17,23,4,1,448,1,2,4,54b9acd9fdf99b34ce2578f9,448,0,448,23,10304,10304
18,96,6,1,430,1,2,4,54b9acd9fdf99b34ce2578f9,463,0,463,96,44448,44448
19,30,3,0,-485,1,2,4,54b9acd9fdf99b34ce2578f9,-458,0,-458,30,-13740,-13740
20,23,3,0,-414,1,2,4,54b9acd9fdf99b34ce2578f9,-414,0,-414,23,-9522,-9522
21,58,6,1,479,1,2,4,54b9acd9fdf99b34ce2578f9,-450,0,-450,58,-26100,-26100
