metric_scope,metric,n_groups,mean_abs_error,median_abs_error
paper_index_scenario,equality_index_mean,6,0.07528192187643559,0.06829787234042561
paper_index_scenario,intentions_index_mean,6,0.20017210806456154,0.18937487335359673
paper_index_scenario,kindness_index_mean,6,0.1245572972634143,0.13056737588652478
paper_index_scenario,payoff_index_mean,6,0.040185313502363276,0.03946031746031753
paper_index_scenario,predictability_index_mean,6,0.32357014534971357,0.31999999999999995
paper_index_scenario,prosociality_index_mean,6,0.11023768023586597,0.11441843971631221
paper_index_session,delegation_index_mean,4,0.17571428571428566,0.15714285714285714
scenario,C_decision_nonnull_rate,6,0.051250000000000004,0.0
scenario,PD_decision_nonnull_rate,6,0.025000000000000005,0.0
scenario,SH_decision_nonnull_rate,6,0.036250000000000004,0.0
scenario,TGReceiver_decision_direct_mean,6,0.15758704052393435,0.15407407407407403
scenario,TGReceiver_decision_nonnull_rate,6,0.0875,0.0
scenario,TGSender_decision_nonnull_rate,6,0.1325,0.0
scenario,UGProposer_decision_direct_mean,6,0.37640960938217805,0.3414893617021275
scenario,UGProposer_decision_nonnull_rate,6,0.02625000000000001,0.0
scenario,UGResponder_decision_direct_mean,6,1.9970564468335386,1.9672813238770683
scenario,UGResponder_decision_nonnull_rate,6,0.09125,0.0
session,C_delegated,4,0.20500000000000002,0.21
session,PD_delegated,4,0.09999999999999999,0.08999999999999997
session,SH_delegated,4,0.14500000000000002,0.16
session,TGReceiver_delegated,4,0.35,0.32
session,TGSender_delegated,4,0.53,0.52
session,UGProposer_delegated,4,0.10500000000000001,0.05000000000000003
session,UGResponder_delegated,4,0.365,0.37
