cohortName,stageName,g_lp_val,init_val,round_avgs,best_val,worst_val,mean_val
Cohort 01-m7xkoz,First negotiation game-negotiation1,84.0000,59.0000,"[59.0000, 69.4000, 72.2000, 78.0000, 80.6000, 82.6000, 82.8000, 84.0000, 84.0000, 84.0000]",84.0000,84.0000,84.0000
Cohort 01-m7xkoz,Second negotiation game-negotiation2_alternate_profile,76.4000,50.0000,"[50.0000, 61.4400, 65.7600, 65.7600, 66.4800, 67.2000, 67.6000, 68.3200, 68.3200, 68.3200]",71.6000,58.4000,68.3200
Cohort 02-m7xl5i,First negotiation game-negotiation1,93.0000,80.0000,"[80.0000, 87.6000, 89.2000, 91.0000, 92.1000, 92.1000, 92.9000, 92.9000, 92.9000, 92.9000]",93.0000,92.5000,92.9000
Cohort 02-m7xl5i,Second negotiation game-negotiation2_alternate_profile,96.0000,75.0000,"[75.0000, 86.4000, 90.8000, 92.8222, 95.2222, 95.2222, 95.4000, 95.4000, 95.4000, 95.4000]",96.0000,95.0000,95.4000
Cohort 03-m7xld5,First negotiation game-negotiation1,86.8571,57.0000,"[57.0000, 72.4000, 80.0286, 82.7143, 82.7143, 85.2571, 85.2571, 85.2571, 86.4571, 86.4571]",86.7143,85.4286,86.4571
Cohort 03-m7xld5,Second negotiation game-negotiation2_alternate_profile,93.0000,73.0000,"[73.0000, 82.6000, 86.4533, 88.9067, 89.7067, 89.7067, 89.7067, 89.7067, 89.7067, 91.0400]",92.0000,90.6000,91.0400
Cohort 04-m7xlmc,First negotiation game-negotiation1,93.0000,71.0000,"[71.0000, 83.0000, 87.2667, 90.0667, 90.8667, 92.6000, 93.0000, 93.0000, 93.0000, 93.0000]",93.0000,93.0000,93.0000
Cohort 04-m7xlmc,Second negotiation game-negotiation2_alternate_profile,101.2500,81.0000,"[81.0000, 89.7750, 95.1750, 98.0250, 98.1500, 100.7500, 101.1000, 101.1000, 101.1000, 101.1000]",101.2500,100.8750,101.1000
Cohort 05-m7xlsd,First negotiation game-negotiation1,69.0000,57.0000,"[57.0000, 62.2000, 64.0000, 67.5000, 67.5000, 67.5000, 67.5000, 67.5000, 67.5000, 67.5000]",69.0000,66.0000,67.5000
Cohort 05-m7xlsd,Second negotiation game-negotiation2_alternate_profile,93.0000,70.0000,"[70.0000, 82.6000, 87.5500, 88.0833, 88.3500, 91.6583, 91.9250, 91.9250, 91.9250, 91.9250]",93.0000,91.3750,91.9250
Cohort 08-m7xm7k,First negotiation game-negotiation1,99.0000,69.0000,"[69.0000, 77.4000, 88.6000, 90.7143, 93.1143, 93.1143, 96.5143, 97.1143, 97.1143, 98.9143]",99.0000,98.5714,98.9143
Cohort 08-m7xm7k,Second negotiation game-negotiation2_alternate_profile,88.5714,63.0000,"[63.0000, 77.2857, 79.9857, 83.8000, 83.8000, 84.3000, 85.0143, 85.0143, 85.0143, 85.0143]",86.7143,81.5000,85.0143
Cohort 02-m89542,First negotiation game-negotiation1,99.0000,77.0000,"[77.0000, 84.4000, 88.0800, 94.6400, 96.8400, 96.8400, 96.8400, 96.8400, 96.8800, 96.8800]",99.0000,88.4000,96.8800
Cohort 02-m89542,Second negotiation game-negotiation2_alternate_profile,76.8000,60.0000,"[60.0000, 68.6000, 70.6000, 72.9000, 73.7000, 74.3000, 74.3000, 74.3000, 74.3000, 74.3000]",75.5000,72.5000,74.3000
Cohort 04-m89542,First negotiation game-negotiation1,84.0000,63.0000,"[63.0000, 71.0000, 80.0000, 80.4000, 81.6000, 84.0000, 84.0000, 84.0000, 84.0000, 84.0000]",84.0000,84.0000,84.0000
Cohort 04-m89542,Second negotiation game-negotiation2_alternate_profile,81.3333,60.0000,"[60.0000, 68.2000, 74.8000, 74.8000, 74.8000, 74.8000, 74.8000, 74.8000, 74.8000, 74.8000]",79.0000,72.0000,74.8000
Cohort 05-m89542,First negotiation game-negotiation1,74.6667,60.0000,"[60.0000, 66.8667, 71.2333, 72.7333, 72.7333, 72.7333, 73.3333, 73.3333, 73.3333, 73.3333]",73.8333,72.3333,73.3333
Cohort 05-m89542,Second negotiation game-negotiation2_alternate_profile,82.1250,58.0000,"[58.0000, 65.5000, 74.0750, 76.8500, 77.5500, 80.2250, 80.2250, 80.6250, 80.6250, 80.9250]",81.8750,79.1250,80.9250
Cohort 06-m895x2,First negotiation game-negotiation1,91.7500,75.0000,"[75.0000, 82.0000, 85.0000, 88.6500, 89.1833, 89.1833, 89.1833, 89.1833, 89.1833, 89.1833]",89.7500,88.9167,89.1833
Cohort 06-m895x2,Second negotiation game-negotiation2_alternate_profile,89.0000,76.0000,"[76.0000, 82.2000, 85.2000, 86.4000, 87.6571, 88.4786, 88.4786, 88.4786, 88.4786, 88.5750]",89.0000,88.0000,88.5750
