metric,n_treatments,mean_abs_error,median_abs_error
act_rate,10,0.44800000000000006,0.62
check_rate,8,0.2575,0.24
fast_rate,2,0.5,0.5
mean_action_premium,5,2.556,2.3200000000000003
mean_action_premium_after_check,4,3.0549999999999997,2.6499999999999995
mean_action_premium_fast,1,0.64,0.64
mean_action_premium_slow,1,1.96,1.96
mean_action_premium_without_check,4,2.435,2.39
mean_fast_premium_if_act,1,3.44,3.44
mean_fast_premium_if_no_act,1,2.12,2.12
mean_process_premium_if_act,4,0.935,0.8200000000000001
mean_process_premium_if_no_act,4,0.865,0.9199999999999999
mean_return_pct,10,10.709999999999999,10.079999999999998
mean_send_if_act,5,1.4240000000000002,1.7000000000000002
mean_send_if_act_after_check,4,1.42,1.44
mean_send_if_act_fast,1,1.2199999999999998,1.2199999999999998
mean_send_if_act_slow,1,2.2199999999999998,2.2199999999999998
mean_send_if_act_without_check,4,1.6649999999999998,1.38
mean_send_if_no_act,5,1.1320000000000001,1.3200000000000003
mean_send_if_no_act_after_check,4,1.6350000000000002,1.82
mean_send_if_no_act_fast,1,1.8599999999999999,1.8599999999999999
mean_send_if_no_act_slow,1,0.2599999999999998,0.2599999999999998
mean_send_if_no_act_without_check,4,0.7700000000000002,0.56
pattern_checked_act,8,0.505,0.54
pattern_checked_no_act,8,0.2475,0.2
pattern_fast_act,2,0.8300000000000001,0.8300000000000001
pattern_fast_no_act,2,0.33,0.33
pattern_slow_act,2,0.2,0.2
pattern_slow_no_act,2,0.30000000000000004,0.30000000000000004
pattern_unchecked_act,8,0.1025,0.08
pattern_unchecked_no_act,8,0.155,0.13
