metric,distance_kind,n_treatments,mean_score,median_score
mean_action_premium_distance,mean_wasserstein_1d,10,3.7079999999999997,3.76
mean_process_premium_distance,mean_wasserstein_1d,5,2.0919999999999996,2.0199999999999996
mean_send_field_distance,mean_wasserstein_1d,10,2.778,2.84
joint_pattern_distribution,total_variation,10,0.5700000000000001,0.69
action_premium,wasserstein_1d,5,3.66,3.68
action_premium_after_check,wasserstein_1d,4,3.885,3.63
action_premium_fast,wasserstein_1d,1,3.4800000000000004,3.4800000000000004
action_premium_slow,wasserstein_1d,1,2.4800000000000004,2.4800000000000004
action_premium_without_check,wasserstein_1d,4,4.015000000000001,4.220000000000001
process_premium_if_act,wasserstein_1d,5,2.068,1.6799999999999997
process_premium_if_no_act,wasserstein_1d,5,2.116,2.2
return_pct,wasserstein_1d,10,13.134,12.629999999999999
send_if_act,wasserstein_1d,5,2.88,3.0199999999999996
send_if_act_after_check,wasserstein_1d,4,2.84,2.88
send_if_act_fast,wasserstein_1d,1,2.7800000000000002,2.7800000000000002
send_if_act_slow,wasserstein_1d,1,3.2600000000000002,3.2600000000000002
send_if_act_without_check,wasserstein_1d,4,2.9650000000000003,2.9800000000000004
send_if_no_act,wasserstein_1d,5,2.8280000000000003,2.8400000000000003
send_if_no_act_after_check,wasserstein_1d,4,2.515,2.68
send_if_no_act_fast,wasserstein_1d,1,2.58,2.58
send_if_no_act_slow,wasserstein_1d,1,1.9000000000000001,1.9000000000000001
send_if_no_act_without_check,wasserstein_1d,4,2.56,2.54
