treatment_name,metric_scope,metric,generated_mean,human_mean,abs_error
CHIP2__GAME_1,game,final_surplus_ratio,0.5195274399986411,0.5267422587585121,0.007214818759870956
CHIP2__GAME_1,turn,proposer_net_surplus,0.1971014492753623,0.8212962962962962,0.6241948470209339
CHIP2__GAME_1,turn,trade_ratio,1.2894524959742348,0.9454707654666805,0.3439817305075543
CHIP2__GAME_1,turn,acceptance_rate,0.45410628019323673,0.4027777777777778,0.05132850241545894
CHIP2__GAME_2_ALT_PROFILE,game,final_surplus_ratio,0.4548458945454418,0.6810182725720562,0.22617237802661438
CHIP2__GAME_2_ALT_PROFILE,turn,proposer_net_surplus,0.1505050505050505,0.9722222222222222,0.8217171717171717
CHIP2__GAME_2_ALT_PROFILE,turn,trade_ratio,1.2605218855218854,0.8539981494842606,0.4065237360376248
CHIP2__GAME_2_ALT_PROFILE,turn,acceptance_rate,0.494949494949495,0.39814814814814814,0.09680134680134683
CHIP3__GAME_1,game,final_surplus_ratio,0.26992353596428426,0.611695835541549,0.3417722995772648
CHIP3__GAME_1,turn,proposer_net_surplus,0.3322751322751323,1.4652777777777777,1.1330026455026454
CHIP3__GAME_1,turn,trade_ratio,1.2742504409171076,0.9175411522633744,0.3567092886537332
CHIP3__GAME_1,turn,acceptance_rate,0.5767195767195767,0.5555555555555556,0.021164021164021163
CHIP3__GAME_2_ALT_PROFILE,game,final_surplus_ratio,0.26508153172093135,0.5673695802086812,0.30228804848774987
CHIP3__GAME_2_ALT_PROFILE,turn,proposer_net_surplus,0.29212962962962963,1.5671296296296295,1.275
CHIP3__GAME_2_ALT_PROFILE,turn,trade_ratio,1.4456018518518519,0.9641689714606381,0.4814328803912138
CHIP3__GAME_2_ALT_PROFILE,turn,acceptance_rate,0.5462962962962963,0.4583333333333333,0.08796296296296297
CHIP4__GAME_1,game,final_surplus_ratio,0.18938234264321194,0.5114705904481,0.322088247804888
CHIP4__GAME_1,turn,proposer_net_surplus,0.29537037037037034,1.3361111111111112,1.040740740740741
CHIP4__GAME_1,turn,trade_ratio,1.3773148148148149,1.0191945914168137,0.3581202233980012
CHIP4__GAME_1,turn,acceptance_rate,0.6064814814814815,0.5185185185185185,0.08796296296296302
CHIP4__GAME_2_ALT_PROFILE,game,final_surplus_ratio,0.22874461514164415,0.5620252069498449,0.3332805918082008
CHIP4__GAME_2_ALT_PROFILE,turn,proposer_net_surplus,0.41064814814814815,1.7481481481481482,1.3375000000000001
CHIP4__GAME_2_ALT_PROFILE,turn,trade_ratio,1.3877314814814814,1.0203924162257496,0.3673390652557318
CHIP4__GAME_2_ALT_PROFILE,turn,acceptance_rate,0.6018518518518519,0.49074074074074076,0.1111111111111111
