treatment_name,metrics_used,mean_abs_z_score,median_percentile
VALIDATION_6_C,144,5.778184176673466,0.0
VALIDATION_17_C,132,5.729657538025762,0.09090909090909091
VALIDATION_7_C,154,5.712591290167064,0.2727272727272727
VALIDATION_13_T,176,3.284127532285018,0.09090909090909091
VALIDATION_17_T,104,3.2484433551523,0.25
VALIDATION_12_C,168,2.8267258137694933,0.39583333333333337
VALIDATION_11_T,176,2.491860966186142,0.36363636363636365
VALIDATION_13_C,150,2.394168485282435,0.2
VALIDATION_0_C,140,2.372820975253129,0.5
VALIDATION_15_C,143,2.2643928059502607,0.18181818181818182
VALIDATION_18_C,168,2.2161988264275987,0.7916666666666666
VALIDATION_14_T,160,2.136544859159719,0.575
VALIDATION_16_C,140,2.1363560575977747,0.4
VALIDATION_11_C,150,2.0225147513205766,0.5
VALIDATION_10_T,150,1.9471767540187317,0.6
VALIDATION_15_T,126,1.848367810137153,0.2222222222222222
VALIDATION_6_T,143,1.8098616619584147,0.09090909090909091
VALIDATION_14_C,180,1.7435074700144593,0.5625
VALIDATION_1_C,96,1.730526095969463,0.125
VALIDATION_19_T,140,1.5784397340243532,0.2
VALIDATION_4_C,180,1.5533297903636987,0.5
VALIDATION_7_T,180,1.5410949586544291,0.3333333333333333
VALIDATION_3_T,160,1.540874152652382,0.4
VALIDATION_10_C,140,1.3864476046305487,0.4
VALIDATION_18_T,150,1.3765416694984172,0.6
VALIDATION_16_T,120,1.3751627333252168,0.375
VALIDATION_5_C,135,1.34421228553333,0.5555555555555556
VALIDATION_2_C,117,1.2851461619628863,0.4444444444444444
VALIDATION_3_C,135,1.2746247544550213,0.4444444444444444
VALIDATION_4_T,144,1.2727791053384585,0.4444444444444444
VALIDATION_9_C,143,1.1405565654362946,0.36363636363636365
VALIDATION_5_T,192,1.1192917883983666,0.4166666666666667
VALIDATION_19_C,130,1.1155756218771549,0.2
VALIDATION_1_T,104,1.0913610506851323,0.40625
VALIDATION_9_T,154,1.079869271571449,0.18181818181818182
VALIDATION_8_C,180,0.928094462563213,0.6041666666666667
VALIDATION_8_T,176,0.9092297658997786,0.6363636363636364
VALIDATION_2_T,154,0.8249481993010992,0.45454545454545453
VALIDATION_12_T,180,0.7427275875915438,0.5
VALIDATION_0_T,180,0.6520941736242664,0.5
