scope,reference,label,row_count,delta_mean_tvd,delta_mean_simbench_score,pvalue_paired_t_simbench_score,delta_mean_jsd,delta_modal_match_rate
common_rows,baseline,full_card,2694,0.013707561574787887,0.8602361084252219,0.2763744652089682,-0.0020981140282211766,0.12694877505567928
common_rows,baseline,background_only,2694,0.002128772600916216,4.027158962528324,5.7655145098683105e-06,-0.007341277715334454,0.13325909428359317
common_rows,baseline,direct_social_only,2694,0.029060370156016393,-3.363913016535893,4.986440963253489e-05,0.0046402320827579205,0.04974016332590943
common_rows,baseline,self_report_social_only,2694,0.027551486255450636,-3.217926557720514,0.00012068752043254768,0.0023661001612805253,0.03749072011878248
common_rows,baseline,non_social_econ_only,2694,0.02945861657185087,-3.652044531967745,5.450134697302911e-06,0.004340647989226963,0.03303637713437268
common_rows,baseline,cognitive_only,2694,0.02479144820907311,-2.238281126825033,0.007058363880998208,0.002182858290307564,0.04825538233110616
common_rows,baseline,misc_heuristics_pricing_text_only,2694,0.018556798385322933,0.03540873728231472,0.9675782568668363,0.0002366155711598589,0.035634743875278395
common_rows_no_choices13k,baseline,full_card,2194,0.01535799418174883,1.898932835464133,0.04438976757235641,-0.003013032254665107,0.15587967183226983
common_rows_no_choices13k,baseline,background_only,2194,0.0012845952494265748,5.7051522725069965,9.523845239765393e-08,-0.009412360360613535,0.16362807657247036
common_rows_no_choices13k,baseline,direct_social_only,2194,0.03320183391111611,-2.7115281364782584,0.0052632292246864954,0.004990306450771167,0.061075660893345485
common_rows_no_choices13k,baseline,self_report_social_only,2194,0.03129867424545285,-2.503443103285807,0.010656057310022704,0.002184022997883952,0.04603463992707384
common_rows_no_choices13k,baseline,non_social_econ_only,2194,0.034234147935246796,-3.37603909319026,0.00038759552931373983,0.004772050298372924,0.04056517775752051
common_rows_no_choices13k,baseline,cognitive_only,2194,0.027803918828969248,-1.2400810671315197,0.1998078390597126,0.001924838015071245,0.059252506836827715
common_rows_no_choices13k,baseline,misc_heuristics_pricing_text_only,2194,0.020764773334458708,1.199285005874024,0.2467674887102527,-0.00028952707688311607,0.04375569735642662
