label,kind,dataset_name,row_count,mean_tvd,weighted_mean_tvd_by_group_size,mean_simbench_score,weighted_mean_simbench_score_by_group_size,mean_jsd,modal_match_rate
background_only,ablation,NumberGame,500,0.22682922755349222,0.2266032262602926,16.894248633115897,16.977051045678948,0.05168541925390903,0.698
background_only,ablation,OSPsychMGKT,111,0.1305074623483068,0.13143809880100038,61.71710290114104,61.4441111586472,0.02480354404354213,0.9369369369369369
background_only,ablation,OpinionQA,500,0.28870314934149577,0.29715006949953526,21.394172379909776,19.094311254812965,0.07473929064931709,0.41
baseline,baseline,Choices13k,500,0.17485732011312324,0.17127553001889342,-4.547473508864641e-15,2.0484072911060474,0.026471136867946724,0.46
baseline,baseline,DICES,247,0.06942835994177647,0.0680978762696214,88.46612529137589,88.68715358571231,0.026990655924036617,0.9878542510121457
baseline,baseline,ISSP,17,0.21268482018946894,0.21671993116150437,31.099577006864564,29.792380505723557,0.0434014168490189,0.4117647058823529
baseline,baseline,OSPsychMACH,1,0.1609873870873746,0.1609873870873746,-42.90887591456656,-42.90887591456656,0.0184443734920084,0.0
full_card,full_card,GlobalOpinionQA,23,0.14263499821447254,,42.09426459653722,,0.020660767661769365,0.782608695652174
full_card,full_card,Jester,136,0.238098517796241,0.20202609679462769,25.700054084158257,36.956650531209526,0.04326445476568513,0.9852941176470589
full_card,full_card,MoralMachine,72,0.20950642991852586,0.20937932475869347,5.335569240705849,5.393001070396133,0.03504388689562573,0.6805555555555556
full_card,full_card,OSPsychBig5,40,0.1446765279450187,0.14467652794501873,32.027503058130876,32.02750305813088,0.01884765402352896,0.325
full_card,full_card,OSPsychRWAS,22,0.242376297968329,0.242395022130987,42.412700249213735,42.40825148926232,0.041620990645042814,0.8636363636363636
misc_heuristics_pricing_text_only,ablation,WisdomOfCrowds,14,0.5436485682503526,0.5435262233527131,2.4691057620887737,2.4910545134864273,0.2013721161231866,0.2857142857142857
non_social_econ_only,ablation,ConspiracyCorr,1,0.1910258152173912,0.1910258152173912,-41.72883064516127,-41.72883064516127,0.0256399368757997,0.0
self_report_social_only,ablation,ChaosNLI,500,0.401099939436182,0.40109993943618205,-4.5438591058684565,-4.543859105868456,0.13457431742698395,0.434
self_report_social_only,ablation,TISP,10,0.13045295574424087,0.13045961752720273,44.26068766963672,44.257841255011094,0.01713855637268857,0.7
