label,kind,dataset_name,row_count,mean_tvd,weighted_mean_tvd_by_group_size,mean_simbench_score,weighted_mean_simbench_score_by_group_size,mean_jsd,modal_match_rate
baseline,baseline,ChaosNLI,500,0.4391333333333333,0.43913333333333326,-14.456993918331879,-14.456993918331875,0.16618193297684927,0.434
baseline,baseline,Choices13k,500,0.17485732011312324,0.17127553001889342,-4.547473508864641e-15,2.0484072911060474,0.026471136867946724,0.46
baseline,baseline,ConspiracyCorr,1,0.3739130434782608,0.3739130434782608,-177.4193548387097,-177.4193548387097,0.0837630705487545,0.0
baseline,baseline,DICES,247,0.06942835994177647,0.0680978762696214,88.46612529137589,88.68715358571231,0.026990655924036617,0.9878542510121457
baseline,baseline,GlobalOpinionQA,23,0.2145687469461093,,12.891217148322001,,0.03463286063760589,0.5652173913043478
baseline,baseline,ISSP,17,0.21268482018946894,0.21671993116150437,31.099577006864564,29.792380505723557,0.0434014168490189,0.4117647058823529
baseline,baseline,Jester,136,0.30821139092798344,0.28102031185109677,3.8209482001358945,12.306073279893749,0.06704486515714235,0.0
baseline,baseline,MoralMachine,72,0.2213148362464077,0.22097374807788503,-7.894919286223335e-16,0.1541189801405624,0.03849108412490004,0.3194444444444444
baseline,baseline,NumberGame,500,0.27294046900811597,0.2728807535098632,-1.8189894035458565e-14,0.021878579775972594,0.06993543205201867,0.302
baseline,baseline,OSPsychBig5,40,0.17814188337724823,0.17814188337724823,16.304677786568913,16.304677786568913,0.03113147297816781,0.425
baseline,baseline,OSPsychMACH,1,0.1609873870873746,0.1609873870873746,-42.90887591456656,-42.90887591456656,0.0184443734920084,0.0
baseline,baseline,OSPsychMGKT,111,0.14238494680848873,0.14272513555820163,58.232976344692524,58.133185798886885,0.03168699745773169,0.9099099099099099
baseline,baseline,OSPsychRWAS,22,0.32470834565281403,0.32471269427692473,22.85105024941876,22.85001703980931,0.08659728408842936,0.5909090909090909
baseline,baseline,OpinionQA,500,0.3793684510919438,0.39098569473180983,-3.2914643953550007,-6.454516315844214,0.1383751324285286,0.37
baseline,baseline,TISP,10,0.1707107742381886,0.1707268216749679,27.05952035248845,27.05266368078146,0.030929358815354274,0.5
baseline,baseline,WisdomOfCrowds,14,0.5968986720709505,0.5967621816168328,-7.083996273292461,-7.059509800187435,0.2399773284479065,0.21428571428571427
full_card,full_card,ChaosNLI,500,0.42056995452257556,0.42056995452257556,-9.618580674867646,-9.618580674867646,0.1490181372157261,0.434
full_card,full_card,Choices13k,500,0.18132278340856647,0.17784433976099578,-3.6975651298215175,-1.7082611388188345,0.028387684017361515,0.46
full_card,full_card,ConspiracyCorr,1,0.2604008152173913,0.2604008152173913,-93.20060483870968,-93.20060483870968,0.0378163993256806,0.0
full_card,full_card,DICES,247,0.49725583762846925,0.4986542961159766,17.392740745303634,17.160420048204507,0.19072583325437487,0.8340080971659919
full_card,full_card,GlobalOpinionQA,23,0.14263499821447254,,42.09426459653722,,0.020660767661769365,0.782608695652174
full_card,full_card,ISSP,17,0.22457330656641813,0.22543664922581938,27.248236138295685,26.96855151215371,0.046360686391125984,0.4117647058823529
full_card,full_card,Jester,136,0.238098517796241,0.20202609679462769,25.700054084158257,36.956650531209526,0.04326445476568513,0.9852941176470589
full_card,full_card,MoralMachine,72,0.20950642991852586,0.20937932475869347,5.335569240705849,5.393001070396133,0.03504388689562573,0.6805555555555556
full_card,full_card,NumberGame,500,0.24380817387269588,0.24368365674567913,10.673497866142311,10.719118483513308,0.05817709776231153,0.698
full_card,full_card,OSPsychBig5,40,0.1446765279450187,0.14467652794501873,32.027503058130876,32.02750305813088,0.01884765402352896,0.325
