scope,reference,label,row_count,delta_mean_tvd,delta_mean_simbench_score,pvalue_paired_t_simbench_score,delta_mean_jsd,delta_modal_match_rate
common_rows,full_card,baseline,2694,-0.013707561574787887,-0.8602361084252219,0.2763744652089682,0.0020981140282211766,-0.12694877505567928
common_rows,full_card,background_only,2694,-0.01157878897387167,3.1669228541031016,5.191759818935348e-27,-0.0052431636871132755,0.006310319227913883
common_rows,full_card,direct_social_only,2694,0.015352808581228516,-4.224149124961116,5.8145261158711164e-40,0.006738346110979096,-0.07720861172976985
common_rows,full_card,self_report_social_only,2694,0.013843924680662761,-4.0781626661457375,2.984538204644808e-51,0.004464214189501703,-0.0894580549368968
common_rows,full_card,non_social_econ_only,2694,0.015751054997062985,-4.5122806403929685,2.2078918343483853e-51,0.006438762017448143,-0.09391239792130661
common_rows,full_card,cognitive_only,2694,0.011083886634285237,-3.0985172352502546,1.311427479270609e-34,0.00428097231852874,-0.07869339272457312
common_rows,full_card,misc_heuristics_pricing_text_only,2694,0.00484923681053504,-0.8248273711429078,0.0022487316811030714,0.002334729599381038,-0.09131403118040089
common_rows_no_choices13k,full_card,baseline,2194,-0.01535799418174883,-1.898932835464133,0.04438976757235641,0.003013032254665107,-0.15587967183226983
common_rows_no_choices13k,full_card,background_only,2194,-0.014073398932322253,3.806219437042864,4.440028765995983e-26,-0.006399328105948426,0.007748404740200547
common_rows_no_choices13k,full_card,direct_social_only,2194,0.017843839729367275,-4.610460971942389,1.2451588176267204e-33,0.008003338705436278,-0.09480401093892434
common_rows_no_choices13k,full_card,self_report_social_only,2194,0.015940680063704027,-4.40237593874994,2.3594127984302552e-43,0.005197055252549062,-0.10984503190519598
common_rows_no_choices13k,full_card,non_social_econ_only,2194,0.01887615375349796,-5.2749719286543915,1.1439751555912444e-47,0.007785082553038033,-0.11531449407474932
common_rows_no_choices13k,full_card,cognitive_only,2194,0.012445924647220424,-3.1390139025956523,2.6275031902872616e-27,0.004937870269736354,-0.09662716499544212
common_rows_no_choices13k,full_card,misc_heuristics_pricing_text_only,2194,0.005406779152709873,-0.6996478295901084,0.03277754938922261,0.002723505177781999,-0.11212397447584321
