target,style_source,eval_granularity,group_col,model,k_clusters,baseline_r2,baseline_rmse,baseline_mae,augmented_r2,augmented_rmse,augmented_mae,delta_r2,delta_rmse,delta_mae,missing_style_games_learn,missing_style_games_val,n_train_eval_rows,n_val_eval_rows,style_map_val_rmse,style_map_val_mae
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,10,-0.6241817599966171,0.15681999479948794,0.13464813694546374,-0.2676078449738635,0.13854044548237374,0.11721198617177318,0.3565739150227536,-0.018279549317114202,-0.017436150773690554,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,8,-0.6241817599966171,0.15681999479948794,0.13464813694546374,-0.5630823310571418,0.15384204617295505,0.12302232621166256,0.061099428939475287,-0.002977948626532889,-0.011625810733801173,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,12,-0.6241817599966171,0.15681999479948794,0.13464813694546374,-0.6095734341431538,0.15611316132516762,0.11462213916133833,0.014608325853463278,-0.0007068334743203231,-0.020025997784125407,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,16,-0.6241817599966171,0.15681999479948794,0.13464813694546374,-0.6629869666555452,0.1586823207328518,0.13106372541817995,-0.03880520665892817,0.0018623259333638564,-0.0035844115272837818,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,6,-0.6241817599966171,0.15681999479948794,0.13464813694546374,-1.3588449996016054,0.18898782319741256,0.1545190240729794,-0.7346632396049884,0.03216782839792462,0.01987088712751567,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,linear,4,-0.6241817599966171,0.15681999479948794,0.13464813694546374,-1.5186034993933184,0.19528281278097034,0.16315204940442188,-0.8944217393967013,0.038462817981482406,0.02850391245895814,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,10,-0.44728242788945405,0.14803375831151058,0.1270478398345381,-0.15670069980895307,0.13234106334160858,0.10861694303848654,0.290581728080501,-0.015692694969902,-0.01843089679605156,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,16,-0.44728242788945405,0.14803375831151058,0.1270478398345381,-0.3845860426312,0.14479184274061901,0.11623214823385765,0.06269638525825405,-0.003241915570891568,-0.010815691600680452,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,8,-0.44728242788945405,0.14803375831151058,0.1270478398345381,-0.43872596127740904,0.14759551503142304,0.11636502171828822,0.00855646661204501,-0.0004382432800875413,-0.010682818116249881,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,12,-0.44728242788945405,0.14803375831151058,0.1270478398345381,-0.5756436886790282,0.15445896762004271,0.11051814730736084,-0.1283612607895741,0.006425209308532132,-0.01652969252717726,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,6,-0.44728242788945405,0.14803375831151058,0.1270478398345381,-0.9188206243679105,0.17045168922073678,0.12803100169444923,-0.4715381964784564,0.022417930909226197,0.0009831618599111247,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,config_treatment,CONFIG_treatmentName,ridge,4,-0.44728242788945405,0.14803375831151058,0.1270478398345381,-0.9251725744265529,0.17073358270693142,0.13331841566284514,-0.4778901465370988,0.022699824395420842,0.0062705758283070345,0,0,108,14,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,6,-0.11703171285775849,0.23504675731445648,0.17613175876631748,0.023891391769860437,0.2197205026901521,0.15688991430449892,0.14092310462761892,-0.015326254624304397,-0.019241844461818564,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,10,-0.11703171285775849,0.23504675731445648,0.17613175876631748,0.008800424981829424,0.22141246456668542,0.1580149024539861,0.1258321378395879,-0.01363429274777106,-0.01811685631233137,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,16,-0.11703171285775849,0.23504675731445648,0.17613175876631748,-0.09417799395569748,0.2326298820935467,0.170271273330538,0.022853718902061004,-0.0024168752209097755,-0.0058604854357794944,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,4,-0.11703171285775849,0.23504675731445648,0.17613175876631748,-0.09430501868470209,0.23264338487386485,0.16782453721205207,0.022726694173056394,-0.0024033724405916335,-0.008307221554265415,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,8,-0.11703171285775849,0.23504675731445648,0.17613175876631748,-0.13308326416658445,0.23672952410855008,0.1734692955764966,-0.016051551308825962,0.0016827667940935986,-0.002662463189820885,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,linear,12,-0.11703171285775849,0.23504675731445648,0.17613175876631748,-0.3485714106347173,0.2582607969241913,0.179063741542313,-0.23153969777695882,0.02321403960973481,0.0029319827759955175,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,6,-0.062388120093546995,0.22922559852768276,0.17222572420891027,0.10524124441630811,0.21036548743794464,0.14875951789726743,0.1676293645098551,-0.01886011108973812,-0.02346620631164284,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,10,-0.062388120093546995,0.22922559852768276,0.17222572420891027,0.051229778527323244,0.21662173762474096,0.15346078542432073,0.11361789862087024,-0.0126038609029418,-0.01876493878458954,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,4,-0.062388120093546995,0.22922559852768276,0.17222572420891027,0.0282816185787228,0.21922582928948803,0.15562506481822408,0.0906697386722698,-0.009999769238194733,-0.016600659390686195,0,0,114,76,0.0,0.0
itt_relative_efficiency,oracle,game,,ridge,16,-0.062388120093546995,0.22922559852768276,0.17222572420891027,-0.011263874753818959,0.22364220173460383,0.1603133563802265,0.051124245339728036,-0.005583396793078926,-0.011912367828683768,0,0,114,76,0.0,0.0
