config,metric,sim_mean,human_mean,human_sem
VALIDATION_0_C,mean_contribution_rate,0.75,0.6472222222222223,0.03838127704993073
VALIDATION_0_T,mean_contribution_rate,1.0,0.7930555555555555,0.040846479995019634
VALIDATION_10_C,mean_contribution_rate,0.21666666666666667,0.6462121212121212,0.07973184249975902
VALIDATION_10_T,mean_contribution_rate,0.38055555555555554,0.6497474747474747,0.05505103158104069
VALIDATION_11_C,mean_contribution_rate,0.9967845659163987,0.7173659673659674,0.037590389877337364
VALIDATION_11_T,mean_contribution_rate,1.0,0.7867132867132867,0.04023377640962284
VALIDATION_12_C,mean_contribution_rate,1.0,0.7314814814814815,0.04285013387936673
VALIDATION_12_T,mean_contribution_rate,0.6527777777777778,0.8310185185185185,0.03181642580249874
VALIDATION_13_C,mean_contribution_rate,0.4905204460966543,0.8009191176470588,0.031330449935161125
VALIDATION_13_T,mean_contribution_rate,0.5947955390334573,0.8798963903743315,0.014681788431311125
VALIDATION_14_C,mean_contribution_rate,0.6754385964912281,0.7596125730994152,0.04581678849552002
VALIDATION_14_T,mean_contribution_rate,0.768859649122807,0.8436038011695907,0.03060498264944677
VALIDATION_15_C,mean_contribution_rate,0.7637362637362637,0.6034798534798534,0.032043649884951377
VALIDATION_15_T,mean_contribution_rate,1.0,0.6998001998001998,0.05630978253931996
VALIDATION_16_C,mean_contribution_rate,0.8333333333333334,0.7533333333333333,0.05593757543618612
VALIDATION_16_T,mean_contribution_rate,0.6644295302013423,0.7713333333333333,0.054512383914116246
VALIDATION_17_C,mean_contribution_rate,0.25274725274725274,0.5471695906432749,0.032312997094717646
VALIDATION_17_T,mean_contribution_rate,1.0,0.6059964012595591,0.029717453521615
VALIDATION_18_C,mean_contribution_rate,1.0,0.5969202898550725,0.06858335732330643
VALIDATION_18_T,mean_contribution_rate,0.9565217391304348,0.6657608695652174,0.0712894544692658
VALIDATION_19_C,mean_contribution_rate,0.5086206896551724,0.6092672413793103,0.048224266973233454
VALIDATION_19_T,mean_contribution_rate,0.48620689655172417,0.704058908045977,0.04795118595219049
VALIDATION_1_C,mean_contribution_rate,0.5875,0.5803819444444445,0.07235927348136718
VALIDATION_1_T,mean_contribution_rate,0.2760416666666667,0.5408854166666667,0.06323367660501679
VALIDATION_2_C,mean_contribution_rate,0.5743243243243243,0.5747916666666667,0.0382000153765482
VALIDATION_2_T,mean_contribution_rate,0.8575,0.6201041666666667,0.049882774546629906
