metric,num_treatments,mae,rmse,spearman
final_round_normalized_efficiency,40,0.5174715758540894,0.584357281816481,0.09868667917448407
final_total_contribution_rate,40,0.46431957994525597,0.5079362356259416,0.3097560975609756
first_round_normalized_efficiency,40,0.15620574775108323,0.1858309315327013,0.43489681050656664
first_round_total_contribution_rate,40,0.1511583093745923,0.16937769733740543,0.5106742504344141
mean_round_normalized_efficiency,40,0.3305675683636097,0.39284694103084816,-0.03377110694183865
mean_total_contribution_rate,40,0.28575464620988644,0.33554875753167346,0.300750469043152
