config,metric,rmse,noise_ceiling,n_samples
VALIDATION_18_T,mean_contribution_rate,0.3342391304347826,0.24695391436927303,12
VALIDATION_18_T,punishment_rate,0.09963768115942029,0.08010032959939907,12
VALIDATION_18_T,reward_rate,0.0,0.0,12
VALIDATION_18_T,normalized_efficiency,0.37907608695652173,0.24506475754195853,12
VALIDATION_19_C,mean_contribution_rate,0.018318965517241437,0.16705376111081227,12
VALIDATION_19_C,punishment_rate,0.0,0.0,12
VALIDATION_19_C,reward_rate,0.5438218390804598,0.19168384480741524,12
VALIDATION_19_C,normalized_efficiency,0.06779813218390796,0.16820640816007845,12
VALIDATION_19_T,mean_contribution_rate,0.20973419540229887,0.16610778070475388,12
VALIDATION_19_T,punishment_rate,0.09913793103448276,0.07208291950925823,12
VALIDATION_19_T,reward_rate,0.8807471264367817,0.11735084758754462,12
VALIDATION_19_T,normalized_efficiency,0.07454202586206893,0.23231923978277552,12
VALIDATION_1_C,mean_contribution_rate,0.0008680555555555802,0.2506598761369985,12
VALIDATION_1_C,punishment_rate,0.0,0.0,12
VALIDATION_1_C,reward_rate,0.0,0.0,12
VALIDATION_1_C,normalized_efficiency,0.0008680555555555802,0.2506598761369985,12
VALIDATION_1_T,mean_contribution_rate,0.059114583333333304,0.2190478812585371,12
VALIDATION_1_T,punishment_rate,0.8298611111111112,0.1901497440290704,12
VALIDATION_1_T,reward_rate,0.0,0.0,12
VALIDATION_1_T,normalized_efficiency,0.8302083333333333,0.42146456372063146,12
VALIDATION_2_C,mean_contribution_rate,0.3149519230769231,0.13232873496418768,12
VALIDATION_2_C,punishment_rate,0.0,0.0,12
VALIDATION_2_C,reward_rate,0.7270833333333333,0.22533732429897677,12
VALIDATION_2_C,normalized_efficiency,0.2767992424242426,0.13232873496418768,12
VALIDATION_2_T,mean_contribution_rate,0.22739583333333335,0.17279899987453312,12
VALIDATION_2_T,punishment_rate,0.13333333333333333,0.1355287997274216,12
VALIDATION_2_T,reward_rate,0.8083333333333333,0.116963907063485,12
VALIDATION_2_T,normalized_efficiency,0.2834564393939396,0.18505566656965608,12
VALIDATION_3_C,mean_contribution_rate,0.11884615384615393,0.17190879546411353,10
VALIDATION_3_C,punishment_rate,0.0,0.0,10
VALIDATION_3_C,reward_rate,0.5391025641025641,0.16734207329226594,10
VALIDATION_3_C,normalized_efficiency,0.03305402930402923,0.252749740524997,10
VALIDATION_3_T,mean_contribution_rate,0.03479020979020986,0.1425482911475572,11
VALIDATION_3_T,punishment_rate,0.017482517482517487,0.10187306938653687,11
VALIDATION_3_T,reward_rate,0.8712121212121212,0.09708002061985455,11
VALIDATION_3_T,normalized_efficiency,0.15072635697635706,0.18645571497127056,11
VALIDATION_4_C,mean_contribution_rate,0.3526785714285714,0.13911103974002575,12
VALIDATION_4_C,punishment_rate,0.0,0.0,12
VALIDATION_4_C,reward_rate,0.6696428571428572,0.19087105648599956,12
VALIDATION_4_C,normalized_efficiency,0.3526785714285714,0.13911103974002575,12
VALIDATION_4_T,mean_contribution_rate,0.2678571428571429,0.15152288168283162,10
VALIDATION_4_T,punishment_rate,0.2517857142857143,0.09762812094883318,10
VALIDATION_4_T,reward_rate,0.8696428571428572,0.10775124886818278,10
VALIDATION_4_T,normalized_efficiency,0.3911830357142857,0.18025935650241443,10
VALIDATION_5_C,mean_contribution_rate,0.36458333333333337,0.2523758633247024,12
VALIDATION_5_C,punishment_rate,0.0,0.0,12
VALIDATION_5_C,reward_rate,0.6006944444444444,0.2531390504407107,12
VALIDATION_5_C,normalized_efficiency,0.6406249999999999,0.4409369062119587,12
VALIDATION_5_T,mean_contribution_rate,0.14930555555555547,0.21140672833178847,12
VALIDATION_5_T,punishment_rate,0.84375,0.1008141051455415,12
VALIDATION_5_T,reward_rate,0.19097222222222224,0.1819855233524814,12
VALIDATION_5_T,normalized_efficiency,1.1438078703703702,0.31172247129024233,12
VALIDATION_6_C,mean_contribution_rate,0.26949118589743587,0.10850205754116886,12
VALIDATION_6_C,punishment_rate,0.0,0.0,12
VALIDATION_6_C,reward_rate,0.0,0.0,12
VALIDATION_6_C,normalized_efficiency,0.2694911858974359,0.10850205754116886,12
VALIDATION_6_T,mean_contribution_rate,0.15687099358974366,0.1306691227195971,12
VALIDATION_6_T,punishment_rate,0.625,0.1147820806376281,12
VALIDATION_6_T,reward_rate,0.0,0.0,12
VALIDATION_6_T,normalized_efficiency,0.08407846921271223,0.14490998435593483,12
VALIDATION_7_C,mean_contribution_rate,0.01482456140350874,0.13172616033775678,12
VALIDATION_7_C,punishment_rate,0.0,0.0,12
VALIDATION_7_C,reward_rate,0.0,0.0,12
VALIDATION_7_C,normalized_efficiency,0.01482456140350874,0.13172616033775678,12
VALIDATION_7_T,mean_contribution_rate,0.09186759127548605,0.10674810370521763,12
VALIDATION_7_T,punishment_rate,0.07061403508771931,0.12855217517441891,12
VALIDATION_7_T,reward_rate,0.0,0.0,12
VALIDATION_7_T,normalized_efficiency,0.09498433583959898,0.14899007250531843,12
VALIDATION_8_C,mean_contribution_rate,0.008333333333333304,0.141931941175783,12
VALIDATION_8_C,punishment_rate,0.0,0.0,12
VALIDATION_8_C,reward_rate,0.20833333333333331,0.15774745405000762,12
VALIDATION_8_C,normalized_efficiency,0.038541666666666585,0.1566736797008618,12
VALIDATION_8_T,mean_contribution_rate,0.10034722222222225,0.1423945590788037,12
VALIDATION_8_T,punishment_rate,0.4027777777777778,0.08216777476527244,12
VALIDATION_8_T,reward_rate,0.4375,0.16710013077105507,12
VALIDATION_8_T,normalized_efficiency,0.8873842592592592,0.17777909643367046,12
VALIDATION_9_C,mean_contribution_rate,0.1493827160493827,0.12233415500534517,12
VALIDATION_9_C,punishment_rate,0.0,0.0,12
VALIDATION_9_C,reward_rate,0.6098765432098765,0.1275613960798962,12
VALIDATION_9_C,normalized_efficiency,0.4938042981252859,0.12918694893405622,12
VALIDATION_9_T,mean_contribution_rate,0.036728395061728314,0.13623017663969475,12
VALIDATION_9_T,punishment_rate,0.6722222222222223,0.11515779119290186,12
VALIDATION_9_T,reward_rate,0.1574074074074074,0.06722162704222452,12
VALIDATION_9_T,normalized_efficiency,0.7205075445816186,0.1273668239318995,12
