config,metric,sim_mean,human_mean,human_std
VALIDATION_0_C,mean_contribution_rate,0.8,0.6472222222222223,0.13295664381971467
VALIDATION_0_T,mean_contribution_rate,0.9166666666666666,0.7930555555555555,0.1414963573234395
VALIDATION_10_C,mean_contribution_rate,0.5277777777777778,0.6462121212121212,0.26444060541541303
VALIDATION_10_T,mean_contribution_rate,0.7527777777777778,0.6497474747474747,0.18258361607631757
VALIDATION_11_C,mean_contribution_rate,1.0,0.7173659673659674,0.12467321894630179
VALIDATION_11_T,mean_contribution_rate,1.0,0.7867132867132867,0.1334403402497714
VALIDATION_12_C,mean_contribution_rate,0.9722222222222222,0.7314814814814815,0.1484372179803833
VALIDATION_12_T,mean_contribution_rate,0.9444444444444444,0.8310185185185185,0.11021533201034642
VALIDATION_13_C,mean_contribution_rate,1.0,0.8009191176470588,0.10391134694794413
VALIDATION_13_T,mean_contribution_rate,0.95625,0.8798963903743315,0.0486939834780396
VALIDATION_14_C,mean_contribution_rate,0.7482456140350877,0.7596125730994152,0.15871401102775579
VALIDATION_14_T,mean_contribution_rate,0.9535087719298245,0.8436038011695907,0.1060187698272115
VALIDATION_15_C,mean_contribution_rate,0.6098901098901099,0.6034798534798534,0.11100245932136879
VALIDATION_15_T,mean_contribution_rate,0.4928571428571429,0.6998001998001998,0.18675842070943022
VALIDATION_16_C,mean_contribution_rate,1.0,0.7533333333333333,0.1937734454153823
VALIDATION_16_T,mean_contribution_rate,0.6933333333333334,0.7713333333333333,0.17238329385413192
VALIDATION_17_C,mean_contribution_rate,1.0,0.5471695906432749,0.1251476996138901
VALIDATION_17_T,mean_contribution_rate,0.9893617021276596,0.6059964012595591,0.10714780244840078
VALIDATION_18_C,mean_contribution_rate,0.5108695652173914,0.5969202898550725,0.23757971887523557
VALIDATION_18_T,mean_contribution_rate,1.0,0.6657608695652174,0.24695391436927303
VALIDATION_19_C,mean_contribution_rate,0.6275862068965518,0.6092672413793103,0.16705376111081227
VALIDATION_19_T,mean_contribution_rate,0.9137931034482759,0.704058908045977,0.16610778070475388
VALIDATION_1_C,mean_contribution_rate,0.58125,0.5803819444444445,0.2506598761369985
VALIDATION_1_T,mean_contribution_rate,0.6,0.5408854166666667,0.2190478812585371
VALIDATION_2_C,mean_contribution_rate,0.8897435897435898,0.5747916666666667,0.13232873496418768
VALIDATION_2_T,mean_contribution_rate,0.8475,0.6201041666666667,0.17279899987453312
VALIDATION_3_C,mean_contribution_rate,0.6743589743589744,0.5555128205128205,0.17190879546411353
VALIDATION_3_T,mean_contribution_rate,0.7958333333333333,0.8306235431235431,0.1425482911475572
VALIDATION_4_C,mean_contribution_rate,1.0,0.6473214285714286,0.13911103974002575
VALIDATION_4_T,mean_contribution_rate,1.0,0.7321428571428571,0.15152288168283162
VALIDATION_5_C,mean_contribution_rate,1.0,0.6354166666666666,0.2523758633247024
VALIDATION_5_T,mean_contribution_rate,0.5833333333333334,0.7326388888888888,0.21140672833178847
VALIDATION_6_C,mean_contribution_rate,0.403125,0.6726161858974359,0.10850205754116886
VALIDATION_6_T,mean_contribution_rate,0.8572115384615385,0.7003405448717949,0.1306691227195971
VALIDATION_7_C,mean_contribution_rate,0.8647368421052631,0.8499122807017544,0.13172616033775678
