metric,distance_kind,n_treatments,mean_score,median_score
mean_action_premium_distance,mean_wasserstein_1d,10,3.7340000000000004,3.47
mean_process_premium_distance,mean_wasserstein_1d,5,1.5240000000000002,1.42
mean_send_field_distance,mean_wasserstein_1d,10,2.748,2.785
joint_pattern_distribution,total_variation,10,0.508,0.6599999999999999
action_premium,wasserstein_1d,5,3.6,3.4400000000000004
action_premium_after_check,wasserstein_1d,4,3.635,3.18
action_premium_fast,wasserstein_1d,1,5.24,5.24
action_premium_slow,wasserstein_1d,1,3.4200000000000004,3.4200000000000004
action_premium_without_check,wasserstein_1d,4,3.87,3.54
process_premium_if_act,wasserstein_1d,5,1.4600000000000002,1.3400000000000003
process_premium_if_no_act,wasserstein_1d,5,1.588,1.3199999999999998
return_pct,wasserstein_1d,10,12.598000000000003,13.430000000000001
send_if_act,wasserstein_1d,5,2.8,2.84
send_if_act_after_check,wasserstein_1d,4,2.635,2.58
send_if_act_fast,wasserstein_1d,1,3.58,3.58
send_if_act_slow,wasserstein_1d,1,3.28,3.28
send_if_act_without_check,wasserstein_1d,4,2.6450000000000005,2.46
send_if_no_act,wasserstein_1d,5,2.9440000000000004,3.0200000000000005
send_if_no_act_after_check,wasserstein_1d,4,2.22,2.09
send_if_no_act_fast,wasserstein_1d,1,2.9,2.9
send_if_no_act_slow,wasserstein_1d,1,2.06,2.06
send_if_no_act_without_check,wasserstein_1d,4,2.665,2.54
