metric,n_treatments,mean_abs_error,median_abs_error
act_rate,10,0.44000000000000006,0.61
check_rate,8,0.1725,0.15999999999999998
fast_rate,2,0.39999999999999997,0.39999999999999997
mean_action_premium,5,2.152,2.8000000000000003
mean_action_premium_after_check,4,2.815,2.41
mean_action_premium_fast,1,4.16,4.16
mean_action_premium_slow,1,2.98,2.98
mean_action_premium_without_check,4,2.71,2.74
mean_fast_premium_if_act,1,0.38,0.38
mean_fast_premium_if_no_act,1,0.8,0.8
mean_process_premium_if_act,4,0.41,0.38
mean_process_premium_if_no_act,4,0.585,0.51
mean_return_pct,10,10.469999999999999,10.659999999999997
mean_send_if_act,5,1.1280000000000001,1.2599999999999998
mean_send_if_act_after_check,4,1.305,1.2799999999999998
mean_send_if_act_fast,1,2.54,2.54
mean_send_if_act_slow,1,2.1599999999999993,2.1599999999999993
mean_send_if_act_without_check,4,1.215,1.02
mean_send_if_no_act,5,1.0239999999999998,1.4400000000000004
mean_send_if_no_act_after_check,4,1.5099999999999998,1.2699999999999996
mean_send_if_no_act_fast,1,1.62,1.62
mean_send_if_no_act_slow,1,0.8199999999999998,0.8199999999999998
mean_send_if_no_act_without_check,4,1.495,1.72
pattern_checked_act,8,0.4175,0.39
pattern_checked_no_act,8,0.245,0.2
pattern_fast_act,2,0.73,0.73
pattern_fast_no_act,2,0.33,0.33
pattern_slow_act,2,0.11000000000000001,0.11000000000000001
pattern_slow_no_act,2,0.29000000000000004,0.29000000000000004
pattern_unchecked_act,8,0.0925,0.09
pattern_unchecked_no_act,8,0.15,0.13
