metric_family,metric,distance_kind,bootstrap_mean,bootstrap_median,bootstrap_p05,bootstrap_p95,n_treatments,model_score,median_value
distribution_distance,final_surplus_ratio,wasserstein_1d,0.08526828994275439,0.08110366495960661,0.05003698856985139,0.13631037924365574,2,0.34843667483481044,0.34843667483481044
distribution_distance,proposer_net_surplus,wasserstein_1d,0.25320822811447813,0.24851641414141418,0.14649410774410782,0.37887310606060615,2,1.2646254208754208,1.2646254208754208
distribution_distance,trade_ratio,wasserstein_1d,0.061629859387829715,0.05956115993994783,0.03817291861010296,0.0952153896771952,2,0.4425098371278927,0.4425098371278927
distribution_distance,acceptance_rate,wasserstein_1d,0.04486321548821549,0.043034511784511786,0.011111111111111098,0.08728956228956226,2,0.12310606060606058,0.12310606060606058
distribution_distance,accepted_proposer_net_surplus,wasserstein_1d,0.26185010607371517,0.2535885996491868,0.1699628494309707,0.3914765915853322,2,0.940045095707874,0.940045095707874
distribution_distance,declined_proposer_net_surplus,wasserstein_1d,0.3523636953631006,0.33968412355445293,0.20300790134463403,0.5474069048008109,2,1.6703082264957265,1.6703082264957265
distribution_distance,accepted_trade_ratio,wasserstein_1d,0.0807066072319282,0.07747758625041247,0.04311999380147316,0.1224574015100649,2,0.34475738231173014,0.34475738231173014
distribution_distance,declined_trade_ratio,wasserstein_1d,0.07266256645265201,0.06978276546019882,0.03937552114483761,0.12026105099461423,2,0.5397048322048321,0.5397048322048321
distribution_distance,final_total_surplus,wasserstein_1d,1.807905303030303,1.7098484848484847,1.1216287878787883,2.913484848484849,2,5.07651515151515,5.07651515151515
distribution_distance,mean_player_final_surplus,wasserstein_1d,0.6026351010101009,0.569949494949495,0.3738762626262627,0.9711616161616161,2,1.692171717171717,1.692171717171717
