feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_allOrNothing,0.2162437221878034,2,0.6584207718271522,CONTRIBUTION
CONFIG_chat,0.1365980946589701,2,0.3186682364995922,CONTRIBUTION
CONFIG_punishmentExists,0.08672625253689542,2,0.19322402565722768,CONTRIBUTION
CONFIG_rewardExists,0.07988353560139573,2,0.17363651611415912,CONTRIBUTION
CONFIG_numRounds,0.07658388764815317,10,0.18935713103015903,CONTRIBUTION
CONFIG_MPCR,0.0704521687685907,10,0.1920350401368626,CONTRIBUTION
CONFIG_showOtherSummaries,0.047499255193543366,2,0.09745252181030309,CONTRIBUTION
CONFIG_showNRounds,0.04418002179488049,2,0.09937287387085954,CONTRIBUTION
CONFIG_defaultContribProp,0.03868908097113712,2,0.09082957243141117,CONTRIBUTION
CONFIG_playerCount,0.03783855403720782,10,0.10541239326080538,CONTRIBUTION
CONFIG_rewardMagnitude,0.028628300968344636,6,0.07512665979141889,CONTRIBUTION
CONFIG_punishmentMagnitude,0.025876304135017115,9,0.07134901714776234,CONTRIBUTION
CONFIG_showRewardId,0.016949341276133595,2,0.03679176486738777,CONTRIBUTION
CONFIG_showPunishmentId,0.016949341276133595,2,0.03679176486738777,CONTRIBUTION
