player,most_aligned_count,most_aligned_share,top_k_probability_mass,top_k_probability_share
SLOTH,294,0.2296875,271.4799999999999,0.21209374999999991
GORILLA,229,0.17890625,229.77999999999983,0.17951562499999987
DUCK,191,0.14921875,187.4499999999999,0.14644531249999992
CHICKEN,107,0.08359375,115.92999999999982,0.09057031249999986
PARROT,85,0.06640625,97.24999999999996,0.07597656249999997
DOG,72,0.05625,76.38000000000001,0.059671875000000006
MOOSE,67,0.05234375,68.02000000000004,0.05314062500000003
CHICK,54,0.0421875,47.61999999999998,0.03720312499999999
OWL,54,0.0421875,46.719999999999985,0.03649999999999999
RABBIT,41,0.03203125,39.02000000000001,0.030484375000000008
SNAKE,38,0.0296875,36.8,0.028749999999999998
COW,12,0.009375,16.52,0.01290625
CROCODILE,12,0.009375,18.209999999999997,0.014226562499999998
PINGUIN,10,0.0078125,9.110000000000001,0.007117187500000001
MONKEY,6,0.0046875,9.159999999999997,0.007156249999999998
HORSE,4,0.003125,2.59,0.0020234375
FROG,2,0.0015625,4.630000000000001,0.0036171875000000006
WHALE,1,0.00078125,1.7800000000000002,0.0013906250000000002
ELEPHANT,1,0.00078125,1.5499999999999998,0.0012109374999999998
