treatment_name,player,most_aligned_count,most_aligned_share,treatment_total
VALIDATION_0_C,CHICKEN,6,0.1875,32
VALIDATION_0_C,OWL,6,0.1875,32
VALIDATION_0_C,PARROT,6,0.1875,32
VALIDATION_0_C,GORILLA,5,0.15625,32
VALIDATION_0_C,MOOSE,4,0.125,32
VALIDATION_0_C,DOG,2,0.0625,32
VALIDATION_0_C,SLOTH,2,0.0625,32
VALIDATION_0_C,RABBIT,1,0.03125,32
VALIDATION_0_T,SLOTH,8,0.25,32
VALIDATION_0_T,OWL,6,0.1875,32
VALIDATION_0_T,RABBIT,6,0.1875,32
VALIDATION_0_T,MOOSE,5,0.15625,32
VALIDATION_0_T,GORILLA,3,0.09375,32
VALIDATION_0_T,CHICK,2,0.0625,32
VALIDATION_0_T,CHICKEN,1,0.03125,32
VALIDATION_0_T,DUCK,1,0.03125,32
VALIDATION_10_C,DUCK,14,0.4375,32
VALIDATION_10_C,SLOTH,11,0.34375,32
VALIDATION_10_C,GORILLA,7,0.21875,32
VALIDATION_10_T,DUCK,13,0.40625,32
VALIDATION_10_T,SLOTH,10,0.3125,32
VALIDATION_10_T,GORILLA,9,0.28125,32
VALIDATION_11_C,CHICK,11,0.34375,32
VALIDATION_11_C,SNAKE,4,0.125,32
VALIDATION_11_C,SLOTH,4,0.125,32
VALIDATION_11_C,DOG,2,0.0625,32
VALIDATION_11_C,PARROT,2,0.0625,32
VALIDATION_11_C,OWL,2,0.0625,32
VALIDATION_11_C,GORILLA,2,0.0625,32
VALIDATION_11_C,MOOSE,2,0.0625,32
VALIDATION_11_C,CROCODILE,2,0.0625,32
VALIDATION_11_C,DUCK,1,0.03125,32
VALIDATION_11_T,MOOSE,9,0.28125,32
VALIDATION_11_T,CHICK,6,0.1875,32
VALIDATION_11_T,SLOTH,5,0.15625,32
VALIDATION_11_T,SNAKE,4,0.125,32
VALIDATION_11_T,DOG,3,0.09375,32
VALIDATION_11_T,OWL,2,0.0625,32
VALIDATION_11_T,CROCODILE,1,0.03125,32
VALIDATION_11_T,DUCK,1,0.03125,32
VALIDATION_11_T,PARROT,1,0.03125,32
VALIDATION_12_C,PARROT,15,0.46875,32
VALIDATION_12_C,GORILLA,6,0.1875,32
