metric,direction,observed,null_mean,null_sd,null_ci_low,null_ci_high,observed_minus_null_mean,z_score,collapse_tail_p
total_top1,higher_is_more_collapsed,1280.0,1280.0,0.0,1280.0,1280.0,0.0,nan,1.0
candidate_identities,higher_is_more_collapsed,342.0,342.0,0.0,342.0,342.0,0.0,nan,1.0
selected_identities,lower_is_more_collapsed,261.0,320.1089,3.790599001477207,312.0,327.0,-59.108900000000006,-15.593551303359996,4.999750012499375e-05
selected_identity_share,lower_is_more_collapsed,0.7631578947368421,0.9359909356725146,0.011083622811336862,0.9122807017543859,0.956140350877193,-0.17283304093567242,-15.59355130335999,4.999750012499375e-05
never_selected_identities,higher_is_more_collapsed,81.0,21.8911,3.790599001477207,15.0,30.0,59.1089,15.593551303359995,4.999750012499375e-05
never_selected_identity_share,higher_is_more_collapsed,0.23684210526315788,0.06400906432748538,0.011083622811336862,0.043859649122807015,0.08771929824561403,0.1728330409356725,15.593551303359996,4.999750012499375e-05
entropy_effective_n,lower_is_more_collapsed,198.42769903400279,256.9518032221279,2.669493951327841,251.56291615293713,262.05207548417627,-58.524104188125136,-21.92329529685373,4.999750012499375e-05
entropy_effective_n_share,lower_is_more_collapsed,0.580197950391821,0.7513210620530055,0.007805537869379653,0.7355640823185297,0.7662341388426207,-0.17112311166118455,-21.92329529685372,4.999750012499375e-05
simpson_effective_n,lower_is_more_collapsed,162.28209191759112,215.08782295893658,2.8410202642968203,209.29994890137965,220.33351264120495,-52.80573104134547,-18.58688996518488,4.999750012499375e-05
simpson_effective_n_share,lower_is_more_collapsed,0.4745090406947109,0.6289117630378264,0.00830707679618953,0.6119881546823966,0.6442500369625875,-0.15440272234311547,-18.5868899651849,4.999750012499375e-05
hhi,higher_is_more_collapsed,0.0061621093750000005,0.004650077392578125,6.161659788292409e-05,0.00453857421875,0.00477783203125,0.0015120319824218752,24.539361704046744,4.999750012499375e-05
gini,higher_is_more_collapsed,0.5500502558479532,0.40766355628654966,0.006772627630952988,0.3948003472222221,0.4213360060307016,0.14238669956140354,21.023848839799285,4.999750012499375e-05
top_1pct_share,higher_is_more_collapsed,0.05546875,0.043510585937500006,0.0024631362198499337,0.0390625,0.0484375,0.011958164062499992,4.854852917240827,0.00014999250037498125
top_5pct_share,higher_is_more_collapsed,0.2078125,0.1613125,0.004234274099351328,0.15390625,0.1703125,0.046500000000000014,10.981811500375851,4.999750012499375e-05
top_10pct_share,higher_is_more_collapsed,0.34375,0.27490191406250003,0.004766719085316217,0.26640625,0.28515625,0.06884808593749997,14.443495558524758,4.999750012499375e-05
