cohortName,stageName,g_lp_val,init_val,round_avgs,best_val,worst_val,mean_val
Cohort 01-m7xia7,First negotiation game-negotiation1,27.0000,23.0000,"[23.0000, 24.4000, 26.2000, 26.2667, 26.2667, 26.2667, 26.4000, 26.4667, 26.4667, 26.4667]",27.0000,26.3333,26.4667
Cohort 01-m7xia7,Second negotiation game-negotiation2_alternate_profile,38.8000,33.0000,"[33.0000, 37.6000, 37.8000, 38.0000, 38.0000, 38.0000, 38.0000, 38.0000, 38.0000, 38.0000]",38.0000,38.0000,38.0000
Cohort 02-m7xiz2,First negotiation game-negotiation1,37.8000,30.0000,"[30.0000, 35.4000, 35.4000, 35.4000, 35.4000, 35.4000, 36.0000, 36.0000, 36.0000, 36.0000]",36.0000,36.0000,36.0000
Cohort 02-m7xiz2,Second negotiation game-negotiation2_alternate_profile,43.5000,31.0000,"[31.0000, 36.6000, 39.0000, 39.9000, 39.9000, 40.8000, 40.8000, 40.8000, 40.8000, 42.3000]",43.5000,40.5000,42.3000
Cohort 04-m7xjm0,First negotiation game-negotiation1,42.0000,32.0000,"[32.0000, 38.0000, 39.4000, 40.3333, 40.7667, 40.7667, 40.9000, 40.9000, 40.9000, 40.9000]",41.0000,40.5000,40.9000
Cohort 04-m7xjm0,Second negotiation game-negotiation2_alternate_profile,29.7500,26.0000,"[26.0000, 28.4000, 28.9000, 29.1500, 29.1500, 29.1500, 29.1500, 29.1500, 29.3000, 29.3000]",29.7500,29.0000,29.3000
Cohort 05-m7xjzy,First negotiation game-negotiation1,39.0000,27.0000,"[27.0000, 32.4000, 32.8000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000]",34.0000,34.0000,34.0000
Cohort 05-m7xjzy,Second negotiation game-negotiation2_alternate_profile,38.3333,30.0000,"[30.0000, 31.6667, 35.6667, 35.6667, 36.6667, 36.6667, 36.6667, 36.6667, 36.6667, 36.6667]",36.6667,36.6667,36.6667
Cohort 06-m7xk99,First negotiation game-negotiation1,39.0000,39.0000,"[39.0000, 39.0000, 39.0000, 39.0000, 39.0000, 39.0000, 39.0000, 39.0000, 39.0000, 39.0000]",39.0000,39.0000,39.0000
Cohort 06-m7xk99,Second negotiation game-negotiation2_alternate_profile,43.2857,34.0000,"[34.0000, 37.2857, 37.7143, 39.7143, 40.1429, 40.1429, 41.1429, 41.1429, 41.1429, 41.1429]",41.1429,41.1429,41.1429
Cohort 01-m8aexq,First negotiation game-negotiation1,37.3333,29.0000,"[29.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000]",34.0000,34.0000,34.0000
Cohort 01-m8aexq,Second negotiation game-negotiation2_alternate_profile,27.0000,27.0000,"[27.0000, 27.0000, 27.0000, 27.0000, 27.0000, 27.0000, 27.0000, 27.0000, 27.0000, 27.0000]",27.0000,27.0000,27.0000
Cohort 02-m8aexq,First negotiation game-negotiation1,24.0000,20.0000,"[20.0000, 21.2000, 22.0000, 22.4000, 23.2000, 24.0000, 24.0000, 24.0000, 24.0000, 24.0000]",24.0000,24.0000,24.0000
Cohort 02-m8aexq,Second negotiation game-negotiation2_alternate_profile,40.7500,39.0000,"[39.0000, 40.0000, 40.2393, 40.4893, 40.6036, 40.6036, 40.6036, 40.6036, 40.6607, 40.6607]",40.7143,40.6250,40.6607
Cohort 03-m8aexq,First negotiation game-negotiation1,41.0000,37.0000,"[37.0000, 40.6000, 40.8500, 40.8500, 40.8500, 40.8500, 40.8500, 40.8500, 40.8500, 40.8500]",41.0000,40.6250,40.8500
Cohort 03-m8aexq,Second negotiation game-negotiation2_alternate_profile,27.0000,24.0000,"[24.0000, 26.0000, 26.0000, 26.2667, 26.2667, 26.2667, 26.3333, 26.3333, 26.3333, 26.3333]",26.3333,26.3333,26.3333
Cohort 04-m8aexq,First negotiation game-negotiation1,38.0000,29.0000,"[29.0000, 31.4000, 34.4000, 35.0000, 36.2000, 36.2000, 36.2000, 36.2000, 36.2000, 36.2000]",37.0000,36.0000,36.2000
Cohort 04-m8aexq,Second negotiation game-negotiation2_alternate_profile,30.0000,26.0000,"[26.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000, 30.0000]",30.0000,30.0000,30.0000
Cohort 05-m8aexq,First negotiation game-negotiation1,33.0000,25.0000,"[25.0000, 28.2000, 31.4000, 31.4000, 31.4000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000]",33.0000,33.0000,33.0000
Cohort 05-m8aexq,Second negotiation game-negotiation2_alternate_profile,39.0000,26.0000,"[26.0000, 30.0000, 31.8000, 37.8000, 39.0000, 39.0000, 39.0000, 39.0000, 39.0000, 39.0000]",39.0000,39.0000,39.0000
Cohort 06-m8ag8i,First negotiation game-negotiation1,42.3333,34.0000,"[34.0000, 40.2000, 41.9333, 41.9333, 41.9333, 41.9333, 41.9333, 41.9333, 41.9333, 41.9333]",42.3333,40.3333,41.9333
Cohort 06-m8ag8i,Second negotiation game-negotiation2_alternate_profile,33.0000,28.0000,"[28.0000, 29.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000]",33.0000,33.0000,33.0000
Cohort 07-m8ag8i,First negotiation game-negotiation1,39.0000,26.0000,"[26.0000, 30.6000, 34.2000, 36.6000, 36.6000, 37.8000, 37.8000, 37.8000, 37.8000, 37.8000]",39.0000,33.0000,37.8000
Cohort 07-m8ag8i,Second negotiation game-negotiation2_alternate_profile,42.0000,34.0000,"[34.0000, 42.0000, 42.0000, 42.0000, 42.0000, 42.0000, 42.0000, 42.0000, 42.0000, 42.0000]",42.0000,42.0000,42.0000
Cohort 08-m8ag8i,First negotiation game-negotiation1,32.6000,28.0000,"[28.0000, 29.8000, 30.4000, 30.6000, 31.2000, 31.8000, 32.0000, 32.0000, 32.0000, 32.0000]",32.0000,32.0000,32.0000
Cohort 08-m8ag8i,Second negotiation game-negotiation2_alternate_profile,35.5000,30.0000,"[30.0000, 32.7333, 32.9000, 32.9000, 33.0667, 33.2333, 34.0333, 34.0333, 34.0333, 34.8333]",34.8333,34.8333,34.8333
Cohort 09-m8ag8i,First negotiation game-negotiation1,24.0000,21.0000,"[21.0000, 22.6000, 23.4000, 24.0000, 24.0000, 24.0000, 24.0000, 24.0000, 24.0000, 24.0000]",24.0000,24.0000,24.0000
Cohort 09-m8ag8i,Second negotiation game-negotiation2_alternate_profile,43.5000,36.0000,"[36.0000, 42.2000, 42.5000, 42.5000, 42.5000, 42.5000, 42.5000, 42.5000, 43.0000, 43.0000]",43.5000,42.2500,43.0000
Cohort 11-m8agmu,First negotiation game-negotiation1,35.6000,28.0000,"[28.0000, 31.6000, 33.2000, 33.2000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000]",34.0000,34.0000,34.0000
Cohort 11-m8agmu,Second negotiation game-negotiation2_alternate_profile,42.0000,28.0000,"[28.0000, 35.0000, 35.0000, 35.0000, 35.0000, 35.0000, 35.0000, 35.0000, 35.0000, 35.0000]",35.0000,35.0000,35.0000
Cohort 12-m8agmu,First negotiation game-negotiation1,37.7143,37.0000,"[37.0000, 37.1429, 37.4286, 37.7143, 37.7143, 37.7143, 37.7143, 37.7143, 37.7143, 37.7143]",37.7143,37.7143,37.7143
Cohort 12-m8agmu,Second negotiation game-negotiation2_alternate_profile,41.2000,30.0000,"[30.0000, 34.8000, 35.6000, 37.2000, 37.2000, 38.6400, 38.6400, 38.6400, 38.6400, 38.6400]",41.2000,38.0000,38.6400
Cohort 13-m8agmu,First negotiation game-negotiation1,34.8000,30.0000,"[30.0000, 32.4000, 33.2000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000, 34.0000]",34.0000,34.0000,34.0000
Cohort 13-m8agmu,Second negotiation game-negotiation2_alternate_profile,41.1250,36.0000,"[36.0000, 37.5000, 39.1000, 39.9000, 39.9000, 39.9000, 40.7000, 40.7000, 40.7000, 40.7000]",41.0000,40.6250,40.7000
Cohort 14-m8agmu,First negotiation game-negotiation1,29.2500,28.0000,"[28.0000, 28.8000, 29.1500, 29.2000, 29.2500, 29.2500, 29.2500, 29.2500, 29.2500, 29.2500]",29.2500,29.2500,29.2500
Cohort 14-m8agmu,Second negotiation game-negotiation2_alternate_profile,41.5000,33.0000,"[33.0000, 36.1750, 36.4250, 40.6250, 40.6250, 40.6250, 40.6250, 40.6250, 40.6250, 40.6250]",40.6250,40.6250,40.6250
Cohort 15-m8agmu,First negotiation game-negotiation1,42.3333,34.0000,"[34.0000, 38.8000, 39.4000, 39.4000, 39.4000, 40.6000, 40.6000, 40.6000, 40.6000, 40.6000]",41.0000,40.3333,40.6000
Cohort 15-m8agmu,Second negotiation game-negotiation2_alternate_profile,39.0000,27.0000,"[27.0000, 28.2000, 30.6000, 35.4000, 37.8000, 37.8000, 39.0000, 39.0000, 39.0000, 39.0000]",39.0000,39.0000,39.0000
Cohort 16-m8agzl,First negotiation game-negotiation1,33.0000,30.0000,"[30.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000, 33.0000]",33.0000,33.0000,33.0000
