family_name,metric,run_name,mean_value,stderr,n_groups,bootstrap_mean,bootstrap_p05,bootstrap_p95
gpt-5-mini,mean_send_field_distance,baseline_gpt_5_mini,1.4960778124130885,0.08381490305798447,10.0,,,
gpt-5-mini,return_pct,baseline_gpt_5_mini,0.15207144058164102,0.01834489596465547,10.0,,,
gpt-5-mini,mean_send_field_distance,demographic_only_row_resampled_seed_0_gpt_5_mini,1.4900490067784644,0.07633806592224995,10.0,,,
gpt-5-mini,return_pct,demographic_only_row_resampled_seed_0_gpt_5_mini,0.16545199736358934,0.018991786027252308,10.0,,,
gpt-5-mini,mean_send_field_distance,twin_sampled_seed_0_gpt_5_mini,0.8401361971870015,0.0455618923904762,10.0,,,
gpt-5-mini,return_pct,twin_sampled_seed_0_gpt_5_mini,0.12970045847433698,0.012763361634726175,10.0,,,
gpt-5-mini,mean_send_field_distance,twin_sampled_unadjusted_seed_0_gpt_5_mini,0.8141797220752492,0.04353334991695794,10.0,,,
gpt-5-mini,return_pct,twin_sampled_unadjusted_seed_0_gpt_5_mini,0.1307483408079137,0.009764962541513347,10.0,,,
gpt-5-mini,mean_send_field_distance,human_ceiling,,,,0.09722427704243439,0.0795957309292574,0.1158029712590068
gpt-5-mini,return_pct,human_ceiling,,,,0.0466463127000376,0.036915895667198315,0.0580845399391175
gpt-5.1,mean_send_field_distance,baseline_gpt_5_1,1.5128930232488855,0.0956981620459871,10.0,,,
gpt-5.1,return_pct,baseline_gpt_5_1,0.15839103107243052,0.02389554269793709,10.0,,,
gpt-5.1,mean_send_field_distance,demographic_only_row_resampled_seed_0_gpt_5_1,1.4593379804457391,0.08849192933829869,10.0,,,
gpt-5.1,return_pct,demographic_only_row_resampled_seed_0_gpt_5_1,0.15179128669990055,0.016780587046374355,10.0,,,
gpt-5.1,mean_send_field_distance,twin_sampled_seed_0_gpt_5_1,1.1801914220630674,0.073356734721481,10.0,,,
gpt-5.1,return_pct,twin_sampled_seed_0_gpt_5_1,0.2786464131790165,0.03607567470784848,10.0,,,
gpt-5.1,mean_send_field_distance,twin_sampled_unadjusted_seed_0_gpt_5_1,1.1763332589462123,0.06391990658873906,10.0,,,
gpt-5.1,return_pct,twin_sampled_unadjusted_seed_0_gpt_5_1,0.22579784927593155,0.017901536061496026,10.0,,,
gpt-5.1,mean_send_field_distance,human_ceiling,,,,0.09722427704243439,0.0795957309292574,0.1158029712590068
gpt-5.1,return_pct,human_ceiling,,,,0.0466463127000376,0.036915895667198315,0.0580845399391175
