model_family,action_key,action_title,description,support_json,human_n,human_distribution_json,baseline_n,baseline_distribution_json,baseline_tvd,demographic_only_n,demographic_only_distribution_json,demographic_only_tvd,twin_sampled_n,twin_sampled_distribution_json,twin_sampled_tvd,twin_unadjusted_n,twin_unadjusted_distribution_json,twin_unadjusted_tvd
gpt-5-mini,contribution,Contribution,All actor-rounds. Contribution is shown in coins from 0 to 20.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",48578,"{""0"": 0.14224546090823006, ""1"": 0.006175635061138787, ""2"": 0.004981678949318622, ""3"": 0.00366421013627568, ""4"": 0.004158260941166783, ""5"": 0.014883280497344477, ""6"": 0.0036436246860718845, ""7"": 0.003252501132199761, ""8"": 0.004446457244019927, ""9"": 0.002676108526493474, ""10"": 0.05800979867429701, ""11"": 0.0036847955864794764, ""12"": 0.008892914488039853, ""13"": 0.004158260941166783, ""14"": 0.0036230392358680883, ""15"": 0.02214994441928445, ""16"": 0.00387006463831364, ""17"": 0.002923133928939026, ""18"": 0.003952406439128824, ""19"": 0.0027378648771048623, ""20"": 0.6958705586891185}",51086,"{""0"": 0.30724660376619817, ""1"": 0.016521160396194653, ""2"": 0.02010335512664918, ""3"": 0.016579884899972596, ""4"": 0.01916376306620209, ""5"": 0.027169870414594996, ""6"": 0.02501663860940375, ""7"": 0.01560114317034021, ""8"": 0.029753748580824493, ""9"": 0.02196296441295071, ""10"": 0.058039384567200404, ""11"": 0.022099988255099245, ""12"": 0.05616020044630623, ""13"": 0.023039580315546333, ""14"": 0.02748306776807736, ""15"": 0.043240809615158755, ""16"": 0.01663860940375054, ""17"": 0.008358454371060564, ""18"": 0.009258896762322359, ""19"": 0.0029558000234898014, ""20"": 0.23360607602865754}",0.46226448266046094,51076,"{""0"": 0.25730284282246063, ""1"": 0.014977680319523847, ""2"": 0.01938288041350145, ""3"": 0.017699115044247787, ""4"": 0.020870859111911663, ""5"": 0.026646565901793404, ""6"": 0.027136032578902028, ""7"": 0.01777742971258517, ""8"": 0.03136502466912053, ""9"": 0.02386639517581643, ""10"": 0.04193750489466677, ""11"": 0.023474821834129533, ""12"": 0.05576004385621427, ""13"": 0.028349909938131412, ""14"": 0.030777664656590178, ""15"": 0.04812436369331976, ""16"": 0.02509985120213016, ""17"": 0.013685488291957084, ""18"": 0.015447568329548125, ""19"": 0.0037395254131098754, ""20"": 0.2565784321403399}",0.45536442032840885,51076,"{""0"": 0.18723079332759027, ""1"": 0.010259221552196727, ""2"": 0.014116218967812672, ""3"": 0.01262824026940246, ""4"": 0.015173466990367295, ""5"": 0.019422037747670137, ""6"": 0.022632939149502703, ""7"": 0.015310517659957711, ""8"": 0.025276059205889264, ""9"": 0.020870859111911663, ""10"": 0.043151382253896156, ""11"": 0.02721434724723941, ""12"": 0.06132038530816822, ""13"": 0.03224606468791605, ""14"": 0.03784556347403869, ""15"": 0.05779622523298614, ""16"": 0.030836400657843214, ""17"": 0.017405435037982614, ""18"": 0.0249432218654554, ""19"": 0.006382645469496437, ""20"": 0.31793797478267677}",0.3927910003268426,51052,"{""0"": 0.1775248765964115, ""1"": 0.009970226435790958, ""2"": 0.012967170727885294, ""3"": 0.010851680639348115, ""4"": 0.013260988795737678, ""5"": 0.018295071691608555, ""6"": 0.021820888505837185, ""7"": 0.015278539528324062, ""8"": 0.026326098879573767, ""9"": 0.022526051868682912, ""10"": 0.04115411737052417, ""11"": 0.028265298127399516, ""12"": 0.06307294523231215, ""13"": 0.031203478805923373, ""14"": 0.034729295620152, ""15"": 0.055942960119094255, ""16"": 0.029127164459766514, ""17"": 0.01760949619995299, ""18"": 0.02832406174096999, ""19"": 0.009206299459374755, ""20"": 0.33254328919533027}",0.3801829507975611
gpt-5-mini,punishment,Punishment,Actor-rounds from punishment-enabled treatments only.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",23906,"{""0"": 0.8350204969463733, ""1"": 0.1030285284029114, ""2"": 0.03187484313561449, ""3"": 0.015226303020162302, ""4"": 0.006274575420396553, ""5"": 0.003095457207395633, ""6"": 0.0019242031289216097, ""7"": 0.0007529490504475864, ""8"": 0.0008366100560528737, ""9"": 0.0005856270392370117, ""10"": 0.0002509830168158621, ""11"": 0.0005856270392370117, ""12"": 0.00016732201121057475, ""13"": 8.366100560528738e-05, ""14"": 0.00016732201121057475, ""15"": 4.183050280264369e-05, ""16"": 4.183050280264369e-05, ""17"": 4.183050280264369e-05}",25127,"{""0"": 0.9065547021132646, ""1"": 0.09157480001591912, ""2"": 0.001790902216738966, ""3"": 7.959565407728738e-05}",0.07153420516689134,25117,"{""0"": 0.895290042600629, ""1"": 0.102002627702353, ""2"": 0.002707329697017956}",0.060269545654255775,25117,"{""0"": 0.9064776844368356, ""1"": 0.08977983039375721, ""2"": 0.003423975793287415, ""3"": 0.0002786957041047896, ""4"": 3.981367201496994e-05}",0.07145718749046234,25093,"{""0"": 0.9162316183796277, ""1"": 0.07954409596301758, ""2"": 0.0038257681425098635, ""3"": 0.0002789622603913442, ""4"": 7.970350296895549e-05, ""5"": 3.985175148447774e-05}",0.08121112143325449
gpt-5-mini,reward,Reward,Actor-rounds from reward-enabled treatments only.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",27918,"{""0"": 0.8164624973135611, ""1"": 0.07199656135826349, ""2"": 0.0385772619815173, ""3"": 0.02503761014399312, ""4"": 0.011426319936958234, ""5"": 0.01074575542660649, ""6"": 0.004907228311483631, ""7"": 0.003402822551758722, ""8"": 0.003367003367003367, ""9"": 0.004155025431621176, ""10"": 0.0037251952145569167, ""11"": 0.002364066193853428, ""12"": 0.0009671179883945841, ""13"": 0.0009671179883945841, ""14"": 0.001146213912171359, ""15"": 0.0007522028798624544}",29422,"{""0"": 0.885799741689892, ""1"": 0.11280674325334783, ""2"": 0.0013595268846441438, ""3"": 3.3988172116103597e-05}",0.11014742627141515,29422,"{""0"": 0.864489157773095, ""1"": 0.1342192916864931, ""2"": 0.0012915505404119366}",0.11024939078776345,29422,"{""0"": 0.8649310040106043, ""1"": 0.1330976820066617, ""2"": 0.0019713139827340085}",0.10956962734544137,29398,"{""0"": 0.8622355262262739, ""1"": 0.13483910470100008, ""2"": 0.002789305394924825, ""3"": 0.00010204775835090823, ""4"": 3.4015919450302745e-05}",0.10861557225544932
gpt-5.1,contribution,Contribution,All actor-rounds. Contribution is shown in coins from 0 to 20.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",48578,"{""0"": 0.14224546090823006, ""1"": 0.006175635061138787, ""2"": 0.004981678949318622, ""3"": 0.00366421013627568, ""4"": 0.004158260941166783, ""5"": 0.014883280497344477, ""6"": 0.0036436246860718845, ""7"": 0.003252501132199761, ""8"": 0.004446457244019927, ""9"": 0.002676108526493474, ""10"": 0.05800979867429701, ""11"": 0.0036847955864794764, ""12"": 0.008892914488039853, ""13"": 0.004158260941166783, ""14"": 0.0036230392358680883, ""15"": 0.02214994441928445, ""16"": 0.00387006463831364, ""17"": 0.002923133928939026, ""18"": 0.003952406439128824, ""19"": 0.0027378648771048623, ""20"": 0.6958705586891185}",51086,"{""0"": 0.19858669694241082, ""1"": 0.012097247778256274, ""2"": 0.012351720627960694, ""3"": 0.011177230552401832, ""4"": 0.013075989507888658, ""5"": 0.015405394824413735, ""6"": 0.01415260541048428, ""7"": 0.013858982891594566, ""8"": 0.01932036174294327, ""9"": 0.018204596171162355, ""10"": 0.023313627999843402, ""11"": 0.019790157773166818, ""12"": 0.025799631993109657, ""13"": 0.02348980151117723, ""14"": 0.03192655522060839, ""15"": 0.03646791684610265, ""16"": 0.04729280037583682, ""17"": 0.03725091022980856, ""18"": 0.06768977802137571, ""19"": 0.019966331284500646, ""20"": 0.3387816622949536}",0.3917850670686185,50494,"{""0"": 0.18352675565413712, ""1"": 0.013664989899790075, ""2"": 0.013308511902404245, ""3"": 0.013011446904582722, ""4"": 0.013447142234720957, ""5"": 0.015071097556145285, ""6"": 0.016576226878441003, ""7"": 0.018715094862755972, ""8"": 0.02586445914366063, ""9"": 0.02645858913930368, ""10"": 0.03626173406741395, ""11"": 0.030617499108805006, ""12"": 0.037727254723333464, ""13"": 0.03370697508614885, ""14"": 0.04246049035528974, ""15"": 0.04267833802035886, ""16"": 0.04479740167148572, ""17"": 0.03440012674773241, ""18"": 0.04760961698419614, ""19"": 0.015051293222957183, ""20"": 0.295044955836337}",0.42257366745966457,51076,"{""0"": 0.15711880335186781, ""1"": 0.005090453441929673, ""2"": 0.007165792152870233, ""3"": 0.009045344192967342, ""4"": 0.01047458689012452, ""5"": 0.012217088260631215, ""6"": 0.01587829900540371, ""7"": 0.01738585637089827, ""8"": 0.02682277390555251, ""9"": 0.025961312553841334, ""10"": 0.036200955438953714, ""11"": 0.031090923329939697, ""12"": 0.039764272848304485, ""13"": 0.03383193672174798, ""14"": 0.04405200093977602, ""15"": 0.038569974156159446, ""16"": 0.052509985120213015, ""17"": 0.03238311535750646, ""18"": 0.05513352650951523, ""19"": 0.016406923016681025, ""20"": 0.3328960764351163}",0.38853469934526785,49295,"{""0"": 0.14447712749771782, ""1"": 0.0062075261182675725, ""2"": 0.0070595395070493965, ""3"": 0.007992697028096156, ""4"": 0.009777867937924739, ""5"": 0.010609595293640329, ""6"": 0.013916218683436454, ""7"": 0.015478243229536464, ""8"": 0.02363322852216249, ""9"": 0.023795516786692363, ""10"": 0.034790546708591136, ""11"": 0.03318795009635866, ""12"": 0.04235723704229638, ""13"": 0.03598742265949893, ""14"": 0.04643472968860939, ""15"": 0.04878790952429252, ""16"": 0.05473171721269906, ""17"": 0.03337052439395476, ""18"": 0.057592047875038035, ""19"": 0.016634547114311796, ""20"": 0.3331778070798255}",0.390185688778703
gpt-5.1,punishment,Punishment,Actor-rounds from punishment-enabled treatments only.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",23906,"{""0"": 0.8350204969463733, ""1"": 0.1030285284029114, ""2"": 0.03187484313561449, ""3"": 0.015226303020162302, ""4"": 0.006274575420396553, ""5"": 0.003095457207395633, ""6"": 0.0019242031289216097, ""7"": 0.0007529490504475864, ""8"": 0.0008366100560528737, ""9"": 0.0005856270392370117, ""10"": 0.0002509830168158621, ""11"": 0.0005856270392370117, ""12"": 0.00016732201121057475, ""13"": 8.366100560528738e-05, ""14"": 0.00016732201121057475, ""15"": 4.183050280264369e-05, ""16"": 4.183050280264369e-05, ""17"": 4.183050280264369e-05}",25127,"{""0"": 0.9497751422772317, ""1"": 0.04771759461933379, ""2"": 0.0019500935248935407, ""3"": 0.0004377760974250806, ""4"": 3.979782703864369e-05, ""5"": 7.959565407728738e-05}",0.1147546453308584,24535,"{""0"": 0.9476258406358263, ""1"": 0.05021398002853067, ""2"": 0.0017933564295903811, ""3"": 0.000244548604035052, ""4"": 8.151620134501732e-05, ""7"": 4.075810067250866e-05}",0.11260534368945307,25117,"{""0"": 0.9751960823346737, ""1"": 0.022454911016443046, ""2"": 0.0018314289126886174, ""3"": 0.00043795039216466933, ""4"": 3.981367201496994e-05, ""5"": 3.981367201496994e-05}",0.14017558538830044,23471,"{""0"": 0.9776745771377444, ""1"": 0.020621192109411615, ""2"": 0.00157641344638064, ""3"": 8.521153764219675e-05, ""4"": 4.2605768821098374e-05}",0.14265408019137116
gpt-5.1,reward,Reward,Actor-rounds from reward-enabled treatments only.,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",27918,"{""0"": 0.8164624973135611, ""1"": 0.07199656135826349, ""2"": 0.0385772619815173, ""3"": 0.02503761014399312, ""4"": 0.011426319936958234, ""5"": 0.01074575542660649, ""6"": 0.004907228311483631, ""7"": 0.003402822551758722, ""8"": 0.003367003367003367, ""9"": 0.004155025431621176, ""10"": 0.0037251952145569167, ""11"": 0.002364066193853428, ""12"": 0.0009671179883945841, ""13"": 0.0009671179883945841, ""14"": 0.001146213912171359, ""15"": 0.0007522028798624544}",29422,"{""0"": 0.9462307117123241, ""1"": 0.04659778397117803, ""2"": 0.004384474202977364, ""3"": 0.0007477397865542792, ""4"": 0.0007817279586703827, ""5"": 0.0006457752702059683, ""6"": 0.00030589354904493236, ""7"": 6.797634423220719e-05, ""9"": 6.797634423220719e-05, ""10"": 3.3988172116103597e-05, ""11"": 0.00013595268846441439}",0.12976821439876296,28840,"{""0"": 0.9453536754507629, ""1"": 0.048335644937586686, ""2"": 0.005339805825242718, ""3"": 0.00027739251040221914, ""4"": 0.00010402219140083218, ""5"": 0.00024271844660194174, ""7"": 3.467406380027739e-05, ""9"": 0.00020804438280166437, ""11"": 0.00010402219140083218}",0.12889117813720172,29422,"{""0"": 0.9605737203453198, ""1"": 0.03344436136224594, ""2"": 0.0049962613010672285, ""3"": 0.0006457752702059683, ""4"": 0.00016994086058051797, ""5"": 0.00016994086058051797}",0.1441112230317587,28039,"{""0"": 0.9580584186311922, ""1"": 0.036591889867684295, ""2"": 0.003637790220763936, ""3"": 0.0011769321302471558, ""4"": 3.5664610007489565e-05, ""5"": 0.00021398766004493742, ""7"": 7.132922001497913e-05, ""9"": 0.00021398766004493742}",0.1415959213176311
