split,factor,direction,method,r2,r2_oos_train_mean,rmse
all_or_nothing/false_to_true,all_or_nothing,false_to_true,config_only,-0.5360052253140479,-0.5293326447216713,0.1053817760954698
all_or_nothing/false_to_true,all_or_nothing,false_to_true,synthetic,-0.4453648566948696,-0.4390860281253159,0.1022251867771451
all_or_nothing/false_to_true,all_or_nothing,false_to_true,oracle,-0.162203242788868,-0.157154500327302,0.0916664069722911
all_or_nothing/false_to_true,all_or_nothing,false_to_true,noise_ceiling,0.3725250114875457,0.3752508338750925,0.0673546179312949
all_or_nothing/true_to_false,all_or_nothing,true_to_false,config_only,-0.2975579698439912,-0.2291612267741929,0.0868801731159312
all_or_nothing/true_to_false,all_or_nothing,true_to_false,synthetic,-0.2138345367371044,-0.1498510147150114,0.0840305174544839
all_or_nothing/true_to_false,all_or_nothing,true_to_false,oracle,0.1113849564669131,0.1582255418072333,0.071897555289596
all_or_nothing/true_to_false,all_or_nothing,true_to_false,noise_ceiling,0.580017692755006,0.6021557572038343,0.049427971818401
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,config_only,-1.1197666748304362,-1.0967163014963273,0.111726694331489
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,synthetic,-1.137407934558214,-1.1141657299118966,0.1121906406320514
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,oracle,-0.3754186345388572,-0.3604623125090533,0.0899974846169401
default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,noise_ceiling,0.7352955554335677,0.738173955373949,0.0394814901642531
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,config_only,-0.1195303750626024,-0.0811793630194419,0.0879189698782291
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,synthetic,0.0011434039879828,0.0353605741481984,0.0830455223640013
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,oracle,0.3326285601046397,0.355490262385167,0.0678810355207606
default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,noise_ceiling,0.3333546003991245,0.3561914311972001,0.067844101232288
mpcr/high_to_low,mpcr,high_to_low,config_only,-0.8796802263391228,-0.8791021392158378,0.1108303186073387
mpcr/high_to_low,mpcr,high_to_low,synthetic,-0.4893794778339122,-0.4889214259345751,0.0986550402308127
mpcr/high_to_low,mpcr,high_to_low,oracle,-0.7484714765101794,-0.7479337420424554,0.1068921644770869
mpcr/high_to_low,mpcr,high_to_low,noise_ceiling,0.4450928929613588,0.4452635521238607,0.0602180570627535
mpcr/low_to_high,mpcr,low_to_high,config_only,-0.4180569503491134,-0.2700450049198575,0.0897236164001848
mpcr/low_to_high,mpcr,low_to_high,synthetic,-0.5099179570208032,-0.352317873186232,0.0925841425026878
mpcr/low_to_high,mpcr,low_to_high,oracle,0.0942751996134876,0.1888116635373998,0.071706423767269
mpcr/low_to_high,mpcr,low_to_high,noise_ceiling,0.4555859174300222,0.5124100015829385,0.0555935757963094
num_rounds/high_to_low,num_rounds,high_to_low,config_only,0.3670725060731874,0.622614137328235,0.0563115798802108
num_rounds/high_to_low,num_rounds,high_to_low,synthetic,0.4445185899025826,0.6687917128593206,0.0527540122654151
num_rounds/high_to_low,num_rounds,high_to_low,oracle,0.3860406012036957,0.6339239492936711,0.0554613654207238
num_rounds/high_to_low,num_rounds,high_to_low,noise_ceiling,0.5879412325309795,0.7543081080773177,0.0454360230204491
num_rounds/low_to_high,num_rounds,low_to_high,config_only,-0.1528308935089652,-0.008930443503164,0.0879014686862558
num_rounds/low_to_high,num_rounds,low_to_high,synthetic,-0.2376363476981644,-0.0831501794491376,0.0910772389176177
num_rounds/low_to_high,num_rounds,low_to_high,oracle,-1.667576365886298,-1.334600001670836,0.1337124230534792
num_rounds/low_to_high,num_rounds,low_to_high,noise_ceiling,0.333689198694638,0.4168604813965808,0.0668269676768365
player_count/high_to_low,player_count,high_to_low,config_only,-0.5153352961930495,-0.4396028943151604,0.0788210988799958
player_count/high_to_low,player_count,high_to_low,synthetic,-0.3451368077939314,-0.2779104707815762,0.0742628041379951
player_count/high_to_low,player_count,high_to_low,oracle,-0.3903744745776634,-0.3208872800709368,0.0755012268488984
player_count/high_to_low,player_count,high_to_low,noise_ceiling,0.3833222743125132,0.414142176329075,0.0502825445061249
player_count/low_to_high,player_count,low_to_high,config_only,0.0679658096980615,0.1780088489919074,0.0903584005272959
player_count/low_to_high,player_count,low_to_high,synthetic,0.413280253720683,0.4825528456128045,0.0716915491632778
player_count/low_to_high,player_count,low_to_high,oracle,0.2581635666504926,0.3457504133929285,0.0806132985407139
player_count/low_to_high,player_count,low_to_high,noise_ceiling,0.5157452367808282,0.5729200341129904,0.0651312724954911
reward_exists/false_to_true,reward_exists,false_to_true,config_only,-0.1018864346735182,-0.0986003637174068,0.0797460934345245
reward_exists/false_to_true,reward_exists,false_to_true,synthetic,-0.0751261129432188,-0.0719198472313205,0.0787717881262881
reward_exists/false_to_true,reward_exists,false_to_true,oracle,-0.1232098492232287,-0.1198601870919908,0.0805140087560484
reward_exists/false_to_true,reward_exists,false_to_true,noise_ceiling,0.3189557405017643,0.320986766286764,0.0626943879976801
reward_exists/true_to_false,reward_exists,true_to_false,config_only,0.2477795864220757,0.3295797427967798,0.0741155921087192
reward_exists/true_to_false,reward_exists,true_to_false,synthetic,0.0873625902898719,0.186607281712966,0.0816368348797739
reward_exists/true_to_false,reward_exists,true_to_false,oracle,0.4718167972407452,0.5292540427612342,0.0621053935067432
reward_exists/true_to_false,reward_exists,true_to_false,noise_ceiling,0.627713792528322,0.6681980301768049,0.0521405368408659
show_n_rounds/false_to_true,show_n_rounds,false_to_true,config_only,-0.1500152177388072,-0.147439572324433,0.083327698338866
show_n_rounds/false_to_true,show_n_rounds,false_to_true,synthetic,-0.1590243234135171,-0.1564285006472601,0.0836534520837158
show_n_rounds/false_to_true,show_n_rounds,false_to_true,oracle,0.0706533492826098,0.0727347716867331,0.0749076998148681
show_n_rounds/false_to_true,show_n_rounds,false_to_true,noise_ceiling,0.3386613066341021,0.3401424817930407,0.06319017510995
show_n_rounds/true_to_false,show_n_rounds,true_to_false,config_only,0.4337164747724266,0.5156731366042457,0.0616445716392935
show_n_rounds/true_to_false,show_n_rounds,true_to_false,synthetic,0.5363979667187835,0.6034938177783797,0.0557764079142144
show_n_rounds/true_to_false,show_n_rounds,true_to_false,oracle,0.5463756217487405,0.6120274341550208,0.0551729325986408
show_n_rounds/true_to_false,show_n_rounds,true_to_false,noise_ceiling,0.7068730470285037,0.7492965071650528,0.0443512385451962
show_other_summaries/false_to_true,show_other_summaries,false_to_true,config_only,-0.1791605396485176,0.1121552852327429,0.0869367854658391
show_other_summaries/false_to_true,show_other_summaries,false_to_true,synthetic,-0.1540420104958835,0.1310681920007568,0.0860058353988941
show_other_summaries/false_to_true,show_other_summaries,false_to_true,oracle,0.0694321799034092,0.2993322851089316,0.0772309050682815
show_other_summaries/false_to_true,show_other_summaries,false_to_true,noise_ceiling,0.3317996129835194,0.4968809063142025,0.0654440956490806
show_other_summaries/true_to_false,show_other_summaries,true_to_false,config_only,-1.0624758908358376,-0.6636970165101954,0.1038322694135493
show_other_summaries/true_to_false,show_other_summaries,true_to_false,synthetic,-0.9856113757450292,-0.6016942241380352,0.101879084136623
show_other_summaries/true_to_false,show_other_summaries,true_to_false,oracle,-0.8844037506284483,-0.5200550521590113,0.0992487134987842
show_other_summaries/true_to_false,show_other_summaries,true_to_false,noise_ceiling,0.6713373321019058,0.7348841252157636,0.0414489080843346
show_punishment_id/false_to_true,show_punishment_id,false_to_true,config_only,-0.0107641723094458,0.0021268203600508,0.0698794362519932
show_punishment_id/false_to_true,show_punishment_id,false_to_true,synthetic,0.0752870321482453,0.0870805527503153,0.0668386927092576
show_punishment_id/false_to_true,show_punishment_id,false_to_true,oracle,0.2310004171605211,0.2408080144782809,0.0609519388777841
show_punishment_id/false_to_true,show_punishment_id,false_to_true,noise_ceiling,0.5280683995998383,0.534087278155221,0.047748969388149
show_punishment_id/true_to_false,show_punishment_id,true_to_false,config_only,-0.0978622570667246,0.0277016651900887,0.0886803589270621
show_punishment_id/true_to_false,show_punishment_id,true_to_false,synthetic,-0.1386978464877932,-0.0084635052031156,0.0903145587464776
show_punishment_id/true_to_false,show_punishment_id,true_to_false,oracle,0.1395977356213598,0.2380030522616055,0.078506259788027
show_punishment_id/true_to_false,show_punishment_id,true_to_false,noise_ceiling,0.3731218795311555,0.4448187386556816,0.0670108413710942
