model_name,score_family,metric,score,noise_ceiling_mean,noise_ceiling_p05,noise_ceiling_p50,noise_ceiling_p95,bootstrap_iters,gap_to_noise_ceiling,ratio_to_noise_ceiling
gpt-5-mini baseline,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,1.256668310618376,0.6379863148190649,0.46845311570637344,0.6175846078798164,0.8051207398708077,200,0.6186819957993112,1.9697417976352227
gpt-5-mini twin,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.5428245721783508,0.6379863148190649,0.46845311570637344,0.6175846078798164,0.8051207398708077,200,-0.09516174264071409,0.850840464081581
gpt-5.1 baseline,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.8846719170773781,0.6379863148190649,0.46845311570637344,0.6175846078798164,0.8051207398708077,200,0.24668560225831326,1.386662842961254
gpt-5.1 twin,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.8761183302573631,0.6379863148190649,0.46845311570637344,0.6175846078798164,0.8051207398708077,200,0.2381320154382982,1.3732556794824562
gpt-5-mini baseline,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.9791883167625092,0.5193605022496625,0.39804073464632317,0.5164509522144095,0.6564217640392379,200,0.4598278145128467,1.88537309348912
gpt-5-mini twin,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.6004952454090382,0.5193605022496625,0.39804073464632317,0.5164509522144095,0.6564217640392379,200,0.08113474315937574,1.1562204726927297
gpt-5.1 baseline,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.833052539894639,0.5193605022496625,0.39804073464632317,0.5164509522144095,0.6564217640392379,200,0.31369203764497655,1.6039967157421249
gpt-5.1 twin,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.9307145601999869,0.5193605022496625,0.39804073464632317,0.5164509522144095,0.6564217640392379,200,0.4113540579503244,1.7920395489616612
gpt-5-mini baseline,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.7741109006762187,0.6223275759504027,0.47991026404944426,0.6129069920371264,0.7840384577794991,200,0.15178332472581602,1.243896190031458
gpt-5-mini twin,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.6567009119086828,0.6223275759504027,0.47991026404944426,0.6129069920371264,0.7840384577794991,200,0.03437333595828018,1.0552335093070335
gpt-5.1 baseline,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.8901096327770608,0.6223275759504027,0.47991026404944426,0.6129069920371264,0.7840384577794991,200,0.2677820568266581,1.4302911636491573
gpt-5.1 twin,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.6802297950785405,0.6223275759504027,0.47991026404944426,0.6129069920371264,0.7840384577794991,200,0.057902219128137866,1.0930413842576574
gpt-5-mini baseline,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6077801564500814,0.5997770220971235,0.46787181925386573,0.5931106386948415,0.7310515050414346,200,0.008003134352957963,1.0133435161036597
gpt-5-mini twin,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6356168532925554,0.5997770220971235,0.46787181925386573,0.5931106386948415,0.7310515050414346,200,0.03583983119543188,1.0597552588295525
gpt-5.1 baseline,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.7223575767268019,0.5997770220971235,0.46787181925386573,0.5931106386948415,0.7310515050414346,200,0.12258055462967843,1.2043768769284873
gpt-5.1 twin,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6804631434181392,0.5997770220971235,0.46787181925386573,0.5931106386948415,0.7310515050414346,200,0.08068612132101571,1.134526863064704
gpt-5-mini baseline,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.007580233924015,0.5480743511382871,0.43168639188054525,0.5382376002087335,0.6728247358937183,200,0.4595058827857279,1.838400632745151
gpt-5-mini twin,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,0.7703243267888775,0.5480743511382871,0.43168639188054525,0.5382376002087335,0.6728247358937183,200,0.22224997565059046,1.4055106304263334
gpt-5.1 baseline,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.2279168259965823,0.5480743511382871,0.43168639188054525,0.5382376002087335,0.6728247358937183,200,0.6798424748582952,2.24042016096236
gpt-5.1 twin,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.2061501955164602,0.5480743511382871,0.43168639188054525,0.5382376002087335,0.6728247358937183,200,0.6580758443781731,2.2007054207361203
gpt-5-mini baseline,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.5928737326648064,0.6457021157171728,0.4991791851213903,0.6428446957171154,0.80364588236085,200,-0.05282838305236648,0.9181845904381299
gpt-5-mini twin,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.6693923396344464,0.6457021157171728,0.4991791851213903,0.6428446957171154,0.80364588236085,200,0.0236902239172736,1.0366890913636875
gpt-5.1 baseline,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.8146072545999496,0.6457021157171728,0.4991791851213903,0.6428446957171154,0.80364588236085,200,0.1689051388827768,1.2615836850637792
gpt-5.1 twin,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.7353494660339821,0.6457021157171728,0.4991791851213903,0.6428446957171154,0.80364588236085,200,0.08964735031680926,1.1388370087919553
gpt-5-mini baseline,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.5710836137177315,0.5865053168810769,0.4683690593468941,0.5842138855466308,0.7190393564782998,200,-0.015421703163345346,0.9737057743221238
gpt-5-mini twin,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.5149135699126282,0.5865053168810769,0.4683690593468941,0.5842138855466308,0.7190393564782998,200,-0.07159174696844872,0.8779350418353239
gpt-5.1 baseline,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.7497360352890855,0.5865053168810769,0.4683690593468941,0.5842138855466308,0.7190393564782998,200,0.16323071840800862,1.2783107223580485
gpt-5.1 twin,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.7104643115801805,0.5865053168810769,0.4683690593468941,0.5842138855466308,0.7190393564782998,200,0.12395899469910365,1.2113518686553326
gpt-5-mini baseline,mean_abs_log_sd_ratio,final_round_normalized_efficiency,1.2529159123332334,0.36990464611053314,0.27450533317137815,0.3719266997292434,0.469794237758881,200,0.8830112662227003,3.387132131232661
gpt-5-mini twin,mean_abs_log_sd_ratio,final_round_normalized_efficiency,0.7321604446453979,0.36990464611053314,0.27450533317137815,0.3719266997292434,0.469794237758881,200,0.3622557985348647,1.9793221100191782
gpt-5.1 baseline,mean_abs_log_sd_ratio,final_round_normalized_efficiency,1.9140382768736692,0.36990464611053314,0.27450533317137815,0.3719266997292434,0.469794237758881,200,1.5441336307631361,5.174409937802526
gpt-5.1 twin,mean_abs_log_sd_ratio,final_round_normalized_efficiency,0.7919946372752682,0.36990464611053314,0.27450533317137815,0.3719266997292434,0.469794237758881,200,0.42208999116473506,2.1410778307407585
gpt-5-mini baseline,mean_abs_log_sd_ratio,final_total_contribution_rate,0.7480828018513325,0.2471228694503098,0.19136748000658252,0.24302736249383566,0.3083229612196128,200,0.5009599324010227,3.0271694542691976
gpt-5-mini twin,mean_abs_log_sd_ratio,final_total_contribution_rate,0.49068013868901306,0.2471228694503098,0.19136748000658252,0.24302736249383566,0.3083229612196128,200,0.24355726923870324,1.985571549005004
gpt-5.1 baseline,mean_abs_log_sd_ratio,final_total_contribution_rate,0.7118971149447685,0.2471228694503098,0.19136748000658252,0.24302736249383566,0.3083229612196128,200,0.46477424549445867,2.8807415377147563
gpt-5.1 twin,mean_abs_log_sd_ratio,final_total_contribution_rate,0.6584986971420801,0.2471228694503098,0.19136748000658252,0.24302736249383566,0.3083229612196128,200,0.4113758276917703,2.6646610999897264
gpt-5-mini baseline,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.8013603766621383,0.31756908586887733,0.2405295897537043,0.3124746935412311,0.4006190073472047,200,0.483791290793261,2.5234206108872197
gpt-5-mini twin,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.5844783968799481,0.31756908586887733,0.2405295897537043,0.3124746935412311,0.4006190073472047,200,0.26690931101107074,1.840476365263325
gpt-5.1 baseline,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.7440782282267951,0.31756908586887733,0.2405295897537043,0.3124746935412311,0.4006190073472047,200,0.4265091423579178,2.3430436441600655
gpt-5.1 twin,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.5464571691231102,0.31756908586887733,0.2405295897537043,0.3124746935412311,0.4006190073472047,200,0.22888808325423282,1.7207505183572545
gpt-5-mini baseline,mean_abs_log_sd_ratio,mean_total_contribution_rate,0.5227154618534293,0.29346436189251285,0.2257921778338033,0.289792910694954,0.3714665490022488,200,0.22925109996091647,1.781188892860811
