model_name,score_family,metric,score
gpt-5-mini baseline,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,1.256668310618376
gpt-5-mini twin,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.5428245721783508
gpt-5.1 baseline,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.8846719170773781
gpt-5.1 twin,mean_abs_log_iqr_ratio,final_round_normalized_efficiency,0.8761183302573631
gpt-5-mini baseline,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.9791883167625092
gpt-5-mini twin,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.6004952454090382
gpt-5.1 baseline,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.833052539894639
gpt-5.1 twin,mean_abs_log_iqr_ratio,final_total_contribution_rate,0.9307145601999869
gpt-5-mini baseline,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.7741109006762187
gpt-5-mini twin,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.6567009119086828
gpt-5.1 baseline,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.8901096327770608
gpt-5.1 twin,mean_abs_log_iqr_ratio,mean_round_normalized_efficiency,0.6802297950785405
gpt-5-mini baseline,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6077801564500814
gpt-5-mini twin,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6356168532925554
gpt-5.1 baseline,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.7223575767268019
gpt-5.1 twin,mean_abs_log_iqr_ratio,mean_total_contribution_rate,0.6804631434181392
gpt-5-mini baseline,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.007580233924015
gpt-5-mini twin,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,0.7703243267888775
gpt-5.1 baseline,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.2279168259965823
gpt-5.1 twin,mean_abs_log_iqr_ratio,mean_within_round_contribution_rate_var,1.2061501955164602
gpt-5-mini baseline,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.5928737326648064
gpt-5-mini twin,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.6693923396344464
gpt-5.1 baseline,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.8146072545999496
gpt-5.1 twin,mean_abs_log_iqr_ratio,round_normalized_efficiency_decay_slope,0.7353494660339821
gpt-5-mini baseline,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.5710836137177315
gpt-5-mini twin,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.5149135699126282
gpt-5.1 baseline,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.7497360352890855
gpt-5.1 twin,mean_abs_log_iqr_ratio,total_contribution_rate_decay_slope,0.7104643115801805
gpt-5-mini baseline,mean_abs_log_sd_ratio,final_round_normalized_efficiency,1.2529159123332334
gpt-5-mini twin,mean_abs_log_sd_ratio,final_round_normalized_efficiency,0.7321604446453979
gpt-5.1 baseline,mean_abs_log_sd_ratio,final_round_normalized_efficiency,1.9140382768736692
gpt-5.1 twin,mean_abs_log_sd_ratio,final_round_normalized_efficiency,0.7919946372752682
gpt-5-mini baseline,mean_abs_log_sd_ratio,final_total_contribution_rate,0.7480828018513325
gpt-5-mini twin,mean_abs_log_sd_ratio,final_total_contribution_rate,0.49068013868901306
gpt-5.1 baseline,mean_abs_log_sd_ratio,final_total_contribution_rate,0.7118971149447685
gpt-5.1 twin,mean_abs_log_sd_ratio,final_total_contribution_rate,0.6584986971420801
gpt-5-mini baseline,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.8013603766621383
gpt-5-mini twin,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.5844783968799481
gpt-5.1 baseline,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.7440782282267951
gpt-5.1 twin,mean_abs_log_sd_ratio,mean_round_normalized_efficiency,0.5464571691231102
gpt-5-mini baseline,mean_abs_log_sd_ratio,mean_total_contribution_rate,0.5227154618534293
gpt-5-mini twin,mean_abs_log_sd_ratio,mean_total_contribution_rate,0.3742535520891002
gpt-5.1 baseline,mean_abs_log_sd_ratio,mean_total_contribution_rate,0.5390576723857832
gpt-5.1 twin,mean_abs_log_sd_ratio,mean_total_contribution_rate,0.4980619444850767
gpt-5-mini baseline,mean_abs_log_sd_ratio,mean_within_round_contribution_rate_var,0.8912064457371678
gpt-5-mini twin,mean_abs_log_sd_ratio,mean_within_round_contribution_rate_var,0.57098643742761
gpt-5.1 baseline,mean_abs_log_sd_ratio,mean_within_round_contribution_rate_var,1.1764077655960867
gpt-5.1 twin,mean_abs_log_sd_ratio,mean_within_round_contribution_rate_var,0.9993163531664789
gpt-5-mini baseline,mean_abs_log_sd_ratio,round_normalized_efficiency_decay_slope,0.7819166609434317
gpt-5-mini twin,mean_abs_log_sd_ratio,round_normalized_efficiency_decay_slope,0.725440365115416
gpt-5.1 baseline,mean_abs_log_sd_ratio,round_normalized_efficiency_decay_slope,0.9241640665776412
gpt-5.1 twin,mean_abs_log_sd_ratio,round_normalized_efficiency_decay_slope,0.9002982359502283
gpt-5-mini baseline,mean_abs_log_sd_ratio,total_contribution_rate_decay_slope,0.46153469855423523
gpt-5-mini twin,mean_abs_log_sd_ratio,total_contribution_rate_decay_slope,0.47539991183257496
gpt-5.1 baseline,mean_abs_log_sd_ratio,total_contribution_rate_decay_slope,0.5997032972335512
gpt-5.1 twin,mean_abs_log_sd_ratio,total_contribution_rate_decay_slope,0.6131471289738637
gpt-5-mini baseline,mean_wasserstein_distance,final_round_normalized_efficiency,0.6619579569413097
gpt-5-mini twin,mean_wasserstein_distance,final_round_normalized_efficiency,0.47122518591485585
gpt-5.1 baseline,mean_wasserstein_distance,final_round_normalized_efficiency,0.525916482197462
gpt-5.1 twin,mean_wasserstein_distance,final_round_normalized_efficiency,0.4610493027349369
gpt-5-mini baseline,mean_wasserstein_distance,final_total_contribution_rate,0.5374852668662642
gpt-5-mini twin,mean_wasserstein_distance,final_total_contribution_rate,0.3264931008231355
gpt-5.1 baseline,mean_wasserstein_distance,final_total_contribution_rate,0.3959488634271179
gpt-5.1 twin,mean_wasserstein_distance,final_total_contribution_rate,0.3343241125732891
gpt-5-mini baseline,mean_wasserstein_distance,mean_round_normalized_efficiency,0.35392563460754556
gpt-5-mini twin,mean_wasserstein_distance,mean_round_normalized_efficiency,0.2436109652924535
gpt-5.1 baseline,mean_wasserstein_distance,mean_round_normalized_efficiency,0.24208682824425906
gpt-5.1 twin,mean_wasserstein_distance,mean_round_normalized_efficiency,0.20425837956883935
gpt-5-mini baseline,mean_wasserstein_distance,mean_total_contribution_rate,0.2939994141777877
gpt-5-mini twin,mean_wasserstein_distance,mean_total_contribution_rate,0.17857851203941955
gpt-5.1 baseline,mean_wasserstein_distance,mean_total_contribution_rate,0.1817056689150654
gpt-5.1 twin,mean_wasserstein_distance,mean_total_contribution_rate,0.15350689056185127
gpt-5-mini baseline,mean_wasserstein_distance,mean_within_round_contribution_rate_var,0.04222189604438074
gpt-5-mini twin,mean_wasserstein_distance,mean_within_round_contribution_rate_var,0.03911095454198201
gpt-5.1 baseline,mean_wasserstein_distance,mean_within_round_contribution_rate_var,0.05617562985700013
gpt-5.1 twin,mean_wasserstein_distance,mean_within_round_contribution_rate_var,0.05374814587208597
gpt-5-mini baseline,mean_wasserstein_distance,round_normalized_efficiency_decay_slope,0.5092457174480967
gpt-5-mini twin,mean_wasserstein_distance,round_normalized_efficiency_decay_slope,0.4032403933255445
gpt-5.1 baseline,mean_wasserstein_distance,round_normalized_efficiency_decay_slope,0.5417108881111887
gpt-5.1 twin,mean_wasserstein_distance,round_normalized_efficiency_decay_slope,0.45597661627978014
gpt-5-mini baseline,mean_wasserstein_distance,total_contribution_rate_decay_slope,0.4042766573408164
gpt-5-mini twin,mean_wasserstein_distance,total_contribution_rate_decay_slope,0.2721335485634442
gpt-5.1 baseline,mean_wasserstein_distance,total_contribution_rate_decay_slope,0.4402765078289759
gpt-5.1 twin,mean_wasserstein_distance,total_contribution_rate_decay_slope,0.33146956497377833
gpt-5-mini baseline,rmse_of_config_means,final_round_normalized_efficiency,0.633240939047256
gpt-5-mini twin,rmse_of_config_means,final_round_normalized_efficiency,0.45665758702247106
