fold,model,n_train,n_test,n_train_games,n_test_games,status,pred_true_cosine_mean,retrieved_true_cosine_mean,oracle_true_cosine_mean,retrieval_cosine_regret_mean,oracle_hit_at_1,oracle_hit_at_5,embedding_mse_mean,fit_eval_seconds
1,mean,1459,366,142,36,ok,0.8949201703071594,0.8498855233192444,0.9086705446243286,0.05878501757979393,0.0,0.01366120218579235,0.0001296344998991117,0.0248
1,linear,1459,366,142,36,ok,0.9084307551383972,0.8671830892562866,0.9086705446243286,0.04148748517036438,0.03551912568306011,0.08196721311475409,0.00011379440547898412,0.8719
1,ridge,1459,366,142,36,ok,0.9087417125701904,0.8675025105476379,0.9086705446243286,0.04116807505488396,0.03551912568306011,0.08196721311475409,0.00011341281788190827,0.1598
2,mean,1459,366,142,36,ok,0.8952279686927795,0.8510750532150269,0.908901035785675,0.05782605707645416,0.00273224043715847,0.01912568306010929,0.00012927537318319082,0.0482
2,linear,1459,366,142,36,ok,0.9079027771949768,0.8667972683906555,0.908901035785675,0.04210379719734192,0.00819672131147541,0.0546448087431694,0.00011443346738815308,0.4431
2,ridge,1459,366,142,36,ok,0.9082981944084167,0.8668779134750366,0.908901035785675,0.042023174464702606,0.00819672131147541,0.0546448087431694,0.00011394553439458832,0.1145
3,mean,1461,364,143,35,ok,0.8974105715751648,0.853766143321991,0.9082602858543396,0.05449414625763893,0.0027472527472527475,0.03021978021978022,0.00012673161108978093,0.0531
3,linear,1461,364,143,35,ok,0.9092211723327637,0.8666194081306458,0.9082602858543396,0.041640955954790115,0.019230769230769232,0.06318681318681318,0.00011282676859991625,0.4915
3,ridge,1461,364,143,35,ok,0.9095615148544312,0.8672483563423157,0.9082602858543396,0.041011933237314224,0.019230769230769232,0.06868131868131869,0.00011241742322454229,0.1046
4,mean,1461,364,143,35,ok,0.8962556719779968,0.8485805988311768,0.9096828699111938,0.06110221892595291,0.0,0.005494505494505495,0.00012807718303520232,0.0552
4,linear,1461,364,143,35,ok,0.9090522527694702,0.8640246391296387,0.9096828699111938,0.04565821588039398,0.019230769230769232,0.06593406593406594,0.00011304108920739964,0.5017
4,ridge,1461,364,143,35,ok,0.9091870784759521,0.8643847703933716,0.9096828699111938,0.045298121869564056,0.019230769230769232,0.06593406593406594,0.00011287873348919675,0.0884
5,mean,1460,365,142,36,ok,0.8925091624259949,0.8408129811286926,0.9056396484375,0.06482662260532379,0.0,0.00821917808219178,0.00013244891306385398,0.0523
5,linear,1460,365,142,36,ok,0.9050969481468201,0.8620982766151428,0.9056396484375,0.043541319668293,0.019178082191780823,0.06301369863013699,0.00011772611469496042,0.0633
5,ridge,1460,365,142,36,ok,0.9054639935493469,0.8621299266815186,0.9056396484375,0.043509628623723984,0.01643835616438356,0.06575342465753424,0.000117281342681963,0.0318
