treatment_name,metrics_used,mean_abs_z_score,median_percentile
VALIDATION_7_C,154,3.4657609082602923,0.6818181818181819
VALIDATION_17_C,132,3.204425229981243,0.2727272727272727
VALIDATION_13_T,176,3.099157253971919,0.2727272727272727
VALIDATION_6_C,144,2.620502908447894,0.25
VALIDATION_13_C,150,2.407913251709305,0.3
VALIDATION_6_T,143,1.9094010078998032,0.18181818181818182
VALIDATION_10_T,150,1.8972000879880349,0.6
VALIDATION_17_T,104,1.8709517468430785,0.875
VALIDATION_15_C,143,1.5045766494728339,0.2727272727272727
VALIDATION_12_C,168,1.3835608300558655,0.5833333333333334
VALIDATION_18_C,168,1.3613088966237856,0.5625
VALIDATION_9_T,154,1.3545200907104764,0.36363636363636365
VALIDATION_0_C,140,1.3370006031902286,0.55
VALIDATION_14_C,180,1.3171753098903132,0.4166666666666667
VALIDATION_14_T,160,1.2615543648133996,0.6
VALIDATION_11_T,176,1.2087467446997389,0.36363636363636365
VALIDATION_9_C,143,1.1873570877499215,0.36363636363636365
VALIDATION_7_T,180,1.1802714948593196,0.3333333333333333
VALIDATION_15_T,126,1.177512970981368,0.2222222222222222
VALIDATION_2_C,117,1.13832901969659,0.6666666666666666
VALIDATION_16_C,140,1.075281860596409,0.5
VALIDATION_11_C,150,1.0723505127671729,0.3
VALIDATION_19_T,140,1.0349135314782145,0.4
VALIDATION_1_C,96,1.0307648051823564,0.5
VALIDATION_3_C,135,1.0263640594984405,0.5555555555555556
VALIDATION_8_C,180,0.9936036935498919,0.6666666666666666
VALIDATION_19_C,130,0.976528423374939,0.6
VALIDATION_5_C,135,0.9448804660646379,0.4444444444444444
VALIDATION_8_T,176,0.9311142311219478,0.6363636363636364
VALIDATION_10_C,140,0.9163702439227025,0.4
VALIDATION_16_T,120,0.8727879046338483,0.40625
VALIDATION_3_T,160,0.8546323924503719,0.4
VALIDATION_4_C,180,0.8264041330734301,0.6875
VALIDATION_1_T,104,0.8126055862634785,0.5
VALIDATION_18_T,150,0.7429414355786212,0.5
VALIDATION_5_T,192,0.7424320120089344,0.4583333333333333
VALIDATION_4_T,144,0.68687396807723,0.5555555555555556
VALIDATION_2_T,154,0.6779862296877764,0.6363636363636364
VALIDATION_12_T,180,0.6315038519105816,0.5
VALIDATION_0_T,180,0.5374445487304651,0.47916666666666663
