model_a,model_b,metric,delta_point,delta_bootstrap_mean,ci_low,ci_high,p_le_zero,p_ge_zero,ci_excludes_zero,direction,n_boot,n_groups,split,factor,best_k_oracle,best_k_synthetic
oracle,config_only,r2,0.37380198252517993,0.3908124217512465,-0.1458885553023356,0.9462863397264577,0.061,0.939,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
oracle,config_only,r2_oos_train_mean,0.37217814439436925,0.3642370279291379,-0.13957753170597217,0.8487037284125808,0.061,0.939,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
oracle,config_only,rmse,0.01371536912317868,0.013645348087341498,-0.003677495434085377,0.031298520434315386,0.061,0.939,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
synthetic,config_only,r2,0.09064036861917835,0.10861284447613406,-0.05190557367021081,0.35421917858591123,0.10366666666666667,0.8963333333333333,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
synthetic,config_only,r2_oos_train_mean,0.09024661659635536,0.1000065915755691,-0.04864023275901382,0.30991808904047496,0.10366666666666667,0.8963333333333333,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
synthetic,config_only,rmse,0.0031565893183247012,0.003063545735656747,-0.002019429122342473,0.007435761203278517,0.10366666666666667,0.8963333333333333,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
oracle,synthetic,r2,0.2831616139060016,0.28219957727511247,-0.2649230573610019,0.7550379105882107,0.11766666666666667,0.8823333333333333,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
oracle,synthetic,r2_oos_train_mean,0.2819315277980139,0.2642304363535689,-0.25065726642811376,0.699659443140235,0.11766666666666667,0.8823333333333333,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
oracle,synthetic,rmse,0.01055877980485398,0.010581802351684752,-0.0063856192941480665,0.028850569712486854,0.11766666666666667,0.8823333333333333,False,false_to_true,3000,18,all_or_nothing/false_to_true,all_or_nothing,16,4
oracle,config_only,r2,0.40894292631090423,0.4492520236694515,-0.0039433206119499865,1.1826841045440952,0.026,0.974,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
oracle,config_only,r2_oos_train_mean,0.3873867685814263,0.39773876599675084,-0.003918359754378181,0.9653494033242368,0.026,0.974,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
oracle,config_only,rmse,0.014982617826335143,0.014317724922339408,-0.00011784353591250871,0.026905980889940916,0.026,0.974,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
synthetic,config_only,r2,0.08372343310688657,0.08033220897572718,-0.14371917286756092,0.2794768401624147,0.182,0.818,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
synthetic,config_only,r2_oos_train_mean,0.07931021205918154,0.07142153670622055,-0.12986543851134974,0.24333064309440977,0.182,0.818,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
synthetic,config_only,rmse,0.002849655661447223,0.0027059780718075572,-0.004136264743721234,0.008708689087916905,0.182,0.818,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
oracle,synthetic,r2,0.32521949320401766,0.36891981469372437,-0.08497542584790806,1.0957227805661318,0.06666666666666667,0.9333333333333333,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
oracle,synthetic,r2_oos_train_mean,0.30807655652224475,0.3263172292905303,-0.08232472423518156,0.9288948438067821,0.06666666666666667,0.9333333333333333,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
oracle,synthetic,rmse,0.01213296216488792,0.01161174685053185,-0.0035911197837237233,0.02554328220532405,0.06666666666666667,0.9333333333333333,False,true_to_false,3000,22,all_or_nothing/true_to_false,all_or_nothing,10,4
oracle,config_only,r2,0.744348040291579,0.9272873666640729,0.0023651552065776585,2.443197516369094,0.024333333333333332,0.9756666666666667,True,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
oracle,config_only,r2_oos_train_mean,0.7362539889872739,0.8479543845336026,0.0023166662141984604,2.223174741824016,0.024333333333333332,0.9756666666666667,True,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
oracle,config_only,rmse,0.021729209714548947,0.021685509018327612,0.00011247828188995795,0.0383082244347026,0.024333333333333332,0.9756666666666667,True,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
synthetic,config_only,r2,-0.017641259727777747,-0.0159919951319808,-0.1360493910208426,0.11064324009308296,0.6243333333333333,0.37566666666666665,False,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
synthetic,config_only,r2_oos_train_mean,-0.01744942841556929,-0.014656964003982793,-0.12171118502128243,0.10143981247209971,0.6243333333333333,0.37566666666666665,False,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
synthetic,config_only,rmse,-0.00046394630056241504,-0.00038399298613361194,-0.002624057924896274,0.002119744624532339,0.6243333333333333,0.37566666666666665,False,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
oracle,synthetic,r2,0.7619893000193567,0.9432793617960537,0.0026207979030508587,2.5102080792500656,0.024333333333333332,0.9756666666666667,True,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
oracle,synthetic,r2_oos_train_mean,0.7537034174028432,0.8626113485375854,0.002577599554968449,2.2018302314949443,0.024333333333333332,0.9756666666666667,True,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
oracle,synthetic,rmse,0.022193156015111362,0.022069502004461224,0.00011372137312992669,0.039458535190297295,0.024333333333333332,0.9756666666666667,True,false_to_true,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,16,4
oracle,config_only,r2,0.45215893516724215,0.48179874487788266,0.17470142734460542,0.8683578191498417,0.0016666666666666668,0.9983333333333333,True,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
oracle,config_only,r2_oos_train_mean,0.43666962540460896,0.442390924795429,0.16701270904936594,0.7505579119093931,0.0016666666666666668,0.9983333333333333,True,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
oracle,config_only,rmse,0.020037934357468576,0.01996479405638301,0.007479832324706252,0.03208621558627066,0.0016666666666666668,0.9983333333333333,True,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
synthetic,config_only,r2,0.1206737790505853,0.12600192588356518,-0.037057132846906676,0.2712713642037991,0.05333333333333334,0.9466666666666667,False,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
synthetic,config_only,r2_oos_train_mean,0.11653993716764044,0.11832353752049202,-0.032734572903032964,0.2590182173595958,0.05333333333333334,0.9466666666666667,False,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
synthetic,config_only,rmse,0.004873447514227802,0.005253855449440207,-0.0010393022716188372,0.012217879562096636,0.05333333333333334,0.9466666666666667,False,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
oracle,synthetic,r2,0.33148515611665685,0.3557968189943175,0.0137491026202356,0.8324109384958899,0.022,0.978,True,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
oracle,synthetic,r2_oos_train_mean,0.3201296882369685,0.324067387274937,0.011750948314420018,0.7125855013355922,0.022,0.978,True,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
oracle,synthetic,rmse,0.015164486843240774,0.014710938606942805,0.0005999289794950307,0.02678506109436095,0.022,0.978,True,true_to_false,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,10,16
oracle,config_only,r2,0.13120874982894337,0.1041114347593657,-0.5603478886788512,0.6795627246682798,0.3263333333333333,0.6736666666666666,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
oracle,config_only,r2_oos_train_mean,0.13116839717338236,0.09891113148668046,-0.5293453765626945,0.6404101473224625,0.3263333333333333,0.6736666666666666,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
