model_a,model_b,metric,delta_point,delta_bootstrap_mean,ci_low,ci_high,p_le_zero,p_ge_zero,ci_excludes_zero,direction,n_boot,n_groups,split,factor,best_k_oracle,best_k_synthetic
oracle,config_only,rmse,0.0039381541302518225,0.0033215973851675436,-0.012181811938260897,0.018046518766232426,0.3263333333333333,0.6736666666666666,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
synthetic,config_only,r2,0.390300748505211,0.44462483819995197,-0.20708921970163813,1.3883582449798362,0.114,0.886,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
synthetic,config_only,r2_oos_train_mean,0.3901807132812627,0.42295397821865155,-0.20233863427716592,1.285607789581626,0.114,0.886,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
synthetic,config_only,rmse,0.012175278376526016,0.011822071579846273,-0.00678093105785658,0.030291812488848876,0.114,0.886,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
oracle,synthetic,r2,-0.25909199867626764,-0.3405134034405863,-1.4629989370918626,0.3308937610370357,0.773,0.227,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
oracle,synthetic,r2_oos_train_mean,-0.25901231610788034,-0.32404284673197115,-1.3922575179900947,0.3226528066222441,0.773,0.227,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
oracle,synthetic,rmse,-0.008237124246274194,-0.008500474194678729,-0.03241522272501722,0.012019014605467905,0.773,0.227,False,high_to_low,3000,22,mpcr/high_to_low,mpcr,16,16
oracle,config_only,r2,0.5123321499626007,0.5777351261189491,-0.04113911354876471,1.6606279746625883,0.035333333333333335,0.9646666666666667,False,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
oracle,config_only,r2_oos_train_mean,0.45885666845725714,0.5120210183897759,-0.027101129375831798,1.5608383467184703,0.035333333333333335,0.9646666666666667,False,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
oracle,config_only,rmse,0.018017192632915777,0.017295372528307307,-0.0011154541572380454,0.03767952205680817,0.035333333333333335,0.9646666666666667,False,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
synthetic,config_only,r2,-0.09186100667169028,-0.11897219496999789,-0.6102612058607707,0.30303891899065244,0.728,0.272,False,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
synthetic,config_only,r2_oos_train_mean,-0.08227286826637492,-0.10024433606968164,-0.5364742422557017,0.2592669940846051,0.728,0.272,False,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
synthetic,config_only,rmse,-0.002860526102503022,-0.0033507592442087305,-0.013931458210308533,0.007077670900334389,0.728,0.272,False,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
oracle,synthetic,r2,0.604193156634291,0.6967073210889471,0.11650179680331609,1.6891917581699059,0.008,0.992,True,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
oracle,synthetic,r2_oos_train_mean,0.5411295367236321,0.6122653544594574,0.08455743660549127,1.6141874356957906,0.008,0.992,True,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
oracle,synthetic,rmse,0.0208777187354188,0.02064613177251604,0.0039589867002371255,0.03634954620511611,0.008,0.992,True,low_to_high,3000,18,mpcr/low_to_high,mpcr,4,16
oracle,config_only,r2,0.018968095130508345,0.02781151975805708,-0.1127581961896017,0.2139546073422006,0.3586666666666667,0.6413333333333333,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
oracle,config_only,r2_oos_train_mean,0.011309811965436012,0.01521958346192587,-0.058826113747960644,0.10579965439267658,0.3586666666666667,0.6413333333333333,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
oracle,config_only,rmse,0.0008502144594870198,0.0009598345653747917,-0.0040869395141483675,0.00604749543103662,0.3586666666666667,0.6413333333333333,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
synthetic,config_only,r2,0.07744608382939533,0.08775921484921075,-0.13913964849968838,0.33815576506677264,0.183,0.817,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
synthetic,config_only,r2_oos_train_mean,0.04617757553108559,0.04531824238813571,-0.07234878624951054,0.14891726137273129,0.183,0.817,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
synthetic,config_only,rmse,0.0035575676147957397,0.0037397802659280095,-0.004140349954547913,0.01216893710648668,0.183,0.817,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
oracle,synthetic,r2,-0.058477988698886985,-0.05994769509115366,-0.4084127089524506,0.3020115541904545,0.6793333333333333,0.32066666666666666,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
oracle,synthetic,r2_oos_train_mean,-0.03486776356564958,-0.030098658926209842,-0.1839461664726442,0.15419052997471985,0.6793333333333333,0.32066666666666666,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
oracle,synthetic,rmse,-0.00270735315530872,-0.002779945700553218,-0.014931022651889092,0.009235087391250492,0.6793333333333333,0.32066666666666666,False,high_to_low,3000,18,num_rounds/high_to_low,num_rounds,4,10
oracle,config_only,r2,-1.5147454723773328,-1.6664569966809326,-3.872842876018453,-0.25870140475003556,0.992,0.008,True,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
oracle,config_only,r2_oos_train_mean,-1.3256695581676718,-1.4342198794597332,-3.5587005218806507,-0.1859320534236994,0.992,0.008,True,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
oracle,config_only,rmse,-0.04581095436722342,-0.044573383269397276,-0.08144020971784789,-0.008377616374776402,0.992,0.008,True,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
synthetic,config_only,r2,-0.08480545418919916,-0.14827539398463796,-1.2928767415264668,0.6995536569140416,0.5876666666666667,0.41233333333333333,False,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
synthetic,config_only,r2_oos_train_mean,-0.07421973594597353,-0.09232548062049246,-0.910177128200549,0.6370426897444248,0.5876666666666667,0.41233333333333333,False,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
synthetic,config_only,rmse,-0.003175770231361938,-0.002966873684066069,-0.03212545895100788,0.02831111246100012,0.5876666666666667,0.41233333333333333,False,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
oracle,synthetic,r2,-1.4299400181881337,-1.5181816026962947,-4.166449155353634,0.5553353773722005,0.9333333333333333,0.06666666666666667,False,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
oracle,synthetic,r2_oos_train_mean,-1.2514498222216983,-1.3418943988392407,-3.8780617590230677,0.3325589755728689,0.9333333333333333,0.06666666666666667,False,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
oracle,synthetic,rmse,-0.04263518413586148,-0.04160650958533121,-0.10021611281100662,0.01358393824153175,0.9333333333333333,0.06666666666666667,False,low_to_high,3000,22,num_rounds/low_to_high,num_rounds,4,6
oracle,config_only,r2,0.12496082161538635,0.15990762553990612,-0.20917052992346538,0.7671443704712082,0.2776666666666667,0.7223333333333334,False,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
oracle,config_only,r2_oos_train_mean,0.11871561424422361,0.14929277820578254,-0.16536837253020326,0.705996913343384,0.2776666666666667,0.7223333333333334,False,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
oracle,config_only,rmse,0.003319872031097404,0.003179258041749902,-0.005610787310011555,0.013245110920131024,0.2776666666666667,0.7223333333333334,False,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
synthetic,config_only,r2,0.1701984883991181,0.21825888826781617,0.012880426129165413,0.5873302959333266,0.01633333333333333,0.9836666666666667,True,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
synthetic,config_only,r2_oos_train_mean,0.16169242353358415,0.19378488515464914,0.012028823596165888,0.5142222475747557,0.01633333333333333,0.9836666666666667,True,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
synthetic,config_only,rmse,0.00455829474200066,0.004711940605715054,0.0004497162782860292,0.009016593220190943,0.01633333333333333,0.9836666666666667,True,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
oracle,synthetic,r2,-0.045237666783731756,-0.05835126272791006,-0.5365148294039607,0.46267045123210876,0.6216666666666667,0.37833333333333335,False,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
oracle,synthetic,r2_oos_train_mean,-0.04297680928936054,-0.04449210694886659,-0.451171039700216,0.4220210843841309,0.6216666666666667,0.37833333333333335,False,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
oracle,synthetic,rmse,-0.0012384227109032558,-0.0015326825639651515,-0.011338474785076689,0.009502969343417808,0.6216666666666667,0.37833333333333335,False,high_to_low,3000,20,player_count/high_to_low,player_count,4,6
oracle,config_only,r2,0.19019775695243102,0.20780863230390584,-0.010963179911810225,0.5157759627069477,0.033666666666666664,0.9663333333333334,False,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
oracle,config_only,r2_oos_train_mean,0.16774156440102128,0.1718849591430908,-0.008989372129018283,0.39501011663904406,0.033666666666666664,0.9663333333333334,False,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
oracle,config_only,rmse,0.009745101986581947,0.009528692828923647,-0.0006417782929082913,0.020798855674177576,0.033666666666666664,0.9663333333333334,False,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
synthetic,config_only,r2,0.34531444402262146,0.369218933001545,0.0857155326336837,0.7134845119484707,0.0036666666666666666,0.9963333333333333,True,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
synthetic,config_only,r2_oos_train_mean,0.30454399662089715,0.31439549357739477,0.0616130382466984,0.6279047279434302,0.0036666666666666666,0.9963333333333333,True,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
synthetic,config_only,rmse,0.01866685136401805,0.01867420243655829,0.0044338958839319756,0.03337369929180914,0.0036666666666666666,0.9963333333333333,True,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
oracle,synthetic,r2,-0.15511668707019044,-0.16141030069763915,-0.41529019095529107,0.10449738968361723,0.9033333333333333,0.09666666666666666,False,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
oracle,synthetic,r2_oos_train_mean,-0.13680243221987587,-0.142510534434304,-0.38657946788361897,0.07590418584127714,0.9033333333333333,0.09666666666666666,False,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
oracle,synthetic,rmse,-0.008921749377436103,-0.009145509607634644,-0.022764728172826754,0.004732654464259574,0.9033333333333333,0.09666666666666666,False,low_to_high,3000,20,player_count/low_to_high,player_count,4,12
oracle,config_only,r2,-0.02132341454971054,-0.021426641871212033,-0.47143983361011305,0.4773381782289893,0.5466666666666666,0.4533333333333333,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
oracle,config_only,r2_oos_train_mean,-0.021259823374583986,-0.01793725888228975,-0.43969180622067294,0.44767149495077135,0.5466666666666666,0.4533333333333333,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
oracle,config_only,rmse,-0.0007679153215238849,-0.0005637826590057015,-0.014398363426075558,0.014911506930722157,0.5466666666666666,0.4533333333333333,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
synthetic,config_only,r2,0.026760321730299408,0.027533072068469996,-0.08344614739077663,0.15065013332625873,0.3233333333333333,0.6766666666666666,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
synthetic,config_only,r2_oos_train_mean,0.02668051648608638,0.025855092816862723,-0.08027976168622003,0.1439078567118414,0.3233333333333333,0.6766666666666666,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
synthetic,config_only,rmse,0.0009743053082364034,0.0008684022747578955,-0.0028931631421183325,0.004566247288293172,0.3233333333333333,0.6766666666666666,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
oracle,synthetic,r2,-0.04808373628000995,-0.04895971393968203,-0.5663138884072637,0.4771722570211429,0.5773333333333334,0.4226666666666667,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
oracle,synthetic,r2_oos_train_mean,-0.04794033986067037,-0.04379235169915248,-0.5289519051658781,0.44984560042552796,0.5773333333333334,0.4226666666666667,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
oracle,synthetic,rmse,-0.0017422206297602882,-0.0014321849337635972,-0.01661614305767345,0.015352277472979485,0.5773333333333334,0.4226666666666667,False,false_to_true,3000,22,reward_exists/false_to_true,reward_exists,8,6
oracle,config_only,r2,0.22403721081866945,0.24677649000128687,-0.12663951198800893,0.7473856046704501,0.09133333333333334,0.9086666666666666,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
oracle,config_only,r2_oos_train_mean,0.1996742999644544,0.19553799443154934,-0.1127601888513899,0.5499242133245074,0.09133333333333334,0.9086666666666666,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
oracle,config_only,rmse,0.012010198601975955,0.011440072980597535,-0.005905654849738812,0.02796726237764038,0.09133333333333334,0.9086666666666666,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
synthetic,config_only,r2,-0.16041699613220384,-0.2031140844992847,-0.5863860421879279,0.024079511158584754,0.9483333333333334,0.051666666666666666,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
synthetic,config_only,r2_oos_train_mean,-0.14297246108381378,-0.16324932081299304,-0.43526717553618444,0.02289552512474614,0.9483333333333334,0.051666666666666666,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
synthetic,config_only,rmse,-0.007521242771054773,-0.007326448447606865,-0.014481375534149838,0.0015140330527756436,0.9483333333333334,0.051666666666666666,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
oracle,synthetic,r2,0.3844542069508733,0.44989057450057157,-0.06933951706893925,1.2869428146120112,0.04733333333333333,0.9526666666666667,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
oracle,synthetic,r2_oos_train_mean,0.3426467610482682,0.3587873152445424,-0.061501499891571734,0.930660699272798,0.04733333333333333,0.9526666666666667,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
oracle,synthetic,rmse,0.019531441373030728,0.0187665214282044,-0.0031224120513233377,0.04027912141995347,0.04733333333333333,0.9526666666666667,False,true_to_false,3000,18,reward_exists/true_to_false,reward_exists,12,12
oracle,config_only,r2,0.22066856702141702,0.24470647416728175,-0.03921496430904824,0.6117529639829619,0.052,0.948,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
oracle,config_only,r2_oos_train_mean,0.22017434401116598,0.23353342710390457,-0.03800459747725573,0.572463435644786,0.052,0.948,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
oracle,config_only,rmse,0.008419998523997968,0.008827670788907517,-0.0014902010974664431,0.020132730286937506,0.052,0.948,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
synthetic,config_only,r2,-0.009009105674709916,-0.01610953602230238,-0.27240451083713296,0.24727248990346093,0.557,0.443,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
synthetic,config_only,r2_oos_train_mean,-0.008988928322827272,-0.015978644564052256,-0.2613343725242093,0.23346923378973986,0.557,0.443,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
synthetic,config_only,rmse,-0.0003257537448498188,-0.0007136941133113485,-0.00905591189634856,0.007388077714990643,0.557,0.443,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
oracle,synthetic,r2,0.22967767269612693,0.26081601018958417,-0.13602190060391212,0.7427512862414128,0.11366666666666667,0.8863333333333333,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
oracle,synthetic,r2_oos_train_mean,0.22916327233399325,0.2495120716679568,-0.1344805417231097,0.7068154281719253,0.11366666666666667,0.8863333333333333,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
oracle,synthetic,rmse,0.008745752268847787,0.009541364902218862,-0.004810082395923504,0.025519340623584682,0.11366666666666667,0.8863333333333333,False,false_to_true,3000,28,show_n_rounds/false_to_true,show_n_rounds,12,4
oracle,config_only,r2,0.11265914697631407,0.16364998472165496,-0.33084238455913423,0.9942116234092981,0.318,0.682,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
oracle,config_only,r2_oos_train_mean,0.09635429755077507,0.10644222723547728,-0.30850748271489176,0.6563664795483354,0.318,0.682,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
oracle,config_only,rmse,0.0064716390406527186,0.0054395185900659865,-0.017310159272705086,0.027925771056230498,0.318,0.682,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
synthetic,config_only,r2,0.1026814919463569,0.130827052292387,-0.04306933746867749,0.4518140914409503,0.08333333333333333,0.9166666666666666,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
synthetic,config_only,r2_oos_train_mean,0.087820681174134,0.10129831401845046,-0.02807358557867962,0.3353878228773128,0.08333333333333333,0.9166666666666666,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
synthetic,config_only,rmse,0.005868163725079152,0.00544251609924593,-0.003019889235814881,0.011987945766750299,0.08333333333333333,0.9166666666666666,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
oracle,synthetic,r2,0.009977655029957178,0.03282293242926798,-0.3985799604911708,0.6278992928085468,0.487,0.513,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
oracle,synthetic,r2_oos_train_mean,0.008533616376641073,0.005143913217026805,-0.3648611899849216,0.37566494194263506,0.487,0.513,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
oracle,synthetic,rmse,0.0006034753155735664,-2.9975091799410714e-06,-0.020051672266287093,0.0192390772212663,0.487,0.513,False,true_to_false,3000,12,show_n_rounds/true_to_false,show_n_rounds,4,6
oracle,config_only,r2,0.24859271955192686,0.26885810542884153,-0.18789966774304115,0.866662750826735,0.13,0.87,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
oracle,config_only,r2_oos_train_mean,0.18717699987618874,0.17528880163747176,-0.1547612539017719,0.49013283327497303,0.13,0.87,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
oracle,config_only,rmse,0.009705880397557654,0.00957014040136587,-0.006428228012966409,0.02712394145345822,0.13,0.87,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
synthetic,config_only,r2,0.025118529152634128,0.021587566150274927,-0.45769130122788604,0.6404393062317543,0.509,0.491,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
synthetic,config_only,r2_oos_train_mean,0.018912906768013826,0.016105133994791968,-0.29673652283189816,0.4243870844338823,0.509,0.491,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
synthetic,config_only,rmse,0.0009309500669450049,0.0008175422110778143,-0.014077284613618868,0.02088631330289221,0.509,0.491,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
oracle,synthetic,r2,0.22347419039929273,0.24727053927856657,-0.22704478118179405,0.7827381942460141,0.136,0.864,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
oracle,synthetic,r2_oos_train_mean,0.16826409310817492,0.1591836676426798,-0.18442397058275667,0.4310662799448026,0.136,0.864,False,false_to_true,3000,26,show_other_summaries/false_to_true,show_other_summaries,8,10
