method,metric,point,bootstrap_mean,ci_low,ci_high,n_boot,n_groups,split,factor,direction,best_k_oracle,best_k_synthetic
config_only,r2,-0.5360052253140479,-0.7613183984506574,-2.379362577376491,0.14283022514974253,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
config_only,r2_oos_train_mean,-0.5293326447216713,-0.6362489498698739,-1.9798500803943038,0.17687857477760582,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
config_only,rmse,0.10538177609546985,0.10409764541321952,0.07640543091553588,0.13060935674834445,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
synthetic,r2,-0.4453648566948696,-0.6527055539745232,-2.102995844807173,0.17964213678603697,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
synthetic,r2_oos_train_mean,-0.43908602812531594,-0.5362423582943048,-1.7864137675724419,0.21254348347411378,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
synthetic,rmse,0.10222518677714515,0.10103409967756276,0.07403501870926422,0.12621573480650977,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
oracle,r2,-0.162203242788868,-0.37050597669941077,-2.1055642918275157,0.45212260656969755,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
oracle,r2_oos_train_mean,-0.15715450032730205,-0.27201192194073587,-1.7503326125103493,0.4803270817256987,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
oracle,rmse,0.09166640697229117,0.09045229732587802,0.06503579093059679,0.11989475967942251,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
noise_ceiling,r2,0.3725250114875456,0.2572484025780242,-0.7882005577141521,0.7953947940970373,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
noise_ceiling,r2_oos_train_mean,0.3752508338750924,0.3120139558582517,-0.6491396317612975,0.80234015452626,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
noise_ceiling,rmse,0.0673546179312949,0.06568328298916784,0.040981794545567996,0.0962056355544165,3000,18,all_or_nothing/false_to_true,all_or_nothing,false_to_true,16,4
config_only,r2,-0.2975579698439912,-0.39720266743827143,-1.8501094473514452,0.38851862405360515,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
config_only,r2_oos_train_mean,-0.22916122677419293,-0.24804792778031293,-1.3301774421976993,0.410077676800575,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
config_only,rmse,0.0868801731159312,0.08478879735565022,0.055546803093542894,0.11573914879033693,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
synthetic,r2,-0.21383453673710462,-0.3168704584625442,-1.7215395627874668,0.44236454730231783,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
synthetic,r2_oos_train_mean,-0.1498510147150114,-0.17662639107409236,-1.2297537431860543,0.4594710502934922,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
