method,metric,point,bootstrap_mean,ci_low,ci_high,n_boot,n_groups,split,factor,direction,best_k_oracle,best_k_synthetic
synthetic,rmse,0.08403051745448398,0.08208281928384266,0.054780612482593784,0.11087431765029028,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
oracle,r2,0.11138495646691304,0.05204935623118018,-0.8363434870126993,0.49389811445666165,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
oracle,r2_oos_train_mean,0.15822554180723336,0.14969083821643797,-0.5044396102483877,0.5183111701338637,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
oracle,rmse,0.07189755528959606,0.07047107243331081,0.04689713876056328,0.09531503105273129,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
noise_ceiling,r2,0.5800176927550063,0.5344980673155578,0.17839208632101314,0.7494896979374421,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
noise_ceiling,r2_oos_train_mean,0.6021557572038344,0.5809516109903563,0.288599467197212,0.7584375303894902,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
noise_ceiling,rmse,0.049427971818401056,0.049161648804248774,0.039041427531654946,0.060289511334499134,3000,22,all_or_nothing/true_to_false,all_or_nothing,true_to_false,10,4
config_only,r2,-1.1197666748304362,-1.4946511427587272,-4.3520473998780815,0.06979534815596525,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
config_only,r2_oos_train_mean,-1.0967163014963273,-1.2907667829630287,-3.652487612728911,0.11354483178616706,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
config_only,rmse,0.11172669433148907,0.10992581044401499,0.07519807870053824,0.1445764920535515,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
synthetic,r2,-1.137407934558214,-1.510643137890708,-4.371264099805102,0.07967626969798994,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
synthetic,r2_oos_train_mean,-1.1141657299118966,-1.3054237469670118,-3.657494610468525,0.11477312581602098,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
synthetic,rmse,0.11219064063205149,0.1103098034301486,0.07516664446092815,0.14605132765685827,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
oracle,r2,-0.37541863453885727,-0.5673637760946543,-2.0401337454178656,0.32969395438115984,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
oracle,r2_oos_train_mean,-0.36046231250905336,-0.44281239842942616,-1.6889728158239672,0.35795101640561827,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
oracle,rmse,0.08999748461694013,0.08824030142568737,0.05911367854928671,0.11708957007693781,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
noise_ceiling,r2,0.7352955554335678,0.6821754982735655,0.32320306205064525,0.8553288169256534,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
noise_ceiling,r2_oos_train_mean,0.738173955373949,0.7052152346982454,0.3761519457429415,0.8715703727853823,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
noise_ceiling,rmse,0.03948149016425319,0.039190878710324215,0.031040542114541263,0.04689646489276495,3000,16,default_contrib_prop/false_to_true,default_contrib_prop,false_to_true,16,4
config_only,r2,-0.11953037506260245,-0.22245105453245195,-1.2070742654783615,0.36049803284010784,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
config_only,r2_oos_train_mean,-0.08117936301944195,-0.1203576116771424,-0.9376734888732451,0.38821111496940364,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
config_only,rmse,0.08791896987822918,0.08699966904891532,0.06467341195976214,0.1092557029602709,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
synthetic,r2,0.0011434039879828495,-0.0964491286488868,-1.1345201097717006,0.5340961893859261,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
synthetic,r2_oos_train_mean,0.03536057414819849,-0.0020340741566503904,-0.8798642637589729,0.5406648375748132,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
synthetic,rmse,0.08304552236400138,0.08174581359947511,0.05621175277277676,0.10773932749543447,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
oracle,r2,0.3326285601046397,0.2593476903454307,-0.46484622609154846,0.6787284785013527,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
oracle,r2_oos_train_mean,0.355490262385167,0.3220333131182866,-0.2852957317617167,0.695210055556963,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
oracle,rmse,0.06788103552076061,0.06703487499253231,0.0478322363477657,0.08601900112543567,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
noise_ceiling,r2,0.33335460039912446,0.27199618655286206,-0.46272643759463,0.6939774775394343,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
noise_ceiling,r2_oos_train_mean,0.3561914311972,0.3355794556422385,-0.2357732984336156,0.6989559785600481,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
noise_ceiling,rmse,0.06784410123228804,0.06661088575061766,0.04724660425004911,0.09078905732332783,3000,24,default_contrib_prop/true_to_false,default_contrib_prop,true_to_false,10,16
config_only,r2,-0.879680226339123,-1.0475396644124046,-2.940813660648478,-0.05654157968679573,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
config_only,r2_oos_train_mean,-0.8791021392158378,-0.9457800556234542,-2.5522321244155988,0.019553033697315245,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
config_only,rmse,0.11083031860733879,0.10907509782620209,0.07811605299300622,0.1477254177472426,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
synthetic,r2,-0.489379477833912,-0.6029148262124526,-1.770486991061977,0.07578003773181931,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
synthetic,r2_oos_train_mean,-0.4889214259345751,-0.5228260774048027,-1.450152185361396,0.15325033105238053,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
synthetic,rmse,0.09865504023081277,0.09725302624635582,0.06850564893418433,0.12607419016775098,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
oracle,r2,-0.7484714765101796,-0.9434282296530391,-2.674062483379829,0.062221450370900294,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
oracle,r2_oos_train_mean,-0.7479337420424554,-0.8468689241367738,-2.324872627884021,0.10824196465275947,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
oracle,rmse,0.10689216447708697,0.10575350044103456,0.07790173139097462,0.13643380997344057,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
noise_ceiling,r2,0.4450928929613588,0.38341419845132363,-0.4259469369760664,0.8133746646698505,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
noise_ceiling,r2_oos_train_mean,0.4452635521238607,0.41422681127879696,-0.32138612593578597,0.8199161667493307,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
noise_ceiling,rmse,0.06021805706275356,0.05872597318190521,0.03533003012489494,0.08767624626770042,3000,22,mpcr/high_to_low,mpcr,high_to_low,16,16
config_only,r2,-0.41805695034911317,-0.6337788479149369,-2.3834179949335685,0.23402519557229312,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
config_only,r2_oos_train_mean,-0.2700450049198573,-0.4016634236479351,-2.146632863584438,0.39811725903893014,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
config_only,rmse,0.08972361640018486,0.08839215999212519,0.06630428256319493,0.11647564705582951,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
synthetic,r2,-0.5099179570208034,-0.7527510428849349,-2.5175994293550623,0.13288455525084966,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
synthetic,r2_oos_train_mean,-0.3523178731862322,-0.5019077597176167,-2.216286904249613,0.3281721918037555,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
synthetic,rmse,0.09258414250268789,0.09174291923633392,0.07322568463487779,0.11220733746028538,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
oracle,r2,0.09427519961348751,-0.05604372179598774,-1.0856333436773908,0.491996097642966,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
oracle,r2_oos_train_mean,0.18881166353739987,0.11035759474184063,-0.7791077801885415,0.5665174213705119,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
oracle,rmse,0.07170642376726909,0.07109678746381788,0.05587980760358877,0.085102899626495,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
noise_ceiling,r2,0.4555859174300223,0.35410752182418065,-0.2639760699020095,0.7169031411624914,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
noise_ceiling,r2_oos_train_mean,0.5124100015829387,0.45946457220345116,-0.03207903122292206,0.7482026916207597,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
noise_ceiling,rmse,0.05559357579630947,0.05546817479828394,0.0446118677370527,0.06690385678663843,3000,18,mpcr/low_to_high,mpcr,low_to_high,4,16
config_only,r2,0.3670725060731874,0.23678593988750518,-0.6097456410000107,0.6296458508171936,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
config_only,r2_oos_train_mean,0.622614137328235,0.5872260192370049,0.19468162404777048,0.8004568595108497,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
config_only,rmse,0.05631157988021085,0.05600929258979941,0.04528253902602373,0.06551806549402883,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
synthetic,r2,0.44451858990258275,0.3245451547367159,-0.600926764966589,0.7065733890348828,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
synthetic,r2_oos_train_mean,0.6687917128593206,0.6325442616251405,0.22559720933893754,0.8590406991782483,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
synthetic,rmse,0.05275401226541511,0.052269512323871385,0.03906663481388118,0.06441894363824129,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
oracle,r2,0.38604060120369577,0.2645974596455622,-0.5476088080351095,0.6498741433875986,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
oracle,r2_oos_train_mean,0.633923949293671,0.6024456026989308,0.22309285274808935,0.8053238640892699,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
oracle,rmse,0.05546136542072383,0.05504945802442461,0.0433145730786653,0.06580525409415834,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
noise_ceiling,r2,0.5879412325309796,0.4998235510631898,-0.07913830636730836,0.7656514711707323,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
noise_ceiling,r2_oos_train_mean,0.7543081080773177,0.7311676501332549,0.5071358923272172,0.8673334290992977,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
noise_ceiling,rmse,0.04543602302044915,0.045323199038332054,0.0371739057219604,0.05449608551609184,3000,18,num_rounds/high_to_low,num_rounds,high_to_low,4,10
config_only,r2,-0.15283089350896528,-0.24159585485291776,-0.8474476808417785,0.19054312619756736,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
config_only,r2_oos_train_mean,-0.008930443503164076,-0.017478220330212093,-0.4440059677890736,0.2978404642388508,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
config_only,rmse,0.08790146868625583,0.08689196671529553,0.06397716892747353,0.10859125513826097,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
synthetic,r2,-0.23763634769816444,-0.3898712488375557,-1.9590958042528106,0.456343579759569,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
synthetic,r2_oos_train_mean,-0.0831501794491376,-0.10980370095070456,-0.9024451282550987,0.5028626118605466,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
synthetic,rmse,0.09107723891761776,0.08985884039936161,0.05740179830668834,0.12425434172211654,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
oracle,r2,-1.667576365886298,-1.9080528515338502,-4.386431499154089,-0.4468914831519774,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
oracle,r2_oos_train_mean,-1.334600001670836,-1.4516980997899451,-3.905265522275862,-0.05437884839930233,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
oracle,rmse,0.13371242305347925,0.1314653499846928,0.09237047310016124,0.1765683816861542,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
noise_ceiling,r2,0.333689198694638,0.25991707937144765,-0.4623304801453459,0.7052994026698486,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
noise_ceiling,r2_oos_train_mean,0.41686048139658083,0.3753450191876061,-0.32779875262776703,0.787162629584582,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
noise_ceiling,rmse,0.06682696767683652,0.06577557092455508,0.044073243707515954,0.0921573865891899,3000,22,num_rounds/low_to_high,num_rounds,low_to_high,4,6
config_only,r2,-0.5153352961930497,-0.7923430601767325,-2.655865594685422,0.28474745724316947,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
config_only,r2_oos_train_mean,-0.4396028943151604,-0.5842033060260803,-2.1662275859219644,0.3272481821737187,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
config_only,rmse,0.07882109887999582,0.07834190983848177,0.05504609508178377,0.10031321284846693,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
synthetic,r2,-0.34513680779393163,-0.5740841719089164,-2.202041606340368,0.37516904274847296,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
synthetic,r2_oos_train_mean,-0.27791047078157627,-0.3904184208714312,-1.752654604011113,0.4103972091801731,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
synthetic,rmse,0.07426280413799516,0.07362996923276671,0.049590602963288356,0.09627262334205385,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
oracle,r2,-0.3903744745776634,-0.6324354346368264,-2.157212872474874,0.2576213685403231,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
oracle,r2_oos_train_mean,-0.3208872800709368,-0.43491052782029765,-1.6686602618126467,0.29176198662671265,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
oracle,rmse,0.07550122684889841,0.07516265179673187,0.05494756368184628,0.09389850201657177,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
noise_ceiling,r2,0.3833222743125133,0.3030247589801577,-0.20324084473280435,0.5639082010696113,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
noise_ceiling,r2_oos_train_mean,0.41414217632907513,0.38053501036030335,-0.004968178714340575,0.6319646763909363,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
noise_ceiling,rmse,0.050282544506124904,0.04977933296391554,0.040799375244038094,0.06020155051103641,3000,20,player_count/high_to_low,player_count,high_to_low,4,6
config_only,r2,0.06796580969806154,-0.003545496225647776,-0.6193144910034393,0.41316334154269396,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
config_only,r2_oos_train_mean,0.17800884899190728,0.14886780733012261,-0.43373364437925654,0.5781953711024802,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
config_only,rmse,0.09035840052729593,0.08940010201929799,0.06625558573927737,0.11128160551146783,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
synthetic,r2,0.413280253720683,0.36567343677589725,-0.10737059772144833,0.6856139492876696,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
synthetic,r2_oos_train_mean,0.4825528456128044,0.4632633009075174,0.02806789986384804,0.7646413551668769,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
synthetic,rmse,0.07169154916327788,0.07072589958273971,0.05014812257838946,0.09076195645229336,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
oracle,r2,0.25816356665049256,0.20426313607825808,-0.23297989360561186,0.5039510968890635,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
oracle,r2_oos_train_mean,0.34575041339292856,0.32075276647321344,-0.16339449647799786,0.666308383480206,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
oracle,rmse,0.08061329854071399,0.07987140919037435,0.05841183423369207,0.10027098080898239,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
noise_ceiling,r2,0.5157452367808282,0.45957706598297376,-0.2628513484428689,0.8509247729525051,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
noise_ceiling,r2_oos_train_mean,0.5729200341129904,0.5615664743370697,0.06912450738784308,0.8659128742413329,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
noise_ceiling,rmse,0.06513127249549117,0.06299358747091245,0.039630138133647526,0.09142554863064108,3000,20,player_count/low_to_high,player_count,low_to_high,4,12
config_only,r2,-0.10188643467351799,-0.17402842690927528,-0.9262997369544355,0.3846911587553788,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
config_only,r2_oos_train_mean,-0.09860036371740688,-0.11532832570707442,-0.8118285167178348,0.4152951810903666,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
config_only,rmse,0.07974609343452452,0.07850822143413168,0.05422228202198402,0.10230493386347463,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
synthetic,r2,-0.07512611294321858,-0.1464953548408053,-0.8540520589685622,0.3909982297633722,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
synthetic,r2_oos_train_mean,-0.0719198472313205,-0.08947323289021172,-0.7451463578485239,0.41874389704657805,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
synthetic,rmse,0.07877178812628811,0.07763981915937378,0.05478989519100606,0.10022434598597851,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
oracle,r2,-0.12320984922322853,-0.19545506878048732,-1.0343276532462613,0.4645099428760987,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
oracle,r2_oos_train_mean,-0.11986018709199087,-0.13326558458936416,-0.8768966261649903,0.4841103196872505,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
oracle,rmse,0.0805140087560484,0.07907200409313737,0.05072601867461294,0.10701300936203344,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
noise_ceiling,r2,0.31895574050176434,0.25028030878148994,-0.6170798242719338,0.7392214442311035,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
noise_ceiling,r2_oos_train_mean,0.32098676628676404,0.2860651851083975,-0.5376733370578176,0.7514838788849539,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
noise_ceiling,rmse,0.06269438799768015,0.06134532989165487,0.039480954574178974,0.08949051090291579,3000,22,reward_exists/false_to_true,reward_exists,false_to_true,8,6
config_only,r2,0.24777958642207576,0.13017780186245378,-0.8271079741523426,0.6214557812520324,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
config_only,r2_oos_train_mean,0.3295797427967798,0.2854162749211947,-0.3678659872454831,0.6578073796256351,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
config_only,rmse,0.0741155921087192,0.07302246633910237,0.05013341023757919,0.09580280773237777,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
synthetic,r2,0.08736259028987192,-0.07293628263683093,-1.3621612282942284,0.6012087677923963,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
synthetic,r2_oos_train_mean,0.18660728171296603,0.12216695410820164,-0.7835712543640447,0.6358086830317364,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
synthetic,rmse,0.08163683487977397,0.08034891478670923,0.05435140197685145,0.10811177526382962,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
oracle,r2,0.4718167972407452,0.3769542918637407,-0.26091906402813136,0.7230899369327224,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
oracle,r2_oos_train_mean,0.5292540427612342,0.48095426935274393,-0.05497668227578527,0.7600541464800453,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
oracle,rmse,0.06210539350674324,0.061582393358504836,0.04634377850899808,0.07617024612424803,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
noise_ceiling,r2,0.6277137925283223,0.553281096936243,0.0805438030049932,0.8168003117539071,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
noise_ceiling,r2_oos_train_mean,0.6681980301768051,0.6344792485592535,0.2959920765494354,0.8327490254685233,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
noise_ceiling,rmse,0.05214053684086593,0.05188937323583323,0.040170864127801735,0.06451254409443952,3000,18,reward_exists/true_to_false,reward_exists,true_to_false,12,12
config_only,r2,-0.15001521773880722,-0.2364946919104836,-1.2178593015687247,0.37679813171405147,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
config_only,r2_oos_train_mean,-0.14743957232443283,-0.18417372084256306,-1.0433747298071248,0.3981004232267099,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
config_only,rmse,0.08332769833886607,0.08238638654618906,0.06068889048221526,0.10738499659497183,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
synthetic,r2,-0.15902432341351713,-0.252604227932786,-1.1103821984173066,0.32312454772912513,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
synthetic,r2_oos_train_mean,-0.1564285006472601,-0.2001523654066153,-0.9625463912568458,0.3385618540265925,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
synthetic,rmse,0.08365345208371588,0.0831000806595004,0.06415855717705979,0.1035333528970604,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
oracle,r2,0.0706533492826098,0.008211782256798151,-0.8383220801368914,0.5447544248318629,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
oracle,r2_oos_train_mean,0.07273477168673315,0.0493597062613415,-0.7520213501906912,0.5590556284959218,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
oracle,rmse,0.0749076998148681,0.07355871575728154,0.05220268411714712,0.09965560320379106,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
noise_ceiling,r2,0.3386613066341019,0.28433919680486,-0.36237140300050125,0.690252049014669,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
noise_ceiling,r2_oos_train_mean,0.34014248179304063,0.31498896700386914,-0.25943331700179656,0.7007050959475554,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
noise_ceiling,rmse,0.06319017510995006,0.06248750948440317,0.0436131038006139,0.084400692211259,3000,28,show_n_rounds/false_to_true,show_n_rounds,false_to_true,12,4
config_only,r2,0.4337164747724265,0.27117791254900653,-1.0225270312322368,0.8228708101242717,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
config_only,r2_oos_train_mean,0.5156731366042457,0.44611220939174967,-0.46592697871033834,0.8628076787562021,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
config_only,rmse,0.06164457163929355,0.06007597351710028,0.035726323488982824,0.08597323911316654,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
synthetic,r2,0.5363979667187834,0.4020049648413935,-0.6151967589762704,0.8348454603078649,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
synthetic,r2_oos_train_mean,0.6034938177783797,0.5474105234102001,-0.15675419567199572,0.8678845253451404,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
synthetic,rmse,0.0557764079142144,0.054633457417854345,0.03509343542552252,0.07525510087763433,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
oracle,r2,0.5463756217487405,0.4348278972706615,-0.2972697808558107,0.7525529675431095,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
oracle,r2_oos_train_mean,0.6120274341550208,0.5525544366272268,-0.05273168954697576,0.8342407943048695,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
oracle,rmse,0.05517293259864083,0.054636454927034284,0.040775842211783424,0.06738330023279121,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
noise_ceiling,r2,0.7068730470285037,0.6158268075449007,0.09397269506831027,0.8729055162033444,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
noise_ceiling,r2_oos_train_mean,0.7492965071650528,0.7047378295252101,0.2808746634106228,0.893562029519313,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
noise_ceiling,rmse,0.04435123854519628,0.044065950770159616,0.03465055991504755,0.053406105714421705,3000,12,show_n_rounds/true_to_false,show_n_rounds,true_to_false,4,6
