tag,model_name,mean_accuracy,mean_macro_f1,mean_log_loss,n_splits
COMMUNICATION,config_plus_tag,0.5366092725033754,0.39632752951700145,2.2947561707518744,16
COMMUNICATION,config_only,0.5190459853956911,0.365644023738176,2.30905278720033,16
COMMUNICATION,tag_only,0.37207584404761007,0.2430968175669533,2.5760020042278637,16
COMMUNICATION,dummy_prior,0.3691283029160856,0.13215114379023604,2.591582953992193,16
PUNISHMENT,config_plus_tag,0.5594364112415833,0.4094834354438282,2.401787559624004,16
PUNISHMENT,config_only,0.5494137526977516,0.39113184604701107,2.4132702698590647,16
PUNISHMENT,tag_only,0.36558602687499014,0.24256477061595436,2.724675832677721,16
PUNISHMENT,dummy_prior,0.2919496115714288,0.1097374688982696,2.7442067458097497,16
RESPONSE_TO_END_GAME,config_plus_tag,0.6660033236944093,0.5027908784292556,2.2255545017027014,16
RESPONSE_TO_END_GAME,config_only,0.5691372316325659,0.38396476191700296,2.4496382599366995,16
RESPONSE_TO_END_GAME,tag_only,0.4951427797391329,0.35247879848201596,2.553816035205753,16
RESPONSE_TO_END_GAME,dummy_prior,0.30651955811549975,0.11382172106744809,2.7933357509145518,16
RESPONSE_TO_OTHERS_OUTCOME,config_plus_tag,0.5982056928163924,0.4281606731203091,2.4452514942028496,16
RESPONSE_TO_OTHERS_OUTCOME,config_only,0.5857484259805337,0.4013570813607123,2.4946360816066475,16
RESPONSE_TO_OTHERS_OUTCOME,tag_only,0.3746368900217611,0.2505356253108027,2.8075236303077173,16
RESPONSE_TO_OTHERS_OUTCOME,dummy_prior,0.3303817482907491,0.11995945119415859,2.858987418964407,16
RESPONSE_TO_PUNISHER,config_plus_tag,0.6064425181031832,0.4552257730174258,2.859173653368041,12
RESPONSE_TO_PUNISHER,config_only,0.5172773902543043,0.3603346191938774,3.0025550562738044,12
RESPONSE_TO_PUNISHER,tag_only,0.48552391082733776,0.3407306335335975,3.155157199162561,12
RESPONSE_TO_PUNISHER,dummy_prior,0.27980393151616195,0.10485757501068048,3.317641371573903,12
RESPONSE_TO_REWARDER,config_plus_tag,0.5284503464030724,0.3688052751346351,2.9868474342768376,12
RESPONSE_TO_REWARDER,config_only,0.5191470531983103,0.352767416211828,2.9843944605562123,12
RESPONSE_TO_REWARDER,tag_only,0.3247925570025139,0.2209961218880564,3.27833712339107,12
RESPONSE_TO_REWARDER,dummy_prior,0.27619948947750145,0.1041328325862031,3.2868798340786793,12
REWARD,config_plus_tag,0.5390968171143672,0.38618418585740116,2.4358232091752705,16
REWARD,config_only,0.541714099510164,0.3817980708757335,2.434205244174881,16
REWARD,tag_only,0.3284336941334126,0.21168544425466326,2.779724306323776,16
REWARD,dummy_prior,0.28627919236440375,0.10826004912244017,2.767197305374679,16
