tag,n_player_game_rows,n_games,n_clusters
RESPONSE_TO_END_GAME,1816,176,7
RESPONSE_TO_OTHERS_OUTCOME,1772,170,7
COMMUNICATION,1759,164,7
PUNISHMENT,1696,164,7
REWARD,1678,161,7
RESPONSE_TO_PUNISHER,865,84,7
RESPONSE_TO_REWARDER,863,85,7
