tag,mean_accuracy_config_only,mean_accuracy_config_plus_tag,mean_accuracy_dummy_prior,mean_accuracy_tag_only,mean_macro_f1_config_only,mean_macro_f1_config_plus_tag,mean_macro_f1_dummy_prior,mean_macro_f1_tag_only,mean_log_loss_config_only,mean_log_loss_config_plus_tag,mean_log_loss_dummy_prior,mean_log_loss_tag_only,mean_macro_f1_gain_vs_config,mean_log_loss_improvement_vs_config
RESPONSE_TO_END_GAME,0.5691372316325659,0.6660033236944093,0.30651955811549975,0.4951427797391329,0.38396476191700296,0.5027908784292556,0.11382172106744809,0.35247879848201596,2.4496382599366995,2.2255545017027014,2.7933357509145518,2.553816035205753,0.11882611651225267,0.22408375823399806
RESPONSE_TO_PUNISHER,0.5172773902543043,0.6064425181031832,0.27980393151616195,0.48552391082733776,0.3603346191938774,0.4552257730174258,0.10485757501068048,0.3407306335335975,3.0025550562738044,2.859173653368041,3.317641371573903,3.155157199162561,0.0948911538235484,0.14338140290576318
COMMUNICATION,0.5190459853956911,0.5366092725033754,0.3691283029160856,0.37207584404761007,0.365644023738176,0.39632752951700145,0.13215114379023604,0.2430968175669533,2.30905278720033,2.2947561707518744,2.591582953992193,2.5760020042278637,0.03068350577882545,0.014296616448455701
RESPONSE_TO_OTHERS_OUTCOME,0.5857484259805337,0.5982056928163924,0.3303817482907491,0.3746368900217611,0.4013570813607123,0.4281606731203091,0.11995945119415859,0.2505356253108027,2.4946360816066475,2.4452514942028496,2.858987418964407,2.8075236303077173,0.02680359175959679,0.04938458740379792
PUNISHMENT,0.5494137526977516,0.5594364112415833,0.2919496115714288,0.36558602687499014,0.39113184604701107,0.4094834354438282,0.1097374688982696,0.24256477061595436,2.4132702698590647,2.401787559624004,2.7442067458097497,2.724675832677721,0.018351589396817136,0.011482710235060534
RESPONSE_TO_REWARDER,0.5191470531983103,0.5284503464030724,0.27619948947750145,0.3247925570025139,0.352767416211828,0.3688052751346351,0.1041328325862031,0.2209961218880564,2.9843944605562123,2.9868474342768376,3.2868798340786793,3.27833712339107,0.016037858922807124,-0.002452973720625362
REWARD,0.541714099510164,0.5390968171143672,0.28627919236440375,0.3284336941334126,0.3817980708757335,0.38618418585740116,0.10826004912244017,0.21168544425466326,2.434205244174881,2.4358232091752705,2.767197305374679,2.779724306323776,0.004386114981667688,-0.0016179650003893542
