tag,heldout_config,heldout_value,model_name,accuracy,macro_f1,log_loss,n_train_rows,n_test_rows,n_train_games,n_test_games,train_class_counts,test_class_counts
COMMUNICATION,CONFIG_punishmentExists,False,dummy_prior,0.3574610244988864,0.13166529942575883,1.2061533727146323,861,898,80,84,"{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}","{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}"
COMMUNICATION,CONFIG_punishmentExists,False,config_only,0.5601336302895323,0.33296729857655083,0.8587450091867085,861,898,80,84,"{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}","{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}"
COMMUNICATION,CONFIG_punishmentExists,False,tag_only,0.3585746102449889,0.19608780661905334,1.177265546449244,861,898,80,84,"{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}","{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}"
COMMUNICATION,CONFIG_punishmentExists,False,config_plus_tag,0.6124721603563474,0.44576041519201026,0.828589665914982,861,898,80,84,"{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}","{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}"
COMMUNICATION,CONFIG_punishmentExists,True,dummy_prior,0.445993031358885,0.15421686746987953,1.1479804153606556,898,861,84,80,"{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}","{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}"
COMMUNICATION,CONFIG_punishmentExists,True,config_only,0.5772357723577236,0.4257066924578965,0.8259524503476338,898,861,84,80,"{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}","{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}"
COMMUNICATION,CONFIG_punishmentExists,True,tag_only,0.4343786295005807,0.28994305991815517,1.1331401275991757,898,861,84,80,"{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}","{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}"
COMMUNICATION,CONFIG_punishmentExists,True,config_plus_tag,0.6016260162601627,0.45096119017392944,0.8116181151344266,898,861,84,80,"{""always_full"": 321, ""always_zero"": 24, ""binary_0_20"": 255, ""other"": 298}","{""always_full"": 384, ""always_zero"": 14, ""binary_0_20"": 205, ""other"": 258}"
COMMUNICATION,CONFIG_showRewardId,False,dummy_prior,0.39937106918238996,0.14269662921348314,1.1686646661206532,805,954,76,88,"{""always_full"": 324, ""always_zero"": 16, ""binary_0_20"": 210, ""other"": 255}","{""always_full"": 381, ""always_zero"": 22, ""binary_0_20"": 250, ""other"": 301}"
COMMUNICATION,CONFIG_showRewardId,False,config_only,0.5943396226415094,0.4425531969983519,0.8479518664332264,805,954,76,88,"{""always_full"": 324, ""always_zero"": 16, ""binary_0_20"": 210, ""other"": 255}","{""always_full"": 381, ""always_zero"": 22, ""binary_0_20"": 250, ""other"": 301}"
COMMUNICATION,CONFIG_showRewardId,False,tag_only,0.4171907756813417,0.2873563537547944,1.1497492359078532,805,954,76,88,"{""always_full"": 324, ""always_zero"": 16, ""binary_0_20"": 210, ""other"": 255}","{""always_full"": 381, ""always_zero"": 22, ""binary_0_20"": 250, ""other"": 301}"
