config,metric,rmse,noise_ceiling,n_samples
VALIDATION_18_T,mean_contribution_rate,0.26847228858098426,0.24695391436927303,12
VALIDATION_18_T,punishment_rate,0.06485507246376812,0.08010032959939907,12
VALIDATION_18_T,reward_rate,0.0,0.0,12
VALIDATION_18_T,normalized_efficiency,0.29740942028985506,0.24506475754195853,12
VALIDATION_19_C,mean_contribution_rate,0.020043103448275867,0.16705376111081227,12
VALIDATION_19_C,punishment_rate,0.0,0.0,12
VALIDATION_19_C,reward_rate,0.7205459770114943,0.19168384480741524,12
VALIDATION_19_C,normalized_efficiency,0.31472701149425286,0.16820640816007845,12
VALIDATION_19_T,mean_contribution_rate,0.35966235632183907,0.16610778070475388,12
VALIDATION_19_T,punishment_rate,0.3793103448275862,0.07208291950925823,12
VALIDATION_19_T,reward_rate,0.5919540229885059,0.11735084758754462,12
VALIDATION_19_T,normalized_efficiency,0.9393588362068965,0.23231923978277552,12
VALIDATION_1_C,mean_contribution_rate,0.03663194444444451,0.2506598761369985,12
VALIDATION_1_C,punishment_rate,0.0,0.0,12
VALIDATION_1_C,reward_rate,0.0,0.0,12
VALIDATION_1_C,normalized_efficiency,0.03663194444444451,0.2506598761369985,12
VALIDATION_1_T,mean_contribution_rate,0.32734375,0.2190478812585371,12
VALIDATION_1_T,punishment_rate,0.6527777777777779,0.1901497440290704,12
VALIDATION_1_T,reward_rate,0.0,0.0,12
VALIDATION_1_T,normalized_efficiency,1.1244791666666667,0.42146456372063146,12
VALIDATION_2_C,mean_contribution_rate,0.14987049549549547,0.13232873496418768,12
VALIDATION_2_C,punishment_rate,0.0,0.0,12
VALIDATION_2_C,reward_rate,0.7270833333333333,0.22533732429897677,12
VALIDATION_2_C,normalized_efficiency,0.114128787878788,0.13232873496418768,12
VALIDATION_2_T,mean_contribution_rate,0.0323958333333334,0.17279899987453312,12
VALIDATION_2_T,punishment_rate,0.5916666666666667,0.1355287997274216,12
VALIDATION_2_T,reward_rate,0.30833333333333335,0.116963907063485,12
VALIDATION_2_T,normalized_efficiency,0.3342708333333334,0.18505566656965608,12
VALIDATION_3_C,mean_contribution_rate,0.22074814439946022,0.17190879546411353,10
VALIDATION_3_C,punishment_rate,0.0,0.0,10
VALIDATION_3_C,reward_rate,0.7826923076923077,0.16734207329226594,10
VALIDATION_3_C,normalized_efficiency,0.047076465201465245,0.252749740524997,10
VALIDATION_3_T,mean_contribution_rate,0.07950174825174827,0.1425482911475572,11
VALIDATION_3_T,punishment_rate,0.09149184149184149,0.10187306938653687,11
VALIDATION_3_T,reward_rate,0.7622377622377623,0.09708002061985455,11
VALIDATION_3_T,normalized_efficiency,0.14060730935730936,0.18645571497127056,11
VALIDATION_4_C,mean_contribution_rate,0.3348214285714286,0.13911103974002575,12
VALIDATION_4_C,punishment_rate,0.0,0.0,12
VALIDATION_4_C,reward_rate,0.6696428571428572,0.19087105648599956,12
VALIDATION_4_C,normalized_efficiency,0.3348214285714286,0.13911103974002575,12
VALIDATION_4_T,mean_contribution_rate,0.2589285714285715,0.15152288168283162,10
VALIDATION_4_T,punishment_rate,0.20714285714285713,0.09762812094883318,10
VALIDATION_4_T,reward_rate,0.3160714285714286,0.10775124886818278,10
VALIDATION_4_T,normalized_efficiency,0.3557477678571429,0.18025935650241443,10
VALIDATION_5_C,mean_contribution_rate,0.36458333333333337,0.2523758633247024,12
VALIDATION_5_C,punishment_rate,0.0,0.0,12
VALIDATION_5_C,reward_rate,0.6006944444444444,0.2531390504407107,12
VALIDATION_5_C,normalized_efficiency,1.0017361111111112,0.4409369062119587,12
VALIDATION_5_T,mean_contribution_rate,0.26736111111111116,0.21140672833178847,12
VALIDATION_5_T,punishment_rate,0.09375,0.1008141051455415,12
VALIDATION_5_T,reward_rate,0.5798611111111112,0.1819855233524814,12
VALIDATION_5_T,normalized_efficiency,0.7936921296296298,0.31172247129024233,12
VALIDATION_6_C,mean_contribution_rate,0.40338541666666666,0.10850205754116886,12
VALIDATION_6_C,punishment_rate,0.0,0.0,12
VALIDATION_6_C,reward_rate,0.0,0.0,12
VALIDATION_6_C,normalized_efficiency,0.40338541666666666,0.10850205754116886,12
VALIDATION_6_T,mean_contribution_rate,0.6036297680248794,0.1306691227195971,12
VALIDATION_6_T,punishment_rate,0.3894230769230769,0.1147820806376281,12
VALIDATION_6_T,reward_rate,0.0,0.0,12
VALIDATION_6_T,normalized_efficiency,0.8455328525641025,0.14490998435593483,12
VALIDATION_7_C,mean_contribution_rate,0.2214912280701754,0.13172616033775678,12
VALIDATION_7_C,punishment_rate,0.0,0.0,12
VALIDATION_7_C,reward_rate,0.0,0.0,12
VALIDATION_7_C,normalized_efficiency,0.2214912280701754,0.13172616033775678,12
VALIDATION_7_T,mean_contribution_rate,0.3595833333333333,0.10674810370521763,12
VALIDATION_7_T,punishment_rate,0.43991228070175437,0.12855217517441891,12
VALIDATION_7_T,reward_rate,0.0,0.0,12
VALIDATION_7_T,normalized_efficiency,0.5722478070175439,0.14899007250531843,12
VALIDATION_8_C,mean_contribution_rate,0.16874999999999996,0.141931941175783,12
VALIDATION_8_C,punishment_rate,0.0,0.0,12
VALIDATION_8_C,reward_rate,0.7083333333333333,0.15774745405000762,12
VALIDATION_8_C,normalized_efficiency,0.5802083333333333,0.1566736797008618,12
VALIDATION_8_T,mean_contribution_rate,0.079513888888889,0.1423945590788037,12
VALIDATION_8_T,punishment_rate,0.2361111111111111,0.08216777476527244,12
VALIDATION_8_T,reward_rate,0.0625,0.16710013077105507,12
VALIDATION_8_T,normalized_efficiency,0.2328703703703704,0.17777909643367046,12
VALIDATION_9_C,mean_contribution_rate,0.08061728395061729,0.12233415500534517,12
VALIDATION_9_C,punishment_rate,0.0,0.0,12
VALIDATION_9_C,reward_rate,0.6098765432098765,0.1275613960798962,12
VALIDATION_9_C,normalized_efficiency,0.1539963420210333,0.12918694893405622,12
VALIDATION_9_T,mean_contribution_rate,0.23935444350202628,0.13623017663969475,12
VALIDATION_9_T,punishment_rate,0.624074074074074,0.11515779119290186,12
VALIDATION_9_T,reward_rate,0.37222222222222223,0.06722162704222452,12
VALIDATION_9_T,normalized_efficiency,1.0765363511659807,0.1273668239318995,12
