tag,ami_mpcr_raw,ami_mpcr_quintile,n_rows,n_raw_values,n_quintiles
RESPONSE_TO_REWARDER,0.151847964908123,0.03444081116077623,858,38,5
RESPONSE_TO_PUNISHER,0.10538669932438577,0.02357397931556052,847,52,5
RESPONSE_TO_OTHERS_OUTCOME,0.08637547701537732,0.016732907681545537,1825,49,5
REWARD,0.06350873004471319,0.01306908553918325,1815,49,5
PUNISHMENT,0.049382583380160106,0.009076741078719672,1812,58,5
CONTRIBUTION,0.04861618412617554,0.012037582901971463,3691,58,5
RESPONSE_TO_END_GAME,0.04416766508745443,0.008191949441101836,1886,45,5
COMMUNICATION,0.03811442211090123,0.006012543441630493,1734,41,5
