tag,config_column,n_rows,n_values,ami
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_showNRounds,1825,2,0.007677725768623077
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_defaultContribProp,1825,2,0.0023255571591967394
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_punishmentCost,1825,4,0.0019544905365366195
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_rewardCost,1825,4,0.0019544905365366195
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_showRewardId,1825,2,0.0006373448590572135
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_showPunishmentId,1825,2,0.0006373448590572135
RESPONSE_TO_PUNISHER,CONFIG_MPCR,847,52,0.10538669932438577
RESPONSE_TO_PUNISHER,CONFIG_chat,847,2,0.08858810242398343
RESPONSE_TO_PUNISHER,CONFIG_numRounds,847,30,0.06807259083471874
RESPONSE_TO_PUNISHER,CONFIG_playerCount,847,16,0.03965110230791947
RESPONSE_TO_PUNISHER,CONFIG_punishmentMagnitude,847,13,0.03346897291476699
RESPONSE_TO_PUNISHER,CONFIG_rewardMagnitude,847,6,0.0133993884822773
RESPONSE_TO_PUNISHER,CONFIG_rewardExists,847,2,0.011643249943658108
RESPONSE_TO_PUNISHER,CONFIG_punishmentCost,847,4,0.011368073180849052
RESPONSE_TO_PUNISHER,CONFIG_rewardCost,847,4,0.011368073180849052
RESPONSE_TO_PUNISHER,CONFIG_allOrNothing,847,2,0.007518580438836197
RESPONSE_TO_PUNISHER,CONFIG_showNRounds,847,2,0.0044580295172986775
RESPONSE_TO_PUNISHER,CONFIG_defaultContribProp,847,2,0.00442272423139037
RESPONSE_TO_PUNISHER,CONFIG_showOtherSummaries,847,2,0.00026795351365816074
RESPONSE_TO_REWARDER,CONFIG_chat,858,2,0.15653208276072297
RESPONSE_TO_REWARDER,CONFIG_MPCR,858,38,0.151847964908123
RESPONSE_TO_REWARDER,CONFIG_numRounds,858,24,0.11131561427344777
RESPONSE_TO_REWARDER,CONFIG_playerCount,858,16,0.07783641650355422
RESPONSE_TO_REWARDER,CONFIG_punishmentMagnitude,858,12,0.051220835059691015
RESPONSE_TO_REWARDER,CONFIG_rewardMagnitude,858,6,0.038682066599787485
RESPONSE_TO_REWARDER,CONFIG_punishmentExists,858,2,0.036236176392482305
RESPONSE_TO_REWARDER,CONFIG_showOtherSummaries,858,2,0.020346640653546525
RESPONSE_TO_REWARDER,CONFIG_allOrNothing,858,2,0.019478853040799965
RESPONSE_TO_REWARDER,CONFIG_punishmentCost,858,4,0.0157415487117413
RESPONSE_TO_REWARDER,CONFIG_rewardCost,858,4,0.0157415487117413
RESPONSE_TO_REWARDER,CONFIG_defaultContribProp,858,2,0.004278429502272781
RESPONSE_TO_REWARDER,CONFIG_showNRounds,858,2,0.00011691357730395808
REWARD,CONFIG_punishmentExists,1815,2,0.08365160051105451
REWARD,CONFIG_chat,1815,2,0.06666918542859589
REWARD,CONFIG_MPCR,1815,49,0.06350873004471319
REWARD,CONFIG_numRounds,1815,28,0.05213393907762657
REWARD,CONFIG_punishmentMagnitude,1815,16,0.02086541406990734
REWARD,CONFIG_playerCount,1815,19,0.01815025568303106
REWARD,CONFIG_rewardMagnitude,1815,6,0.014496344042387187
REWARD,CONFIG_showOtherSummaries,1815,2,0.011649596740870911
REWARD,CONFIG_showNRounds,1815,2,0.008842847268891754
REWARD,CONFIG_punishmentCost,1815,4,0.004402267067217042
REWARD,CONFIG_rewardCost,1815,4,0.004402267067217042
REWARD,CONFIG_showRewardId,1815,2,0.00418132210848009
REWARD,CONFIG_showPunishmentId,1815,2,0.00418132210848009
REWARD,CONFIG_defaultContribProp,1815,2,0.002798832158250213
REWARD,CONFIG_allOrNothing,1815,2,0.0022473296164292164
