tag,config_column,n_false,n_true,tv_distance,js_bits
RESPONSE_TO_REWARDER,CONFIG_chat,490,368,0.6215283939662821,0.38743770217895396
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_chat,924,901,0.5200714934344236,0.31745429249387397
PUNISHMENT,CONFIG_chat,891,921,0.49350179317606024,0.20307418953237927
RESPONSE_TO_PUNISHER,CONFIG_chat,454,393,0.4676721480534912,0.22852056090350786
REWARD,CONFIG_chat,938,877,0.41734761604909165,0.16739740863014835
RESPONSE_TO_END_GAME,CONFIG_chat,909,977,0.29324744142786846,0.08336293662685287
CONTRIBUTION,CONFIG_chat,1821,1870,0.2773545122706864,0.07581685980733167
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_punishmentExists,914,911,0.8946393099654839,0.7628332146767086
REWARD,CONFIG_punishmentExists,913,902,0.41427350199022256,0.20840686541666592
RESPONSE_TO_END_GAME,CONFIG_punishmentExists,955,931,0.30946513628873973,0.1511346147330712
RESPONSE_TO_REWARDER,CONFIG_punishmentExists,441,417,0.2888627873211635,0.09970514283783186
COMMUNICATION,CONFIG_punishmentExists,904,830,0.20126346092333935,0.03905186163694302
CONTRIBUTION,CONFIG_punishmentExists,1864,1827,0.1736124324921128,0.02729877716449497
