tag,mpcr_bin,cluster_id,proportion,n_in_bin
COMMUNICATION,"(0.059, 0.22]",0,0.049738219895287955,382
COMMUNICATION,"(0.059, 0.22]",1,0.049738219895287955,382
COMMUNICATION,"(0.059, 0.22]",2,0.09947643979057591,382
COMMUNICATION,"(0.059, 0.22]",3,0.06282722513089005,382
COMMUNICATION,"(0.059, 0.22]",4,0.07068062827225131,382
COMMUNICATION,"(0.059, 0.22]",5,0.07853403141361257,382
COMMUNICATION,"(0.059, 0.22]",6,0.049738219895287955,382
COMMUNICATION,"(0.059, 0.22]",7,0.07329842931937172,382
COMMUNICATION,"(0.059, 0.22]",8,0.07329842931937172,382
COMMUNICATION,"(0.059, 0.22]",9,0.09162303664921466,382
COMMUNICATION,"(0.059, 0.22]",10,0.05235602094240838,382
COMMUNICATION,"(0.059, 0.22]",11,0.05759162303664921,382
COMMUNICATION,"(0.059, 0.22]",12,0.0549738219895288,382
COMMUNICATION,"(0.059, 0.22]",13,0.08376963350785341,382
COMMUNICATION,"(0.059, 0.22]",14,0.05235602094240838,382
COMMUNICATION,"(0.22, 0.36]",0,0.03142857142857143,350
COMMUNICATION,"(0.22, 0.36]",1,0.07142857142857142,350
COMMUNICATION,"(0.22, 0.36]",2,0.045714285714285714,350
COMMUNICATION,"(0.22, 0.36]",3,0.04285714285714286,350
COMMUNICATION,"(0.22, 0.36]",4,0.09714285714285714,350
COMMUNICATION,"(0.22, 0.36]",5,0.04857142857142857,350
COMMUNICATION,"(0.22, 0.36]",6,0.08857142857142856,350
COMMUNICATION,"(0.22, 0.36]",7,0.05714285714285714,350
COMMUNICATION,"(0.22, 0.36]",8,0.06,350
COMMUNICATION,"(0.22, 0.36]",9,0.05142857142857143,350
COMMUNICATION,"(0.22, 0.36]",10,0.045714285714285714,350
COMMUNICATION,"(0.22, 0.36]",11,0.09428571428571429,350
COMMUNICATION,"(0.22, 0.36]",12,0.10857142857142857,350
COMMUNICATION,"(0.22, 0.36]",13,0.07428571428571429,350
COMMUNICATION,"(0.22, 0.36]",14,0.08285714285714285,350
COMMUNICATION,"(0.36, 0.46]",0,0.06868131868131869,364
COMMUNICATION,"(0.36, 0.46]",1,0.046703296703296704,364
COMMUNICATION,"(0.36, 0.46]",2,0.07692307692307693,364
COMMUNICATION,"(0.36, 0.46]",3,0.06318681318681318,364
COMMUNICATION,"(0.36, 0.46]",4,0.046703296703296704,364
COMMUNICATION,"(0.36, 0.46]",5,0.06318681318681318,364
COMMUNICATION,"(0.36, 0.46]",6,0.054945054945054944,364
COMMUNICATION,"(0.36, 0.46]",7,0.06868131868131869,364
COMMUNICATION,"(0.36, 0.46]",8,0.04395604395604396,364
COMMUNICATION,"(0.36, 0.46]",9,0.07417582417582418,364
COMMUNICATION,"(0.36, 0.46]",10,0.054945054945054944,364
COMMUNICATION,"(0.36, 0.46]",11,0.07967032967032966,364
COMMUNICATION,"(0.36, 0.46]",12,0.06593406593406594,364
COMMUNICATION,"(0.36, 0.46]",13,0.07967032967032966,364
COMMUNICATION,"(0.36, 0.46]",14,0.11263736263736264,364
COMMUNICATION,"(0.46, 0.61]",0,0.0529595015576324,321
COMMUNICATION,"(0.46, 0.61]",1,0.0778816199376947,321
COMMUNICATION,"(0.46, 0.61]",2,0.08411214953271028,321
COMMUNICATION,"(0.46, 0.61]",3,0.040498442367601244,321
COMMUNICATION,"(0.46, 0.61]",4,0.0529595015576324,321
COMMUNICATION,"(0.46, 0.61]",5,0.04672897196261682,321
COMMUNICATION,"(0.46, 0.61]",6,0.10903426791277258,321
COMMUNICATION,"(0.46, 0.61]",7,0.09968847352024922,321
COMMUNICATION,"(0.46, 0.61]",8,0.06230529595015576,321
COMMUNICATION,"(0.46, 0.61]",9,0.06542056074766354,321
COMMUNICATION,"(0.46, 0.61]",10,0.024922118380062305,321
COMMUNICATION,"(0.46, 0.61]",11,0.06853582554517133,321
COMMUNICATION,"(0.46, 0.61]",12,0.06542056074766354,321
COMMUNICATION,"(0.46, 0.61]",13,0.09657320872274143,321
COMMUNICATION,"(0.46, 0.61]",14,0.0529595015576324,321
COMMUNICATION,"(0.61, 0.7]",0,0.05993690851735016,317
COMMUNICATION,"(0.61, 0.7]",1,0.07570977917981073,317
COMMUNICATION,"(0.61, 0.7]",2,0.0946372239747634,317
COMMUNICATION,"(0.61, 0.7]",3,0.08201892744479496,317
COMMUNICATION,"(0.61, 0.7]",4,0.06309148264984227,317
COMMUNICATION,"(0.61, 0.7]",5,0.06309148264984227,317
COMMUNICATION,"(0.61, 0.7]",6,0.07570977917981073,317
COMMUNICATION,"(0.61, 0.7]",7,0.08201892744479496,317
COMMUNICATION,"(0.61, 0.7]",8,0.0473186119873817,317
COMMUNICATION,"(0.61, 0.7]",9,0.04100946372239748,317
COMMUNICATION,"(0.61, 0.7]",10,0.0694006309148265,317
COMMUNICATION,"(0.61, 0.7]",11,0.0473186119873817,317
COMMUNICATION,"(0.61, 0.7]",12,0.056782334384858045,317
COMMUNICATION,"(0.61, 0.7]",13,0.08201892744479496,317
COMMUNICATION,"(0.61, 0.7]",14,0.05993690851735016,317
CONTRIBUTION,"(0.059, 0.22]",0,0.08564231738035265,794
CONTRIBUTION,"(0.059, 0.22]",1,0.12720403022670027,794
CONTRIBUTION,"(0.059, 0.22]",2,0.08438287153652393,794
CONTRIBUTION,"(0.059, 0.22]",3,0.036523929471032744,794
CONTRIBUTION,"(0.059, 0.22]",4,0.07556675062972293,794
CONTRIBUTION,"(0.059, 0.22]",5,0.09697732997481108,794
CONTRIBUTION,"(0.059, 0.22]",6,0.06423173803526448,794
CONTRIBUTION,"(0.059, 0.22]",7,0.04534005037783375,794
CONTRIBUTION,"(0.059, 0.22]",8,0.05919395465994962,794
CONTRIBUTION,"(0.059, 0.22]",9,0.05163727959697733,794
CONTRIBUTION,"(0.059, 0.22]",10,0.05163727959697733,794
CONTRIBUTION,"(0.059, 0.22]",11,0.05793450881612091,794
CONTRIBUTION,"(0.059, 0.22]",12,0.06675062972292191,794
CONTRIBUTION,"(0.059, 0.22]",13,0.037783375314861464,794
CONTRIBUTION,"(0.059, 0.22]",14,0.05919395465994962,794
CONTRIBUTION,"(0.22, 0.34]",0,0.08146067415730338,712
CONTRIBUTION,"(0.22, 0.34]",1,0.1151685393258427,712
CONTRIBUTION,"(0.22, 0.34]",2,0.07162921348314606,712
CONTRIBUTION,"(0.22, 0.34]",3,0.042134831460674156,712
CONTRIBUTION,"(0.22, 0.34]",4,0.12219101123595505,712
CONTRIBUTION,"(0.22, 0.34]",5,0.07443820224719101,712
CONTRIBUTION,"(0.22, 0.34]",6,0.060393258426966294,712
CONTRIBUTION,"(0.22, 0.34]",7,0.06460674157303371,712
CONTRIBUTION,"(0.22, 0.34]",8,0.056179775280898875,712
CONTRIBUTION,"(0.22, 0.34]",9,0.06601123595505617,712
CONTRIBUTION,"(0.22, 0.34]",10,0.054775280898876406,712
CONTRIBUTION,"(0.22, 0.34]",11,0.032303370786516857,712
CONTRIBUTION,"(0.22, 0.34]",12,0.03932584269662921,712
CONTRIBUTION,"(0.22, 0.34]",13,0.060393258426966294,712
CONTRIBUTION,"(0.22, 0.34]",14,0.05898876404494382,712
CONTRIBUTION,"(0.34, 0.46]",0,0.04432855280312908,767
CONTRIBUTION,"(0.34, 0.46]",1,0.05867014341590613,767
CONTRIBUTION,"(0.34, 0.46]",2,0.07301173402868318,767
CONTRIBUTION,"(0.34, 0.46]",3,0.048239895697522815,767
CONTRIBUTION,"(0.34, 0.46]",4,0.05345501955671447,767
CONTRIBUTION,"(0.34, 0.46]",5,0.07301173402868318,767
CONTRIBUTION,"(0.34, 0.46]",6,0.06388526727509779,767
CONTRIBUTION,"(0.34, 0.46]",7,0.05997392438070404,767
CONTRIBUTION,"(0.34, 0.46]",8,0.054758800521512385,767
CONTRIBUTION,"(0.34, 0.46]",9,0.09126466753585398,767
CONTRIBUTION,"(0.34, 0.46]",10,0.061277705345501955,767
CONTRIBUTION,"(0.34, 0.46]",11,0.0651890482398957,767
CONTRIBUTION,"(0.34, 0.46]",12,0.08083441981747067,767
CONTRIBUTION,"(0.34, 0.46]",13,0.07170795306388526,767
CONTRIBUTION,"(0.34, 0.46]",14,0.10039113428943937,767
CONTRIBUTION,"(0.46, 0.58]",0,0.03918722786647315,689
CONTRIBUTION,"(0.46, 0.58]",1,0.059506531204644414,689
CONTRIBUTION,"(0.46, 0.58]",2,0.04644412191582003,689
CONTRIBUTION,"(0.46, 0.58]",3,0.033381712626995644,689
CONTRIBUTION,"(0.46, 0.58]",4,0.08563134978229318,689
CONTRIBUTION,"(0.46, 0.58]",5,0.0841799709724238,689
CONTRIBUTION,"(0.46, 0.58]",6,0.08853410740203194,689
CONTRIBUTION,"(0.46, 0.58]",7,0.07692307692307693,689
CONTRIBUTION,"(0.46, 0.58]",8,0.04934687953555878,689
CONTRIBUTION,"(0.46, 0.58]",9,0.05224963715529753,689
CONTRIBUTION,"(0.46, 0.58]",10,0.09579100145137881,689
CONTRIBUTION,"(0.46, 0.58]",11,0.06966618287373004,689
CONTRIBUTION,"(0.46, 0.58]",12,0.03193033381712627,689
CONTRIBUTION,"(0.46, 0.58]",13,0.08272859216255443,689
CONTRIBUTION,"(0.46, 0.58]",14,0.10449927431059507,689
CONTRIBUTION,"(0.58, 0.7]",0,0.056241426611796985,729
CONTRIBUTION,"(0.58, 0.7]",1,0.04801097393689986,729
CONTRIBUTION,"(0.58, 0.7]",2,0.038408779149519894,729
CONTRIBUTION,"(0.58, 0.7]",3,0.03155006858710562,729
CONTRIBUTION,"(0.58, 0.7]",4,0.06172839506172839,729
CONTRIBUTION,"(0.58, 0.7]",5,0.06584362139917696,729
CONTRIBUTION,"(0.58, 0.7]",6,0.0850480109739369,729
CONTRIBUTION,"(0.58, 0.7]",7,0.07681755829903979,729
CONTRIBUTION,"(0.58, 0.7]",8,0.05898491083676269,729
CONTRIBUTION,"(0.58, 0.7]",9,0.09327846364883402,729
CONTRIBUTION,"(0.58, 0.7]",10,0.0850480109739369,729
CONTRIBUTION,"(0.58, 0.7]",11,0.08367626886145405,729
CONTRIBUTION,"(0.58, 0.7]",12,0.06858710562414266,729
CONTRIBUTION,"(0.58, 0.7]",13,0.05212620027434842,729
CONTRIBUTION,"(0.58, 0.7]",14,0.09465020576131687,729
PUNISHMENT,"(0.059, 0.22]",0,0.0654911838790932,397
PUNISHMENT,"(0.059, 0.22]",1,0.05037783375314862,397
PUNISHMENT,"(0.059, 0.22]",2,0.08816120906801007,397
PUNISHMENT,"(0.059, 0.22]",3,0.09319899244332494,397
PUNISHMENT,"(0.059, 0.22]",4,0.07556675062972293,397
PUNISHMENT,"(0.059, 0.22]",5,0.07052896725440806,397
PUNISHMENT,"(0.059, 0.22]",6,0.04785894206549118,397
PUNISHMENT,"(0.059, 0.22]",7,0.07808564231738035,397
PUNISHMENT,"(0.059, 0.22]",8,0.0654911838790932,397
PUNISHMENT,"(0.059, 0.22]",9,0.05793450881612091,397
PUNISHMENT,"(0.059, 0.22]",10,0.05289672544080604,397
PUNISHMENT,"(0.059, 0.22]",11,0.07052896725440806,397
PUNISHMENT,"(0.059, 0.22]",12,0.04534005037783375,397
PUNISHMENT,"(0.059, 0.22]",13,0.05793450881612091,397
PUNISHMENT,"(0.059, 0.22]",14,0.08060453400503778,397
PUNISHMENT,"(0.22, 0.348]",0,0.08536585365853659,328
PUNISHMENT,"(0.22, 0.348]",1,0.06097560975609756,328
PUNISHMENT,"(0.22, 0.348]",2,0.07621951219512195,328
PUNISHMENT,"(0.22, 0.348]",3,0.06097560975609756,328
PUNISHMENT,"(0.22, 0.348]",4,0.10365853658536585,328
PUNISHMENT,"(0.22, 0.348]",5,0.0975609756097561,328
PUNISHMENT,"(0.22, 0.348]",6,0.03048780487804878,328
PUNISHMENT,"(0.22, 0.348]",7,0.03048780487804878,328
PUNISHMENT,"(0.22, 0.348]",8,0.04878048780487805,328
PUNISHMENT,"(0.22, 0.348]",9,0.054878048780487805,328
PUNISHMENT,"(0.22, 0.348]",10,0.042682926829268296,328
PUNISHMENT,"(0.22, 0.348]",11,0.051829268292682924,328
PUNISHMENT,"(0.22, 0.348]",12,0.06097560975609756,328
PUNISHMENT,"(0.22, 0.348]",13,0.10365853658536585,328
PUNISHMENT,"(0.22, 0.348]",14,0.09146341463414634,328
PUNISHMENT,"(0.348, 0.46]",0,0.07957559681697612,377
PUNISHMENT,"(0.348, 0.46]",1,0.07957559681697612,377
