tag,config_column,n_rows,n_values_after_grouping,n_clusters,mi_bits,nmi_by_hc,js_weighted_bits,tv_weighted,cramers_v,chi2_pvalue,chi2_dof
RESPONSE_TO_REWARDER,CONFIG_MPCR,858,33,15,1.0333142369535926,0.2676189477039654,0.2854400200211298,0.4664015083595504,0.33109517739075434,2.3151983189998347e-86,448
RESPONSE_TO_PUNISHER,CONFIG_MPCR,847,42,15,0.9671761284237554,0.24858000547074804,0.2715821956406705,0.44628796126059195,0.31151827375936764,6.632566480867922e-41,574
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_punishmentExists,1825,2,15,0.7629623275385324,0.19572369401257553,0.22809501838904267,0.447318446237568,0.9043069158709547,2.02231906677076e-310,14
RESPONSE_TO_REWARDER,CONFIG_numRounds,858,24,15,0.7273429147397105,0.18837517039970708,0.19739051285133613,0.3791492113170435,0.28082835124640976,7.437706968409495e-63,322
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_MPCR,1825,48,15,0.66991431700253,0.17185396980039588,0.18768489748341896,0.35910016888722096,0.2558129722854642,1.6376508850641466e-89,658
RESPONSE_TO_PUNISHER,CONFIG_numRounds,847,30,15,0.6574319964761092,0.16897072257874604,0.18608540106924049,0.36076491931380844,0.24861610640311219,4.158870065049416e-21,406
PUNISHMENT,CONFIG_MPCR,1812,56,15,0.5662288954486476,0.14622250706382317,0.15794938044606388,0.3370115954953244,0.23236611981790375,3.0911960680043964e-36,770
REWARD,CONFIG_MPCR,1815,48,15,0.5691654167824031,0.14738585658465886,0.15767945557681576,0.3345782391913121,0.23552036216455105,8.782382282954503e-57,658
RESPONSE_TO_REWARDER,CONFIG_playerCount,858,16,15,0.471342022262902,0.12207327790096242,0.13027679049966204,0.3054808439423824,0.2132243848708851,9.464466328453546e-32,210
RESPONSE_TO_OTHERS_OUTCOME,CONFIG_numRounds,1825,29,15,0.4565261957289927,0.11711324428016909,0.1266784989060179,0.3070741977857009,0.2065429084338252,4.899085798693978e-67,392
RESPONSE_TO_END_GAME,CONFIG_MPCR,1886,45,15,0.45491625739382174,0.11693519974804148,0.12436534869878128,0.3006253029241528,0.21126836940169852,1.0556991873521576e-37,616
COMMUNICATION,CONFIG_MPCR,1734,37,15,0.3936528383722407,0.10113869819544741,0.10958151169380152,0.27100403225270026,0.19180207706334687,4.295205975056147e-24,504
RESPONSE_TO_REWARDER,CONFIG_chat,858,2,15,0.38934967833996426,0.1008380098520778,0.10926148223680768,0.304481066718829,0.6839433999817826,6.57431844992183e-77,14
CONTRIBUTION,CONFIG_MPCR,3691,58,15,0.3933509383546164,0.10126198840844335,0.10624505659968536,0.27816583735096784,0.19731617145271707,5.850324617532442e-106,798
PUNISHMENT,CONFIG_numRounds,1812,30,15,0.38045416976884644,0.09824818721483176,0.1045846521561825,0.2767748368736264,0.18893028680188614,4.0378760724812285e-40,406
CONTRIBUTION,CONFIG_numRounds,3691,30,15,0.38627142655876495,0.0994394798759668,0.10399082559870339,0.27986342110360785,0.19465321922485498,3.73362309698155e-201,406
