benchmark_id,gameId,benchmark_game_count,human_normalized_efficiency,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR,human_mean_contribution_rate,human_punishment_rate,human_reward_rate,human_games_in_benchmark,human_var_players_contrib_rate,human_var_players_punishment_rate,human_var_players_reward_rate,sim_mean_contribution_rate,sim_punishment_rate,sim_reward_rate,sim_normalized_efficiency,sim_games_in_benchmark,run_id,label
VALIDATION_0_C,4HwmGmWXPq5jBJust,10,0.7146143352176106,10,6,True,True,True,0,False,2,1.0,False,2,0.5,True,True,True,0.62,0.665,0.0,0.0,10,0.08375000000000002,0.0,0.0,0.59,0.0,0.0,0.6306837606837606,10,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_0_T,24hqfcDGXxLrMr7JY,12,0.7867881048463663,10,6,True,True,True,0,True,2,1.0,False,2,0.5,True,True,True,0.62,0.7930555555555555,0.19166666666666668,0.0,12,0.07905092592592593,0.04430555555555555,0.0,0.5,0.9791666666666666,0.0,0.3821759259259259,12,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_10_C,65crAkEscRbHNJXbW,10,0.6926024758484293,3,6,True,False,True,0,False,4,3.0,False,4,0.75,True,False,False,0.63,0.68,0.0,0.0,10,0.02297222222222222,0.0,0.0,0.39722222222222225,0.0,0.0,0.39722222222222225,10,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_10_T,3EG5RaDj4z7hkT2JD,10,0.5381979720980418,3,6,True,False,True,0,True,4,3.0,False,4,0.75,True,False,False,0.63,0.6827777777777778,0.13333333333333333,0.0,10,0.05108487654320987,0.016666666666666666,0.0,0.2375,0.7277777777777777,0.0,-0.6415123456790124,10,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_11_C,GqAf4oMK2S8jxx46u,10,0.7699955654954321,12,26,True,True,True,1,False,1,2.0,True,1,1.0,False,False,False,0.24,0.7282051282051282,0.0,0.191025641025641,10,0.10001643655489809,0.0,0.04539160092044708,0.6256410256410256,0.0,0.8221153846153847,0.6587596613912403,10,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_11_T,925LF9k9CXpz8KjQm,11,0.7881518926869776,12,26,True,True,True,1,True,1,2.0,True,1,1.0,False,False,False,0.24,0.7867132867132867,0.10693473193473194,0.09236596736596736,11,0.08225561831331062,0.027778711672942446,0.02717354760623991,0.4959207459207459,0.9163752913752913,0.8461538461538463,0.3544489800470662,11,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_12_C,43EgdreyndHorgfGv,12,0.7487540827375337,6,12,False,True,True,0,False,2,2.5,False,2,1.5,True,True,True,0.62,0.7314814814814815,0.0,0.0,12,0.06963734567901235,0.0,0.0,0.40972222222222215,0.0,0.0,0.42145061728395056,12,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_12_T,DYFJDsdGg8bppBJ7P,12,0.8252393996108482,6,12,False,True,True,0,True,2,2.5,False,2,1.5,True,True,True,0.62,0.8310185185185185,0.15393518518518517,0.0,12,0.06867283950617284,0.03200552983539095,0.0,0.30787037037037035,0.9722222222222222,0.0,0.008646262002743479,12,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_13_C,CbDvrXGkphmfGtH3G,10,0.8534498314441079,16,17,True,False,True,0,False,4,3.75,True,4,0.5,False,True,True,0.28,0.8125551470588236,0.0,0.14080882352941176,10,0.07251177619485294,0.0,0.04301876081314879,0.2627757352941177,0.0,0.7845588235294118,0.16486219487795117,10,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_13_T,6Mw9RRwcGQrJbouQh,11,0.8625226184582274,16,17,True,False,True,0,True,4,3.75,True,4,0.5,False,True,True,0.28,0.8798963903743315,0.0855614973262032,0.0661764705882353,11,0.047837109129246616,0.017465692827933314,0.01684885184020132,0.20713569518716576,0.35294117647058826,0.4635695187165776,-0.08018891647568119,11,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
VALIDATION_14_C,5jDHNDoA3Zrd9ZWyP,12,0.8105213742585242,6,19,True,False,True,1,False,2,1.5,True,2,1.0,False,False,False,0.3,0.7596125730994153,0.0,0.12719298245614036,12,0.06417489035087719,0.0,0.027444341848773982,0.5584795321637427,0.0,0.8179824561403509,0.6156067251461989,12,260310_valraw417_algorithmic_latent_family,algorithmic_latent_family
