eval_granularity,n_splits,mean_unseen_test_share,mean_oracle_r2,mean_oracle_r2_oos_train_mean,mean_oracle_rmse,mean_train_to_test_r2,mean_train_to_test_r2_oos_train_mean,mean_train_to_test_rmse
config_treatment,2,1.0,1.0,1.0,0.0,-0.030004060528078247,0.0,0.08178932039464018
game,2,1.0,0.24785371775555298,0.25681647293705945,0.12194302347759332,-0.01213482263908472,0.0,0.14140418038786134
