question_id,question,variable_code,variable_label,cond1_label,cond2_label,left_role,right_role,left_treatments,right_treatments,direction,cond1_mean,cond1_sd,cond1_n,cond2_mean,cond2_sd,cond2_n,effect,supports_direction
Q1,Does interacting with AI decrease payoffs?,WI,payoff index,AI in TRU,Human in TRU,AI,human,['TRU'],['TRU'],less,0.6745039682539682,0.20753986011901202,48,0.7532738095238095,0.16672211047689514,48,-0.07876984126984132,True
Q2,Is opaque delegation more frequent?,DI,delegation frequency,Support in ODU/ODP,Support in TDU/TDP,support,support,"['ODU', 'ODP']","['TDU', 'TDP']",greater,0.24857142857142855,0.24502470436956256,100,0.21428571428571425,0.24492372571109333,100,0.03428571428571431,True
Q3,Does opaque interaction decrease payoffs?,WI,payoff index,Unknown in ODU,Human in TRU,unknown,human,['ODU'],['TRU'],less,0.6958095238095237,0.20202281236349903,50,0.7532738095238095,0.16672211047689514,48,-0.057464285714285857,True
Q4,Does delegation crowd-out prosociality?,PSI,prosociality index,AI in TDU,AI in TRU,AI,AI,['TDU'],['TRU'],less,0.6803333333333333,0.20610244708611627,50,0.6577546296296296,0.21988648235229885,48,0.02257870370370374,False
Q5,Does personalizing the AI restore payoffs?,WI,payoff index,AI in TRP,AI in TRU,AI,AI,['TRP'],['TRU'],greater,0.6101190476190476,0.23011892772097298,48,0.6745039682539682,0.20753986011901202,48,-0.06438492063492063,False
Q6,Does personalizing the AI increase delegation?,DI,delegation frequency,Support in TDP/ODP,Support in TDU/ODU,support,support,"['TDP', 'ODP']","['TDU', 'ODU']",greater,0.3014285714285714,0.25433370171585407,100,0.1614285714285714,0.21455490547265255,100,0.13999999999999999,True
Q7,Does personalizing the AI change payoffs if delegation is opaque?,WI,payoff index,Unknown in ODP,Unknown in ODU,unknown,unknown,['ODP'],['ODU'],greater,0.7613333333333333,0.16889291981228594,50,0.6958095238095237,0.20202281236349903,50,0.06552380952380965,True
Q8,Does personalizing the AI change prosocial behavior?,PSI,prosociality index,AI in TDP,AI in TDU,AI,AI,['TDP'],['TDU'],greater,0.6762222222222224,0.23169177447045639,50,0.6803333333333333,0.20610244708611627,50,-0.004111111111110954,False
