feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_chat,0.24684413095423813,2,0.604560208967337,PUNISHMENT
CONFIG_rewardExists,0.10530272535216759,2,0.2428125856226365,PUNISHMENT
CONFIG_showOtherSummaries,0.08160423514430537,2,0.2071991234787478,PUNISHMENT
CONFIG_numRounds,0.07888237022692257,10,0.20481862182283336,PUNISHMENT
CONFIG_showNRounds,0.07263709472650107,2,0.15967281143665493,PUNISHMENT
CONFIG_playerCount,0.06022659538563145,10,0.17136449078096821,PUNISHMENT
CONFIG_punishmentMagnitude,0.046276501651787504,9,0.13172164049226537,PUNISHMENT
CONFIG_rewardMagnitude,0.04614008812067171,6,0.11913801175065573,PUNISHMENT
CONFIG_allOrNothing,0.034101003895435855,2,0.08749397441106851,PUNISHMENT
CONFIG_MPCR,0.033865904340504065,10,0.09023386673367612,PUNISHMENT
CONFIG_defaultContribProp,0.03371509533624961,2,0.07995036214677799,PUNISHMENT
CONFIG_showPunishmentId,0.030502855384390203,2,0.07198176181685643,PUNISHMENT
CONFIG_showRewardId,0.030502855384390196,2,0.07198176181685643,PUNISHMENT
