metric_family,metric,distance_kind,n_groups,mean_score,median_score
behavior_distribution_distance,fairness_wd,mean_wasserstein_1d,6,0.2851102040816327,0.2650816326530612
behavior_distribution_distance,trust_wd,mean_wasserstein_1d,6,0.2370612244897959,0.24
behavior_distribution_distance,trustworthiness_wd,mean_wasserstein_1d,6,0.15625850340136055,0.14799319727891158
behavior_distribution_distance,cooperation_wd,mean_wasserstein_1d,6,0.26753061224489794,0.24
behavior_distribution_distance,coordination_wd,mean_wasserstein_1d,6,0.2846122448979592,0.32
behavior_distribution_distance,fairness_offer_wd,wasserstein_1d,6,0.2148408163265306,0.18946938775510205
behavior_distribution_distance,inequality_tolerance_wd,wasserstein_1d,6,0.35537959183673473,0.34244897959183673
behavior_distribution_distance,trust_send_wd,wasserstein_1d,6,0.2370612244897959,0.24
behavior_distribution_distance,trustworthiness_return_wd,wasserstein_1d,6,0.15625850340136055,0.14799319727891158
behavior_distribution_distance,cooperation_pd_wd,wasserstein_1d,6,0.2806938775510204,0.2885714285714286
behavior_distribution_distance,cooperation_sh_wd,wasserstein_1d,6,0.2543673469387755,0.2
behavior_distribution_distance,coordination_earth_wd,wasserstein_1d,6,0.2846122448979592,0.32
paper_index_distribution_distance,delegation_index_wd,wasserstein_1d,4,0.17428571428571427,0.18857142857142856
paper_index_distribution_distance,payoff_index_wd,wasserstein_1d,6,0.14834388165766432,0.14151506316812437
paper_index_distribution_distance,prosociality_index_wd,wasserstein_1d,6,0.15397014320220842,0.15694444444444444
paper_index_distribution_distance,kindness_index_wd,wasserstein_1d,6,0.25644096148560436,0.2666666666666667
paper_index_distribution_distance,intentions_index_wd,wasserstein_1d,6,0.18182248692782507,0.17323469387755103
paper_index_distribution_distance,predictability_index_wd,wasserstein_1d,6,0.2716714745338695,0.2746153846153846
paper_index_distribution_distance,equality_index_wd,wasserstein_1d,6,0.1698254635293563,0.15162344507695552
delegation_distribution_distance,mean_delegation_wd,mean_wasserstein_1d,4,0.33999999999999997,0.35285714285714287
delegation_distribution_distance,C_delegated,wasserstein_1d,4,0.12000000000000002,0.12000000000000002
delegation_distribution_distance,PD_delegated,wasserstein_1d,4,0.525,0.52
delegation_distribution_distance,SH_delegated,wasserstein_1d,4,0.33499999999999996,0.32
delegation_distribution_distance,TGReceiver_delegated,wasserstein_1d,4,0.195,0.19999999999999998
delegation_distribution_distance,TGSender_delegated,wasserstein_1d,4,0.445,0.44999999999999996
delegation_distribution_distance,UGProposer_delegated,wasserstein_1d,4,0.415,0.41999999999999993
delegation_distribution_distance,UGResponder_delegated,wasserstein_1d,4,0.345,0.3499999999999999
scenario_state_distribution_distance,mean_role_state_tv,total_variation,6,0.4395918367346939,0.44
scenario_state_distribution_distance,C_decision_state,total_variation,6,0.2836989795918367,0.3
scenario_state_distribution_distance,PD_decision_state,total_variation,6,0.36543367346938777,0.3487755102040816
scenario_state_distribution_distance,SH_decision_state,total_variation,6,0.2602295918367347,0.22
scenario_state_distribution_distance,TGReceiver_decision_state,total_variation,6,0.4516581632653061,0.43000000000000005
scenario_state_distribution_distance,TGSender_decision_state,total_variation,6,0.31941326530612246,0.30000000000000004
scenario_state_distribution_distance,UGProposer_decision_state,total_variation,6,0.5583418367346938,0.54
scenario_state_distribution_distance,UGResponder_decision_state,total_variation,6,0.8383673469387756,0.8500000000000001
scenario_direct_value_distance,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.1463910549888976,1.0966666666666667
scenario_direct_value_distance,UGProposer_decision_direct,wasserstein_1d,6,0.8491273176467815,0.7581172253847777
scenario_direct_value_distance,UGResponder_decision_direct,wasserstein_1d,6,1.6864086970485594,1.667838246409675
scenario_direct_value_distance,TGReceiver_decision_direct,wasserstein_1d,6,0.9036371502713517,0.8569387755102041
