feature,marginal_tv,n_eval_values,coef_abs_mean,tag
CONFIG_chat,0.30201697059034255,2,0.9385835543307096,RESPONSE_TO_REWARDER
CONFIG_punishmentExists,0.14736276794700337,2,0.30565171456049706,RESPONSE_TO_REWARDER
CONFIG_showOtherSummaries,0.09991841713775645,2,0.24112936799662935,RESPONSE_TO_REWARDER
CONFIG_allOrNothing,0.09569416591358892,2,0.25199732187670826,RESPONSE_TO_REWARDER
CONFIG_numRounds,0.08220648375462025,10,0.24429149803290728,RESPONSE_TO_REWARDER
CONFIG_rewardMagnitude,0.08033103427549672,6,0.22748888031927506,RESPONSE_TO_REWARDER
CONFIG_playerCount,0.07757753556132065,9,0.2806514941771569,RESPONSE_TO_REWARDER
CONFIG_punishmentMagnitude,0.07612263430881484,12,0.20297958139696382,RESPONSE_TO_REWARDER
CONFIG_MPCR,0.07493130838106554,10,0.17526419351227396,RESPONSE_TO_REWARDER
CONFIG_showNRounds,0.06505562058059204,2,0.13929975146087586,RESPONSE_TO_REWARDER
CONFIG_defaultContribProp,0.05851176223254738,2,0.13615354836043578,RESPONSE_TO_REWARDER
