treatment_name,metric,generated_game_count,human_game_count,generated_treatment_mean,human_treatment_mean,abs_error,squared_error
VALIDATION_0_C,mean_round_normalized_efficiency,10,10,0.5551282051282052,0.7673597722833531,0.2122315671551479,0.04504223809713005
VALIDATION_0_T,mean_round_normalized_efficiency,12,12,0.8972222222222221,0.8190316604254012,0.07819056179682093,0.006113763954102474
VALIDATION_10_C,mean_round_normalized_efficiency,10,10,0.6569912609238452,0.8199366176894266,0.16294535676558142,0.02655118929146261
VALIDATION_10_T,mean_round_normalized_efficiency,10,10,0.7443820224719099,0.652141553826947,0.09224046864496283,0.00850830405584237
VALIDATION_11_C,mean_round_normalized_efficiency,10,10,0.6555851063829786,0.8565299273248806,0.20094482094190202,0.040378821063373066
VALIDATION_11_T,mean_round_normalized_efficiency,11,11,0.5359832986162772,0.909257379408816,0.37327408079253876,0.13933353939151474
VALIDATION_12_C,mean_round_normalized_efficiency,12,12,0.4706648284313726,0.7663617530345471,0.29569692460317454,0.08743667121977548
VALIDATION_12_T,mean_round_normalized_efficiency,12,12,0.91935168164488,0.9326559391586966,0.013304257513816586,0.0001770032679939451
VALIDATION_13_C,mean_round_normalized_efficiency,10,10,0.7407929766734279,0.9557737361792012,0.21498075950577333,0.04621672695767915
VALIDATION_13_T,mean_round_normalized_efficiency,11,11,0.7193704284221525,0.9379811236880095,0.21861069526585697,0.04779063608462138
VALIDATION_14_C,mean_round_normalized_efficiency,12,12,0.6685855263157897,0.989418859649123,0.3208333333333333,0.10293402777777776
VALIDATION_14_T,mean_round_normalized_efficiency,10,10,0.6798793859649124,0.8616557017543862,0.18177631578947384,0.03304262898199452
VALIDATION_15_C,mean_round_normalized_efficiency,11,11,0.6671141358641357,0.7647415787675528,0.09762744290341707,0.00953111760785996
VALIDATION_15_T,mean_round_normalized_efficiency,9,9,0.7225274725274724,0.7031231433910005,0.019404329136471943,0.000376527989236534
VALIDATION_16_C,mean_round_normalized_efficiency,10,10,0.37037037037037035,1.049007553739948,0.6786371833695776,0.46054842665179363
VALIDATION_16_T,mean_round_normalized_efficiency,8,8,0.8117592592592593,0.6374174641868304,0.17434179507242886,0.03039506150907678
VALIDATION_17_C,mean_round_normalized_efficiency,11,11,0.3417528498041395,0.65641856149909,0.31466571169495045,0.09901451011648968
VALIDATION_17_T,mean_round_normalized_efficiency,8,8,0.4580972615675165,0.7070926183908826,0.24899535682336604,0.06199868771959538
VALIDATION_18_C,mean_round_normalized_efficiency,12,12,0.5418869956913435,0.6746722392260814,0.13278524353473797,0.017631920900579672
VALIDATION_18_T,mean_round_normalized_efficiency,10,10,0.5524750293772034,0.7492598766612921,0.19678484728408874,0.038724276120622125
VALIDATION_19_C,mean_round_normalized_efficiency,10,10,0.5720366379310345,0.6884749589490969,0.1164383210180624,0.013557882601505351
VALIDATION_19_T,mean_round_normalized_efficiency,10,10,0.592834051724138,0.9161253078817735,0.32329125615763554,0.10451723630798192
VALIDATION_1_C,mean_round_normalized_efficiency,8,8,0.3150783828382838,0.7107312293729372,0.3956528465346534,0.15654117497097397
VALIDATION_1_T,mean_round_normalized_efficiency,8,8,0.5521606848184818,0.5367207217045233,0.015439963113958455,0.00023839246096039765
VALIDATION_2_C,mean_round_normalized_efficiency,9,9,0.6800411522633744,0.6121399176954732,0.0679012345679012,0.0046105776558451415
VALIDATION_2_T,mean_round_normalized_efficiency,11,11,0.671506734006734,0.5964856902356902,0.0750210437710438,0.005628157008496869
VALIDATION_3_C,mean_round_normalized_efficiency,9,9,0.8430819447006497,0.7243827331663213,0.11869921153432839,0.014089502818871237
VALIDATION_3_T,mean_round_normalized_efficiency,10,10,0.8715296993174692,0.8406524047309558,0.030877294586513337,0.0009534073209823259
VALIDATION_4_C,mean_round_normalized_efficiency,12,12,0.5868617100928423,0.7088570587787647,0.12199534868592243,0.014882865100999796
VALIDATION_4_T,mean_round_normalized_efficiency,9,9,0.6215683338324849,0.6769700525500093,0.05540171871752442,0.0030693504368556955
VALIDATION_5_C,mean_round_normalized_efficiency,9,9,0.466820987654321,0.8896604938271605,0.4228395061728395,0.17879324798049076
VALIDATION_5_T,mean_round_normalized_efficiency,12,12,0.30844907407407407,0.515625,0.20717592592592593,0.04292186428326475
VALIDATION_6_C,mean_round_normalized_efficiency,12,12,0.3099747130820077,0.7622492414527681,0.4522745283707604,0.20455224901299374
VALIDATION_6_T,mean_round_normalized_efficiency,11,11,0.6501899304661345,0.7292945281181497,0.07910459765201516,0.006257537369687203
VALIDATION_7_C,mean_round_normalized_efficiency,11,11,0.3712448735475051,0.9474061927399294,0.5761613191924243,0.33196186573355463
VALIDATION_7_T,mean_round_normalized_efficiency,12,12,0.881496710526316,0.8411101216870578,0.040386588839258164,0.001631076558071292
VALIDATION_8_C,mean_round_normalized_efficiency,12,12,0.7342896174863389,0.6112644648023144,0.12302515268402447,0.015135188192927534
VALIDATION_8_T,mean_round_normalized_efficiency,11,11,0.7159711872826627,0.5382447912100757,0.177726396072587,0.031586671860950065
VALIDATION_9_C,mean_round_normalized_efficiency,11,11,0.7025772880318335,0.7119815523982189,0.009404264366385418,8.844018827286652e-05
VALIDATION_9_T,mean_round_normalized_efficiency,11,11,0.6404162840526477,0.6151555907616513,0.02526069329099645,0.000638102625541793
VALIDATION_0_C,mean_total_contribution_rate,10,10,0.5549999999999999,0.7081481481481481,0.15314814814814814,0.023454355281207134
VALIDATION_0_T,mean_total_contribution_rate,12,12,0.9013888888888889,0.8206404320987654,0.08074845679012355,0.00652031327398645
VALIDATION_10_C,mean_total_contribution_rate,10,10,0.6525,0.6966666666666668,0.0441666666666668,0.001950694444444456
VALIDATION_10_T,mean_total_contribution_rate,10,10,0.8472222222222223,0.6980555555555557,0.14916666666666667,0.022250694444444444
VALIDATION_11_C,mean_total_contribution_rate,10,10,0.6528846153846154,0.7712762237762238,0.11839160839160845,0.014016572937551972
VALIDATION_11_T,mean_total_contribution_rate,11,11,0.534965034965035,0.8503496503496503,0.31538461538461526,0.0994674556213017
VALIDATION_12_C,mean_total_contribution_rate,12,12,0.4722222222222223,0.7465277777777777,0.27430555555555536,0.07524353780864186
VALIDATION_12_T,mean_total_contribution_rate,12,12,0.939814814814815,0.8930555555555556,0.04675925925925939,0.002186428326474635
VALIDATION_13_C,mean_total_contribution_rate,10,10,0.7439154411764706,0.8770542851756087,0.1331388439991381,0.017725951781426833
VALIDATION_13_T,mean_total_contribution_rate,11,11,0.724966577540107,0.9326987840590781,0.20773220651897117,0.04315266962524049
VALIDATION_14_C,mean_total_contribution_rate,12,12,0.6682748538011696,0.810124269005848,0.14184941520467842,0.020121256593909252
VALIDATION_14_T,mean_total_contribution_rate,10,10,0.6952631578947368,0.8944298245614035,0.19916666666666671,0.03966736111111113
