treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance
VALIDATION_0_C,final_total_contribution_rate,10,10,0.722777777777778
VALIDATION_0_T,final_total_contribution_rate,12,12,0.09699074074074074
VALIDATION_10_C,final_total_contribution_rate,10,10,0.43333333333333335
VALIDATION_10_T,final_total_contribution_rate,10,10,0.11
VALIDATION_11_C,final_total_contribution_rate,10,10,0.4109090909090909
VALIDATION_11_T,final_total_contribution_rate,11,11,0.4519283746556474
VALIDATION_12_C,final_total_contribution_rate,12,12,0.7972222222222222
VALIDATION_12_T,final_total_contribution_rate,12,12,0.05833333333333333
VALIDATION_13_C,final_total_contribution_rate,10,10,0.5700689102564103
VALIDATION_13_T,final_total_contribution_rate,11,11,0.7200757575757575
VALIDATION_14_C,final_total_contribution_rate,12,12,0.681388888888889
VALIDATION_14_T,final_total_contribution_rate,10,10,0.7550000000000001
VALIDATION_15_C,final_total_contribution_rate,11,11,0.44825174825174824
VALIDATION_15_T,final_total_contribution_rate,9,9,0.6562505395838729
VALIDATION_16_C,final_total_contribution_rate,10,10,0.6726984126984128
VALIDATION_16_T,final_total_contribution_rate,8,8,0.5079861111111111
VALIDATION_17_C,final_total_contribution_rate,11,11,0.43803554117021604
VALIDATION_17_T,final_total_contribution_rate,8,8,0.3265063110264349
VALIDATION_18_C,final_total_contribution_rate,12,12,0.22916666666666669
VALIDATION_18_T,final_total_contribution_rate,10,10,0.29166666666666663
VALIDATION_19_C,final_total_contribution_rate,10,10,0.4725
VALIDATION_19_T,final_total_contribution_rate,10,10,0.72
VALIDATION_1_C,final_total_contribution_rate,8,8,0.5979166666666667
VALIDATION_1_T,final_total_contribution_rate,8,8,0.5125000000000001
VALIDATION_2_C,final_total_contribution_rate,9,9,0.22083333333333333
VALIDATION_2_T,final_total_contribution_rate,11,11,0.27045454545454545
VALIDATION_3_C,final_total_contribution_rate,9,9,0.06370370370370369
VALIDATION_3_T,final_total_contribution_rate,10,10,0.19416666666666665
VALIDATION_4_C,final_total_contribution_rate,12,12,0.22023809523809523
VALIDATION_4_T,final_total_contribution_rate,9,9,0.2037037037037037
VALIDATION_5_C,final_total_contribution_rate,9,9,0.1111111111111111
VALIDATION_5_T,final_total_contribution_rate,12,12,0.2916666666666667
VALIDATION_6_C,final_total_contribution_rate,12,12,0.6620605089355088
VALIDATION_6_T,final_total_contribution_rate,11,11,0.5434493536766263
VALIDATION_7_C,final_total_contribution_rate,11,11,0.8586363636363636
VALIDATION_7_T,final_total_contribution_rate,12,12,0.1536574074074074
VALIDATION_8_C,final_total_contribution_rate,12,12,0.05625000000000001
VALIDATION_8_T,final_total_contribution_rate,11,11,0.14499999999999996
VALIDATION_9_C,final_total_contribution_rate,11,11,0.0429012654012654
VALIDATION_9_T,final_total_contribution_rate,11,11,0.11861471861471862
VALIDATION_0_C,mean_round_normalized_efficiency,10,10,0.21223156715514796
VALIDATION_0_T,mean_round_normalized_efficiency,12,12,0.11018093448952251
VALIDATION_10_C,mean_round_normalized_efficiency,10,10,0.2322337462786901
VALIDATION_10_T,mean_round_normalized_efficiency,10,10,0.2797944876596562
VALIDATION_11_C,mean_round_normalized_efficiency,10,10,0.20094482094190197
VALIDATION_11_T,mean_round_normalized_efficiency,11,11,0.3732740807925386
VALIDATION_12_C,mean_round_normalized_efficiency,12,12,0.29569692460317465
VALIDATION_12_T,mean_round_normalized_efficiency,12,12,0.19338323354867476
VALIDATION_13_C,mean_round_normalized_efficiency,10,10,0.21498075950577333
VALIDATION_13_T,mean_round_normalized_efficiency,11,11,0.22325295969513956
VALIDATION_14_C,mean_round_normalized_efficiency,12,12,0.3447733918128654
VALIDATION_14_T,mean_round_normalized_efficiency,10,10,0.3341885964912281
VALIDATION_15_C,mean_round_normalized_efficiency,11,11,0.09762744290341704
VALIDATION_15_T,mean_round_normalized_efficiency,9,9,0.06137896164681877
VALIDATION_16_C,mean_round_normalized_efficiency,10,10,0.6786371833695776
VALIDATION_16_T,mean_round_normalized_efficiency,8,8,0.17452698025761398
VALIDATION_17_C,mean_round_normalized_efficiency,11,11,0.38445228890308075
VALIDATION_17_T,mean_round_normalized_efficiency,8,8,0.31566959012408363
VALIDATION_18_C,mean_round_normalized_efficiency,12,12,0.14306726468632439
VALIDATION_18_T,mean_round_normalized_efficiency,10,10,0.19678484728408896
VALIDATION_19_C,mean_round_normalized_efficiency,10,10,0.12020987274220032
VALIDATION_19_T,mean_round_normalized_efficiency,10,10,0.3778171182266009
VALIDATION_1_C,mean_round_normalized_efficiency,8,8,0.3956528465346534
VALIDATION_1_T,mean_round_normalized_efficiency,8,8,0.4574354494272955
VALIDATION_2_C,mean_round_normalized_efficiency,9,9,0.06790123456790123
VALIDATION_2_T,mean_round_normalized_efficiency,11,11,0.09859006734006737
VALIDATION_3_C,mean_round_normalized_efficiency,9,9,0.24872820610222435
VALIDATION_3_T,mean_round_normalized_efficiency,10,10,0.10109303612566119
VALIDATION_4_C,mean_round_normalized_efficiency,12,12,0.23655827613548774
VALIDATION_4_T,mean_round_normalized_efficiency,9,9,0.22948385285997414
VALIDATION_5_C,mean_round_normalized_efficiency,9,9,0.4228395061728396
